Question	About how many Earth days does it take the Moon to travel around Earth?	question
Answer	27	answer
0	a moon is a kind of celestial object; body	gold
1	the moon orbits the Earth	nongold
2	Earth is a kind of planet	gold
3	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
4	days are a kind of unit for measuring time	nongold
5	a revolution of the moon around the Earth takes 1; one month	nongold
6	how many means what number	nongold
7	the moon orbiting the Earth occurs once per month	nongold
8	1 month is equal to 28-31 days	nongold
9	the Moon is Earth's moon	nongold
10	how long something takes is a kind of measurement of time	nongold
11	the moon orbiting the Earth occurs approximately 13 times per year	nongold
12	a moon phase occurs 28 days after the last time it occurred	nongold
13	the day time is part of one day	nongold
14	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	gold
15	the Moon completes a lunar cycle over a period of 29 days	gold
16	travel means to move	nongold
17	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
18	1 day is equal to 24 hours	nongold
19	a rotation of the moon takes 1; one month	nongold
20	a planet is a kind of celestial object; body	gold
21	a full moon is a kind of phase of the moon	nongold
22	the moon is the celestial object that is closest to the  Earth	nongold
23	the Moon is closer to the Earth than the Sun	nongold
24	to pass means to travel	nongold
25	hours are a kind of unit for measuring time	nongold
26	period is similar to amount of time	nongold
27	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
28	the night time is part of one day	nongold
29	years are a kind of unit for measuring time	nongold
30	a full moon occurs after a waxing gibbous moon	nongold
31	month is a kind of period of time	nongold
32	a new moon is a kind of phase of the moon	nongold
33	a new moon occurs 14 days after a full moon	nongold
34	to reach somewhere requires traveling	nongold
35	the Sun is a kind of star	nongold
36	the moon rising occurs once per day	nongold
37	transport means to move; to make travel	nongold
38	length of time means period of time	nongold
39	amount is similar to number	nongold
40	all the time means at day and at night	nongold
41	the new moon is when the dark half of the moon faces the Earth	nongold
42	moving is similar to travelling	nongold
43	the new moon is when the lighted half of the moon faces the Sun	nongold
44	a phase of the moon is a kind of state	nongold
45	cycles of day and night occur once per day	nongold
46	astronomy is the study of celestial (objects, bodies)	nongold
47	moons are large; solid; spherical	nongold
48	far means great in distance	nongold
49	type of moon; kind of moon means moon phase	nongold
50	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
51	1 year is equal to 365 days	nongold
52	furthest; farthest means greatest; most; highest in distance	nongold
53	greatest means largest; highest; most amount of something	nongold
54	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
55	months are a kind of unit for measuring time	nongold
56	1 year is equal to 12 months	nongold
57	each of the moon's phases occurs once per month	nongold
58	many means high in number	nongold
59	a measure of time is a length of time	nongold
60	an event is a kind of action	nongold
61	Celestial bodies move in orbits in space around other celestial bodies	nongold
62	events occur at a specific place; at a specific time; with a specific frequency	nongold
63	revolving  around something means orbiting that something	nongold
64	one is a kind of number	nongold
65	the Earth revolves around the sun	nongold
66	high is similar to increase	nongold
67	the first quarter phase of the moon occurs after the new moon	nongold
68	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
69	once per means every	nongold
70	a human is a kind of animal	nongold
71	setting is a kind of motion	nongold
72	movements of celestial bodies are a kind of event	nongold
73	the sun setting is a kind of event	nongold
74	a moon is a kind of satellite	nongold
75	if it is night then the sun has set	nongold
76	most means over 50% of something	nongold
77	four is a kind of number	nongold
78	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
79	the sun sets in the west	nongold
80	Tuesday is a kind of  time	nongold
81	a moon phase is a kind of natural event	nongold
82	distance moved; distance travelled is a measure of how far an object moves	nongold
83	answering questions requires information	nongold
84	August is a kind of month	nongold
85	minutes are a kind of unit for measuring time	nongold
86	a vehicle is used for travel	nongold
87	a motion is a kind of event; action	nongold
88	the moon rotates on its axis	nongold
89	a last quarter is a kind of phase of the moon	nongold
90	a process is a kind of event	nongold
91	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
92	an animal is a kind of living thing	nongold
93	a first quarter is a kind of phase of the moon	nongold
94	a waning gibbous is a kind of phase of the moon	nongold
95	the number of parts of something is a property of that something	nongold
96	distant means great in distance	nongold
97	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
98	can be means able to be	nongold
99	Mars is a kind of planet	nongold
