Question	Della has a mixture of soil and water in a jar. Which of the following tools would best help Della separate the soil from the water?	question
Answer	a filter	answer
0	a filter is a kind of tool for separating liquid from solid particles	gold
1	filtration can be used for separating a mixture of a liquid and a solid	gold
2	a filter is used for separating liquid from solid particles	gold
3	a jar is a kind of container	nongold
4	An example of a mixture is sand; clay; soil mixed together	nongold
5	to be used  for something means to help to do that something	nongold
6	soil is a kind of material	nongold
7	a solution is a kind of mixture	nongold
8	helping means something can be done; completed more easily; better	nongold
9	instrument means tool	nongold
10	a mixture is a kind of substance	nongold
11	soil contains water; humus; weathered rocks; organic matter	nongold
12	tool is similar to appliance	nongold
13	water is a kind of substance	nongold
14	soil is permeable	nongold
15	soil is made of very small rocks; minerals	nongold
16	evaporation can be used for separating a mixture of a liquid and a solid	nongold
17	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
18	moisture means liquid; liquid water	nongold
19	soil is made of solid particles	gold
20	if something is insoluble in something , then they will remain separated	nongold
21	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
22	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
23	a tool is a kind of object	nongold
24	a liquid is a kind of substance	nongold
25	decomposing is similar to separating	nongold
26	a mixture of solids can be easily separated	nongold
27	to disperse means to separate	nongold
28	to help means to aid	nongold
29	helping something has a  positive impact on that something	nongold
30	if an object is made of a material then that object has the properties of that material	nongold
31	a solvent is a part of a solution	nongold
32	a solution is formed by one substance being dissolved in another substance	nongold
33	a solution is made of one substance dissolved in another substance	nongold
34	solution is a kind of liquid	nongold
35	a  solution  is a kind of object	nongold
36	device means tool	nongold
37	soil is found on the surface of the Earth	nongold
38	soil is usually part of an environment	nongold
39	material means substance	nongold
40	a container contains objects; material; substances	nongold
41	if something is used to dissolve substances , then that something is the solvent	nongold
42	an mixture is formed by two or more substances combined together physically	nongold
43	to be used for something means to be required by that something	nongold
44	soil is formed by weathering	nongold
45	best means most positive	nongold
46	to decompose means to separate	nongold
47	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
48	a simple machine is a kind of tool	nongold
49	soil usually has layers	nongold
50	water is a kind of liquid at room temperature	gold
51	contents means the substance in a container	nongold
52	if something is made of something; a material then that something contains that something; that material	nongold
53	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
54	water is a kind of object	nongold
55	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
56	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	water is a kind of matter	nongold
59	can be means able to be	nongold
60	soil contains nutrients for plants	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	the function of something is what that something  is used to do	nongold
63	soil is a part of the ground outside	nongold
64	if something is a raw material in a process then that something is required for that process	nongold
65	if a container contains something then that container touches that something	nongold
66	often soil is found in an environment	nongold
67	sample is similar to small amount of substance; matter	nongold
68	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
69	an insulator is a kind of material	nongold
70	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
71	a liquid is a kind of fluid	nongold
72	transferring a section of something requires separating the section of something	nongold
73	person is synonymous with human	nongold
74	a container is a kind of object	nongold
75	sand  is a kind of mixture	nongold
76	plant and animal matter means organic matter	nongold
77	low quality soil has a small; a low number of nutrients	nongold
78	to help; to benefit means to be of use	gold
79	something that contains water is similar to a body of water	nongold
80	conduction is a kind of process	nongold
81	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
82	gas is a kind of substance	nongold
83	materials are made of matter	nongold
84	the composition of the soil causes the texture of the soil to be different	nongold
85	sand is similar to soil	nongold
86	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
87	a mixture usually is made of objects with different physical properties	nongold
88	heat means heat energy	nongold
89	affected means changed	nongold
90	a surface is a part of a material	nongold
91	gas is a kind of material	nongold
92	an object; material; substance comes from that object or material's source	nongold
93	if something requires something else then that something requires a source of that something else	nongold
94	to give off means to be the source of	nongold
95	water is a kind of water phase	nongold
96	when two substances together form a compound then those substances cannot be physically separated	nongold
97	if something transfers something else then that something is a source of something else	nongold
98	water is a part of an environment	nongold
99	to conduct is similar to to transfer	nongold
