Question	Which cells help to destroy pathogens such as bacteria that enter the human body?	question
Answer	white blood cells	answer
0	white blood cell destroys pathogens in the body	gold
1	bacteria is a kind of pathogen sometimes	nongold
2	destroying something causes harm to that something	nongold
3	a human cell is a kind of cell	nongold
4	to be used  for something means to help to do that something	nongold
5	a decomposer is usually a bacterium; fungus	nongold
6	destruction means to destroy	nongold
7	a human is a kind of animal	nongold
8	a bacterium is a kind of decomposer	nongold
9	to help means to aid	nongold
10	a bacterium is a kind of organism	nongold
11	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	nongold
12	human is a kind of organism	nongold
13	bacteria is a kind of living thing	nongold
14	pathogens can cause disease	nongold
15	white blood cells are a part of the immune system	nongold
16	killing means harming something causing death	nongold
17	pathogen is similar to harmful substance	nongold
18	helping something has a  positive impact on that something	nongold
19	cells are a part of the body	nongold
20	harming something has a  negative impact on; effect on that something	nongold
21	to help; to benefit means to be of use	nongold
22	bacteria sometimes cause disease	nongold
23	destroying is a kind of function	nongold
24	bacteria can help digest food in humans	nongold
25	the body is a part of an organism	nongold
26	In the food chain process bacteria have the role of decomposer	nongold
27	an organism is a living thing	nongold
28	an animal is a kind of organism	nongold
29	an animal is a kind of living thing	nongold
30	adding heat to something kills viruses; bacteria in that something	nongold
31	if something enters something else then that something is in that something else	nongold
32	to pass into means to enter	nongold
33	specialized cells are a source of chemicals that destroy disease-causing microbes	nongold
34	virus is a kind of living thing	nongold
35	an animal; bacterium requires oxygen for survival; to breathe	nongold
36	destroying something decreases the amount of that something	nongold
37	a living thing is made of cells	nongold
38	bacteria; viruses cause food poisoning	nongold
39	the immune system is a kind of body; human body system	nongold
40	harming an organism can cause that organism to die	nongold
41	an animal cell is a kind of cell	nongold
42	disease-causing microbes have a negative impact on the body	nongold
43	killing means changing a living thing from alive to dead by harming	nongold
44	organisms mean life	nongold
45	something harmful can cause harm	nongold
46	bacteria is small; microscopic in size	nongold
47	damage means harm	nongold
48	destruction means loss	nongold
49	death means to die	nongold
50	the immune system defends the body against disease	nongold
51	white is a kind of color	nongold
52	dead organisms are a source of disease	nongold
53	a decomposer is a kind of living thing	nongold
54	sneezing is used for getting rid of bacteria; viruses by the body	nongold
55	if something causes a process then that something is required for that process	nongold
56	if an organism can do something , then that organism is able to do that something	nongold
57	protecting something means preventing harm to that something	nongold
58	infection often requires medical treatment	nongold
59	get rid of means eliminate; remove	nongold
60	all living things are made of cells according to the cell theory	nongold
61	a body cell means a somatic cell	nongold
62	nonliving; non-living; die is the opposite of living; alive; live	nongold
63	the cell membrane is a part of a cell	nongold
64	a cell is very small	nongold
65	answering questions requires information	nongold
66	the cell membrane is the membrane around the cell of all living things	nongold
67	dead organisms are the source of nutrients for decomposers	nongold
68	mast cells are a kind of white blood cell	nongold
69	a cell is a kind of object	nongold
70	nonliving things are not made of cells	nongold
71	burning a living thing usually causes harm to that living thing	nongold
72	a fungus is a kind of organism	nongold
73	life means living things	nongold
74	removing an inhibitor of a process causes that process	nongold
75	an animal; living thing requires nutrients for survival	nongold
76	cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses	nongold
77	disease has a negative impact on an organism	nongold
78	if a living thing requires something then that something has a positive impact on that living thing	nongold
79	a body system is a part of the body; an animal	nongold
80	the function of something is what that something  is used to do	nongold
81	vaccines are a source of long-term immunity against some diseases for the human body	nongold
82	the parent cell is the original cell	nongold
83	a plant cell is a kind of cell	nongold
84	negative impact is the opposite of positive impact	nongold
85	humans changing an environment sometimes causes that environment to be destroyed	nongold
86	saving an organism's life means preventing the death of that organism	nongold
87	the cell membrane allows materials to enter and leave the cell	nongold
88	a cell nucleus is a part of a cell	nongold
89	to be a source of something means to cause that something	nongold
90	living things perform biological processes	nongold
91	a worm is a kind of decomposer	nongold
92	something being destroyed means that something no longer exists	nongold
93	human is similar to individual	nongold
94	person is synonymous with human	nongold
95	a source of something emits; produces; generates; provides that something	nongold
96	an event is a kind of action	nongold
97	if something has the ability to do something else , then that something can do that something else	nongold
98	if a living thing dies then that living thing is dead	nongold
99	the blood vessels are a part of the body	nongold
