Question	What is a galaxy?	question
Answer	a very large system of stars that is held together by gravity	answer
0	a galaxy is held together by gravity	gold
1	a galaxy is a kind of very large system of stars	gold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
3	a galaxy is a kind of celestial body; celestial object	nongold
4	a galaxy is made of stars	gold
5	a star is a kind of celestial object; celestial body	nongold
6	a galaxy is a kind of celestial body	nongold
7	system means a set of objects	nongold
8	a galaxy is a kind of structure	nongold
9	gravity causes orbits	nongold
10	a galaxy is made of a group of objects in space	nongold
11	a star is a source of light; light energy through nuclear reactions	nongold
12	gravity pulls objects towards planets	nongold
13	break down is the opposite of put together	nongold
14	to compact together means to squeeze together	nongold
15	galaxies often contain hundreds of billions of stars	nongold
16	containing is similar to holding	nongold
17	a typical galaxy contains billions of stars	nongold
18	apart is the opposite of together	nongold
19	a type is synonymous with a kind	nongold
20	massive is similar to large	nongold
21	small is the opposite of large	nongold
22	an event is a kind of action	nongold
23	gravity is a kind of force	nongold
24	galaxies are located  millions of light years from Earth	nongold
25	a motion is a kind of event; action	nongold
26	a living thing is a kind of object	nongold
27	to store means to hold	nongold
28	can be means able to be	nongold
29	being pushed together is similar to colliding	nongold
30	high is similar to increase	nongold
31	a body system is a kind of object	nongold
32	a cluster of stars is made of stars	nongold
33	a lot means large in amount; quantity	nongold
34	pulling is a kind of motion	nongold
35	a component of something means a part of that something	nongold
36	a component means a part of	nongold
37	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
38	a process is a kind of event	nongold
39	stars are located light years apart from each other	nongold
40	form means kind	nongold
41	to be made of something means to be formed of that something	nongold
42	increase means more	nongold
43	the Sun is a kind of star	nongold
44	containing something is similar to holding something	nongold
45	composed of means made of	nongold
46	answering questions requires information	nongold
47	setting is a kind of motion	nongold
48	astronomy is the study of celestial (objects, bodies)	nongold
49	to be formed by is similar to being produced by	nongold
50	a galaxy contains dust; stars; planets	nongold
51	an increase is a kind of change	nongold
52	something that happens is a kind of event	nongold
53	made up of means contains; made of	nongold
54	a star produces light and heat	nongold
55	system is similar to structure	nongold
56	main-sequences stars are a kind of star	nongold
57	to split means to break down	nongold
58	an object is made of its parts	nongold
59	classifying is when one sorts something by kind; type	nongold
60	revolving is a kind of motion	nongold
61	a part of a process means a stage in a process	nongold
62	a spiral galaxy is a kind of galaxy	nongold
63	the Milky Way is a kind of galaxy	nongold
64	Proxima Centauri is a kind of star	nongold
65	to cause an event is similar to being involved in that event	nongold
66	greatest means largest; highest; most amount of something	nongold
67	events occur at a specific place; at a specific time; with a specific frequency	nongold
68	to give is similar to to cause	nongold
69	a white dwarf is a kind of star	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	a star requires energy	nongold
72	a whole is formed by its parts	nongold
73	an animal is a kind of living thing	nongold
74	an part of an object is smaller than the entire object	nongold
75	if something causes an increase in something else then that something produces that something else	nongold
76	variable means able to change	nongold
77	where something  comes from is a source of that something	nongold
78	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
79	length of time means period of time	nongold
80	state means form	nongold
81	stars colliding  is a kind of high-energy event in space	nongold
82	if something is made of something else , then that something else will be the component of that something	nongold
83	to be a source of something means to cause that something	nongold
84	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
85	a star is formed by collapsing clouds of gas and dust	nongold
86	if something is made of something else then that something can be broken down into that something else	nongold
87	increasing is a kind of order	nongold
88	particles in objects are a kind of matter	nongold
89	all the other means the rest of	nongold
90	if something causes a process then that something is required for that process	nongold
91	extreme means very high in value	nongold
92	seconds are a kind of unit for measuring time	nongold
93	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
94	to increase is similar to to create	nongold
95	causing means influencing	nongold
96	a change is a kind of event	nongold
97	to be formed by is to be the result of	nongold
98	length is a part of size	nongold
99	the function of something is what that something  is used to do	nongold
