Question	The noble gases, helium, neon, argon, krypton, xenon, and radon, rarely react with other elements because they	question
Answer	have complete outermost energy levels.	answer
0	argon is a kind of element	nongold
1	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	gold
2	argon is a kind of gas	nongold
3	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	gold
4	helium is a kind of gas	nongold
5	helium is a kind of element	nongold
6	an energy level means an electron shell	gold
7	incomplete is the opposite of complete	nongold
8	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
9	elements in noble gases family are gases at room temperature	nongold
10	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
11	a  gas is a kind of  element	nongold
12	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
13	chemical energy is a kind of energy	nongold
14	rarely means not	gold
15	noble gases are located on the rightmost side   of the periodic table	nongold
16	hydrogen is a kind of gas at room temperature	nongold
17	outermost is similar to distant	nongold
18	helium has a low atomic number	nongold
19	oxygen is a kind of gas at room temperature	nongold
20	carbon dioxide is a kind of gas	nongold
21	an element is made of one kind of atoms	gold
22	a compound can be chemically separated into the elements that it is made of	nongold
23	matter; materials; substances are made of atoms; particles	nongold
24	an element is a kind of  substance	nongold
25	gas is a kind of substance	nongold
26	a compound is made of two or more elements that have been chemically combined	nongold
27	hydrogen is a kind of element	nongold
28	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
29	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
30	hydrogen contains chemical energy	nongold
31	an  element is a kind of atom	nongold
32	gas is a kind of state of matter	nongold
33	different substances usually have different amount of chemical energy	nongold
34	substances are made of matter	nongold
35	the  chemical symbol for argon is Ar	nongold
36	all elements are a kind of pure substance	nongold
37	light is a kind of energy	nongold
38	light is a kind of energy	nongold
39	oxygen gas is made of only  oxygen element	nongold
40	substances are made of elements	nongold
41	the chemical symbol for helium is He	nongold
42	nitrogen is a kind of gas	nongold
43	materials are made of matter	nongold
44	combining; mixing two substances chemically causes chemical reactions	nongold
45	chemical change is a kind of chemical reaction	nongold
46	chemical reactions cause chemical change	nongold
47	oxygen  is a kind of element	nongold
48	an element is a kind of material	nongold
49	vapor is synonymous with gas	nongold
50	helium has lower; less density than air	nongold
51	a molecule is made of atoms chemically combined; bonded	nongold
52	an atom is made of protons; neutrons; electrons	nongold
53	a compound is a kind of substance	nongold
54	gas is a kind of material	nongold
55	level is similar to amount; quantity	nongold
56	liquid; solid means nongaseous	nongold
57	the  chemical symbol for neon is Ne	nongold
58	gas is a kind of nonmetal	nongold
59	chemical reactions can cause gas to be released into the atmosphere	nongold
60	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
63	combustion is a kind of exergonic reaction	nongold
64	gaseous means of gas	nongold
65	charged particles are a kind of high-energy particles	nongold
66	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
67	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
68	compound is a kind of chemical	nongold
69	atoms are made of particles	nongold
70	liquid is a kind of state of matter	nongold
71	chemical compounds contain chemical bonds between atoms; between elements	nongold
72	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
73	matter is made of molecules	nongold
74	substances have chemical properties	nongold
75	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
76	solid is a kind of state of matter	nongold
77	a compound is a kind of material	nongold
78	An example of a chemical property is how a material reacts chemically	nongold
79	chemical reactions cause new substances; different substances to form	nongold
80	negatively charged particles are involved in chemical reactions	nongold
81	a molecule is a kind of particle	nongold
82	a pure substance is made of only one kind of atom; molecule	nongold
83	the outer electron shell is a part of the electron configuration	nongold
84	an electron is a kind of charged particle	nongold
85	a star is a source of light; light energy through nuclear reactions	nongold
86	substances are made of molecules	nongold
87	chemical reactions do not cause the total number of atoms to change	nongold
88	An example of a chemical property is the elements a compound is made of	nongold
89	combustion is a kind of chemical change	nongold
90	if a substance is made of one element , then the substance is called an element	nongold
91	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
92	chlorine is a kind of element	nongold
93	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
94	objects contain chemical energy	nongold
95	food is a kind of chemical energy	nongold
96	matter; energy is always conserved in any physical or chemical process	nongold
97	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
98	nuclear energy is a kind of energy	nongold
99	most chemical reactions release or absorb heat energy	nongold
