Question	Using fossil fuels wisely and avoiding waste is an example of	question
Answer	conservation.	answer
0	An example of conservation is avoiding waste	gold
1	An example of conservation is not using fossil fuel	gold
2	avoiding is similar to preventing	nongold
3	An example of avoiding waste is using an object; a material more than once	nongold
4	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
5	conservation is often conserving natural resources	nongold
6	waste has a  negative impact on the environment	nongold
7	human waste often causes harm to an environment	nongold
8	harming something has a  negative impact on; effect on that something	nongold
9	escape means avoid	nongold
10	avoiding means doing something less	nongold
11	a fossil fuel is a kind of natural resource	nongold
12	using the fuel requires burning the fuel	nongold
13	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
14	avoiding something requires sensing that something	nongold
15	pollution has a negative impact on the environment; air quality; water quality; society	nongold
16	a kind of something is an example of that something	nongold
17	avoiding is a kind of conditioned behavior	nongold
18	preventing something decreases the amount of that something	nongold
19	fossil fuels are a nonrenewable resource	nongold
20	to be used for something means to be required by that something	nongold
21	using gasoline is a source of carbon dioxide	nongold
22	negative impact is the opposite of positive impact	nongold
23	acquiring fossil fuels is dangerous for the environment	nongold
24	a wise choice is a good choice	nongold
25	natural gas is a kind of fossil fuel	nongold
26	avoiding is a kind of defense	nongold
27	removing waste is a kind of function	nongold
28	a renewable resource is a kind of natural resource	nongold
29	protecting nature has a positive impact on the environment	nongold
30	petroleum is a kind of fossil fuel	nongold
31	renewable is the opposite of nonrenewable	nongold
32	fossil fuels are a kind of energy resource	nongold
33	protecting something means preventing harm to that something	nongold
34	fossil fuels burning causes pollution	nongold
35	consumption means use	nongold
36	An example of protecting the environment is reducing the amount of waste; the amount of pollutants	nongold
37	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
38	avoiding  predators is synonymous with avoiding being eaten	nongold
39	all living things eliminate waste	nongold
40	alternative fuel is usually a renewable resource	nongold
41	waste must be removed	nongold
42	to prevent means to make it not happen	nongold
43	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
44	requiring is similar to needing help	nongold
45	to help; to benefit means to be of use	nongold
46	using less of a resource means conserving that resource	nongold
47	oil is a kind of fossil fuel	nongold
48	wasting  a resource harms that resource	nongold
49	using raw materials increases waste	nongold
50	helping something has a  positive impact on that something	nongold
51	using a car causes pollution	nongold
52	An example of being careful is avoiding danger	nongold
53	solution is similar to a positive impact	nongold
54	garbage means waste	nongold
55	gasoline is a kind of fuel	nongold
56	an event is a kind of action	nongold
57	to inhibit means to prevent	nongold
58	using a gasoline engine requires burning  gasoline	nongold
59	conserving resources has a positive impact on the environment	nongold
60	landfills have a negative impact on the environment; communities	nongold
61	if something is a raw material in a process then that something is required for that process	nongold
62	humans discarding waste in an environment causes harm to that environment	nongold
63	dead organisms are a kind of waste	nongold
64	a negative impact is a kind of consequence; risk	nongold
65	trash is synonymous with waste	nongold
66	using coal requires burning coal	nongold
67	a renewable resource is a kind of naturally replaced resource	nongold
68	oil is a nonrenewable resource	nongold
69	pollution is a kind of environmental problem	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	inhibitor means something that prevents something from happening	nongold
72	answering questions requires information	nongold
73	a natural resource is a kind of environmental factor	nongold
74	if something requires something else then that something requires a source of that something else	nongold
75	to prevent the occurence of an event means to decrease the occurence of the event	nongold
76	humans cause pollution	nongold
77	causing is similar to allowing	nongold
78	person is synonymous with human	nongold
79	coal is a kind of fossil fuel	nongold
80	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
81	fossil fuels; fossils are formed from dead organisms over time	nongold
82	operating an automobile usually requires fossil fuels	nongold
83	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
84	An example of conservation is turning off the water while brushing teeth	nongold
85	natural gas is a nonrenewable resource	nongold
86	to use means to utilize	nongold
87	something harmful can cause harm	nongold
88	to depend on; to rely on; to need means to require	nongold
89	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
90	gases released during the use of fossil fuels causes global warming	nongold
91	renewable resources can be used over again	nongold
92	burning gasoline; oil is a source of air pollution	nongold
93	if something causes a process then that something is required for that process	nongold
94	recycling has a  positive impact on the environment	nongold
95	fossil fuel contains chemical energy	nongold
96	wasting a resource is reducing the amount  of that resource without using that resource	nongold
97	get rid of means eliminate; remove	nongold
98	to keep something from happening means to prevent that something	nongold
99	fossil fuels have high potential energy	nongold
