Question	Tommy cut his finger. His body needed energy to help heal the cut. Where did the energy come from to heal the cut?	question
Answer	from the food he ate	answer
0	Tommy is a name for a human	gold
1	food is what an animal eats	nongold
2	an animal needs to eat food for nutrients	nongold
3	eating; taking in food is used to get nutrients;energy by animals; living things	gold
4	to eat means to consume food	nongold
5	diet means what an animal eats	nongold
6	to depend on; to rely on; to need means to require	nongold
7	to be used  for something means to help to do that something	nongold
8	a cut is a kind of wound	nongold
9	food is a source of energy for animals; plants	gold
10	where something  comes from is a source of that something	nongold
11	a food contains nutrients for living things	nongold
12	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
13	meat is a kind of food	nongold
14	requiring is similar to needing help	nongold
15	an object; material; substance comes from that object or material's source	nongold
16	to help; to benefit means to be of use	nongold
17	meat means dead animal for eating	nongold
18	a human is a kind of animal	gold
19	an animal is a kind of living thing	gold
20	to help means to aid	nongold
21	a vegetable is a kind of food	nongold
22	a finger is a part of a hand	nongold
23	helping something has a  positive impact on that something	nongold
24	food is a kind of substance	nongold
25	to repair means to heal	nongold
26	if something comes from something else then that something else is a source of that something	nongold
27	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
28	needing something means depending on that something	nongold
29	living things eat their food source	nongold
30	requiring something means needing that something	nongold
31	person is synonymous with human	nongold
32	a person is a kind of animal	nongold
33	a living thing is a kind of object	nongold
34	food is a kind of object	nongold
35	a utensil is used for eating	nongold
36	an animal; living thing requires nutrients for survival	nongold
37	an animal is a kind of organism	nongold
38	a vegetable is a kind of plant	nongold
39	food is a kind of chemical energy	nongold
40	a plant; living thing requires food for survival	nongold
41	healing requires rest; nutrients; energy	gold
42	helping means something can be done; completed more easily; better	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	nutrients are a source of energy for living things	nongold
45	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
46	an organism is a living thing	nongold
47	breakfast is a kind of food	nongold
48	lunch is a kind of meal	nongold
49	healing is a kind of biological process	nongold
50	if food is cooked then heat energy is added to that food	nongold
51	a dessert is a kind of food	nongold
52	to make something easier means to help	nongold
53	if something is a raw material then that something comes directly from a source	nongold
54	when an animal eats or drinks something , that animal tastes that something	nongold
55	heat is a kind of energy	nongold
56	digestion is when food is absorbed into the blood stream	nongold
57	a worm is a kind of animal	nongold
58	an organism eating is a kind of action	nongold
59	helping bodily processes has a positive impact on an animal; an animal's health	nongold
60	a scratch is a kind of wound	nongold
61	eating an animal; a plant means killing that animal; that plant	nongold
62	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
63	having food has a positive impact on an organism's health	nongold
64	living things all require energy for survival	nongold
65	fruit is a kind of food	nongold
66	cooking food requires adding heat energy to the food	nongold
67	a body part is a kind of object	nongold
68	a hand is a part of the body	nongold
69	if something requires something else then that something requires a source of that something else	nongold
70	chemical energy is a kind of energy	nongold
71	eating certain foods is a kind of habit	nongold
72	if a living thing requires something then that something has a positive impact on that living thing	nongold
73	good means positive	nongold
74	the body is a part of an organism	nongold
75	a utensil is a kind of tool for eating	nongold
76	an animal requires energy to move	nongold
77	absorbing energy causes objects; materials; substances to heat	nongold
78	if something causes a process then that something is required for that process	nongold
79	if something transfers something else then that something is a source of something else	nongold
80	strong means high in strength	nongold
81	baking is when a human makes food by adding heat	nongold
82	to scrape means to scratch	nongold
83	to enable is to help	nongold
84	if something generates energy for something else then that something powers that something else	nongold
85	to be helpful means to help to do	nongold
86	a worm is a kind of living thing	nongold
87	if an organism eats something then that something is a source of frood to that organism	nongold
88	helping means to assist in a change	nongold
89	help means advantage	nongold
90	to be used for something means to be required by that something	nongold
91	digestion is a kind of bodily process	nongold
92	human is a kind of organism	nongold
93	cutting means changing the object from a whole into smaller pieces	nongold
94	to digest means to break down food	nongold
95	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
96	objects are made of materials; substances; matter	nongold
97	a plant is a kind of living thing	nongold
98	the digestive system breaks down food into nutrients for  the body	nongold
99	a beverage is a kind of food	nongold
