Question	An Earth year is the length of time it takes for	question
Answer	Earth to revolve once around the Sun	answer
0	length of time means period of time	nongold
1	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
2	move around means revolve	nongold
3	once means one time	nongold
4	a star is a kind of celestial object; celestial body	nongold
5	revolve once means to complete a revolution	gold
6	years are a kind of unit for measuring time	gold
7	the Sun is a kind of star	nongold
8	the Earth revolves around the sun	nongold
9	a measure of time is a length of time	gold
10	Earth is a kind of planet	nongold
11	revolving  around something means orbiting that something	nongold
12	rotate is similar to revolve	nongold
13	how long something takes is a kind of measurement of time	nongold
14	a planet's distance from the star causes the length of a planetary year	nongold
15	annual means once per year	nongold
16	a planet is a kind of celestial object; body	nongold
17	light year is a measure of the distance light travels in one year	nongold
18	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
19	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
20	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
21	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
22	once per means every	nongold
23	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
24	revolving is a kind of motion	nongold
25	days are a kind of unit for measuring time	nongold
26	the sun rising; setting occurs once per day	nongold
27	cycles of day and night occur once per day	nongold
28	1 year is equal to 365 days	nongold
29	a light-year is used for describing long distances	nongold
30	sunlight is a kind of light	nongold
31	astronomy is the study of celestial (objects, bodies)	nongold
32	a revolution of the moon around the Earth takes 1; one month	nongold
33	the sun is a source of light; light energy called sunlight	nongold
34	each season occurs once per year	nongold
35	setting is a kind of motion	nongold
36	the sun rises in the east	nongold
37	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
38	the day time is part of one day	nongold
39	Neptune has the longest solar year; planetary year in the solar system	nongold
40	long means great in length	nongold
41	a planet completes one orbit around its star over a period of one planetary year	nongold
42	an equinox occurs twice per year	nongold
43	month is a kind of period of time	nongold
44	the sun sets in the west	nongold
45	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
46	the sun setting is a kind of event	nongold
47	revolving is a kind of action	nongold
48	the moon orbiting the Earth occurs once per month	nongold
49	1 year is equal to 12 months	nongold
50	months are a kind of unit for measuring time	nongold
51	the sun rising is a kind of event	nongold
52	the sun is a source of radiation; heat called sunlight	nongold
53	yearly means every year	nongold
54	sunlight is a kind of solar energy	nongold
55	a moon is a kind of celestial object; body	nongold
56	the sun is the source of solar energy called sunlight	nongold
57	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
58	sunlight means solar energy	nongold
59	period is similar to amount of time	nongold
60	planets in the solar system orbit the Sun	nongold
61	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
62	events occur at a specific place; at a specific time; with a specific frequency	nongold
63	meters;centimeters;kilometers are used to describe distance; describe length	nongold
64	a unit for measuring time is a kind of time interval	nongold
65	being around something means surrounding  that something	nongold
66	a meter is a kind of unit for measuring distance; measuring length	nongold
67	high is similar to increase	nongold
68	increase means more	nongold
69	to add means to increase	nongold
70	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
71	the moon orbits the Earth	nongold
72	a star produces light and heat	nongold
73	an event is a kind of action	nongold
74	monthly means once per month	nongold
75	length is a measure of distance from one end of an object to the other end of that object	nongold
76	length is a part of size	nongold
77	Earth is a planet that is closer to the  Sun than Jupiter	nongold
78	an increase is a kind of change	nongold
79	astronomical unit is a measure of distance between Earth and the Sun	nongold
80	if it is night then the sun has set	nongold
81	the sun rising and setting causes cycles of day and night	nongold
82	a cycle happens; occurs repeatedly	nongold
83	a process is a kind of event	nongold
84	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
85	a star is a source of light; light energy through nuclear reactions	nongold
86	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
87	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
88	all the time means at day and at night	nongold
89	the Sun is the  star that is closest to Earth	nongold
90	the sun  is the source of energy for physical cycles on Earth	nongold
91	the moon orbiting the Earth occurs approximately 13 times per year	nongold
92	Celestial bodies move in orbits in space around other celestial bodies	nongold
93	Tuesday is a kind of  time	nongold
94	the moon rising occurs once per day	nongold
95	a cycle is a kind of process	nongold
96	to a human a time period of 1000 years or more years is considered very long	nongold
97	Earth orbiting the Sun causes seasons to change	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	the sun is  the largest celestial body in our solar system	nongold
