Question	Which of the following Earth layers has the greatest density?	question
Answer	inner core	answer
0	the inner core is the most dense layer of Earth	gold
1	dense means high in density	gold
2	the  outer core is a layer of the Earth	nongold
3	largest means greatest in size	nongold
4	greatest means largest; highest; most amount of something	gold
5	the inner core is a layer of the Earth	gold
6	the inner core is located in the center of the earth	nongold
7	troposphere has the greatest density among the layers in the atmosphere	nongold
8	the outer core is the layer that is closest to  the center of the earth	nongold
9	deepest means greatest in depth	nongold
10	least is the opposite of greatest	nongold
11	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
12	less is similar to decrease	nongold
13	highest means largest; greatest; most in height	nongold
14	the mantle is the thickest; largest layer of the Earth	nongold
15	high is similar to increase	nongold
16	furthest; farthest means greatest; most; highest in distance	nongold
17	denser means more dense	nongold
18	lithosphere is a  layer of the Earth	nongold
19	lowest means least in value; amount; number	nongold
20	the core is a kind of layer of the sun	nongold
21	density is a kind of physical property	nongold
22	nucleus is synonymous with core; center	nongold
23	low is similar to decrease	nongold
24	the mantle is located between the crust and the outer core	nongold
25	an increase is the opposite of a decrease	nongold
26	if two substances have the same volume , then the  substance with less density will have less mass	nongold
27	the mantle is a layer of the Earth	nongold
28	soil usually has layers	nongold
29	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
30	to lower means to decrease	nongold
31	density is a measure of mass of an object over volume; divided by volume	nongold
32	to be filled with means to contain	nongold
33	density is an intensive property	nongold
34	most means over 50% of something	nongold
35	greater means higher; more in value	nongold
36	the crust is a layer of the Earth	nongold
37	increase means more	nongold
38	as density decreases ability to break apart increases	nongold
39	gases are usually low in density	nongold
40	Earth is a kind of planet	nongold
41	lower means less	nongold
42	smaller means less; lower in size	nongold
43	a structure of something is synonymous with a part of that something	nongold
44	asthenosphere is a layer of the Earth	nongold
45	Mars is a kind of inner planet	nongold
46	if an object has a small volume and large mass , then the object will  have a high density	nongold
47	if  two substances are made of different  elements , then the  substances will have different density	nongold
48	a decrease is a kind of change	nongold
49	Earth is made of rock	nongold
50	larger means greater; higher; more; increase in size	nongold
51	an increase is a kind of change	nongold
52	largest amount means most	nongold
53	length is a part of size	nongold
54	Earth is greater in mass than Mars	nongold
55	Earth's atmosphere has different layers	nongold
56	less is the opposite of more	nongold
57	made up of means contains; made of	nongold
58	the lithosphere is a kind of subsystem of Earth	nongold
59	to lack means to not have	nongold
60	outermost is similar to distant	nongold
61	to be made of means to consist of	nongold
62	as the volume of an object decreases , the density of that object will increase	nongold
63	a component means a part of	nongold
64	quantity means amount	nongold
65	to contain means to have inside	nongold
66	fewest means lowest; least in number	nongold
67	to add means to increase	nongold
68	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
69	composed of means made of	nongold
70	extreme means very high in value	nongold
71	low is the opposite of high	nongold
72	can be means able to be	nongold
73	higher means greater; above in value; amount; number	nongold
74	all the other means the rest of	nongold
75	to reduce means to decrease	nongold
76	accumulation means increase	nongold
77	approximately means about	nongold
78	as amount; size of something increases , the intensive properties of that something will not change	nongold
79	less means a reduced amount	nongold
80	heaviest means greatest mass; weight	nongold
81	longest means greatest in length	nongold
82	water is more dense than oil	nongold
83	a component of something means a part of that something	nongold
84	made of is similar to contains	nongold
85	unit is similar to part	nongold
86	rock is a kind of material	nongold
87	level is similar to amount; quantity	nongold
88	many means high in number	nongold
89	affected means changed	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	to be made of something means to be formed of that something	nongold
92	a whole is formed by its parts	nongold
93	the Earth's core is made of primarily iron	nongold
94	extreme heat and pressure is present in Earth's crust	nongold
95	contains means located in	nongold
96	the ground is part of the Earth	nongold
97	the mantle is located just below Earth's crust	nongold
98	long means great in length	nongold
99	if something is made of something else then that something can be broken down into that something else	nongold
