Question	When a boy stands in a field in the sunlight, he usually is able to see his	question
Answer	shadow	answer
0	shadow of an object can be seen by eyes	gold
1	a field is a kind of environment	nongold
2	sunlight is a kind of light	gold
3	visible means able to be seen	nongold
4	a boy is a kind of young male human	gold
5	daylight means sunlight	nongold
6	sight means to see	nongold
7	to view means to see	nongold
8	eyes are usually part of an animal for seeing	nongold
9	a field is a kind of habitat	nongold
10	to see means to look	nongold
11	daylight is when the sun shines on a location	nongold
12	seeing is used for sensing visual things	nongold
13	the occurance  of shadow requires the presence  of light	nongold
14	seeing requires light	nongold
15	a child is a kind of young human	nongold
16	eyes are used for seeing by animals by sensing light	nongold
17	the sun is a source of light; light energy called sunlight	nongold
18	sunlight means solar energy	nongold
19	an animal is a kind of living thing	gold
20	typically means usually	nongold
21	an object blocking light causes a shadow	gold
22	sunlight is a kind of solar energy	nongold
23	eyes can sense;detect light energy for seeing	nongold
24	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
25	a living thing is a kind of object	gold
26	a human is a kind of animal	gold
27	eyes are a part of a human for seeing	nongold
28	hiding means visibility; ability to be seen decreases for camouflage	nongold
29	daylight occurs during the day	nongold
30	to be in the sun means to be in the sunlight	nongold
31	being in the sun is synonymous with being in the sunlight	nongold
32	an animal is a kind of organism	nongold
33	not visible means cannot be seen	nongold
34	able is the opposite of unable	nongold
35	sight means vision	nongold
36	ability is a kind of characteristic	nongold
37	answering questions requires information	nongold
38	animals usually distance themselves from humans	nongold
39	observe means see	nongold
40	can be means able to be	nongold
41	not looking means not seeing	nongold
42	appear is similar to apparent	nongold
43	dark is the opposite of light	nongold
44	night is low in light; in visibility	nongold
45	invisible means cannot be seen	nongold
46	the ability to do means be able to do	nongold
47	to watch means to look at	nongold
48	motion is when moves an object; something to a direction	nongold
49	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
50	a plant is a kind of living thing	nongold
51	darkness occurs at night	nongold
52	dark means dark in color	nongold
53	generally means usually	nongold
54	walking is a kind of motion	nongold
55	person is synonymous with human	nongold
56	the sun is a source of radiation; heat called sunlight	nongold
57	better look means see better	nongold
58	if something is visible , then that something can be observed	nongold
59	dark means a low amount of light	nongold
60	a face is often a part of an animal	nongold
61	usually means most of the time	nongold
62	human eyes can only see light in the range of visible light	nongold
63	when object is in direct light then that object is not shaded	nongold
64	sight is a kind of sense	nongold
65	as the amount of light decreases , the difficulty to see shadows will increase	nongold
66	a plant is a kind of organism	nongold
67	a person is a kind of animal	nongold
68	the sunlight occurs during the day	nongold
69	motion; movement means moving; to move	nongold
70	the sun is the source of solar energy called sunlight	nongold
71	setting is a kind of motion	nongold
72	a girl is a kind of animal	nongold
73	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
74	a girl is a kind of young; female human	nongold
75	close means low in distance	nongold
76	appearing is similar to seeming	nongold
77	visible light is a kind of  light	nongold
78	near; close is the opposite of far; away	nongold
79	if an object reflects light toward the eye then that object can be seen	nongold
80	out is synonymous with outside	nongold
81	feature is synonymous with characteristic	nongold
82	a student is a kind of human	nongold
83	high is similar to increase	nongold
84	form means kind	nongold
85	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
86	inability is the opposite of ability	nongold
87	as a source of light moves directly overhead of an object , the size of the shadow of that object will decrease	nongold
88	to look like means to have the visual properties of	nongold
89	bright means bright; light in color	nongold
90	a girl is a kind of organism	nongold
91	appearance is a property of objects; materials	nongold
92	a structure of something is synonymous with a part of that something	nongold
93	to get a better look at means to see better	nongold
94	a ball field is open; grassy	nongold
95	if something is outside during the day , then that something will reflect enough light to be seen	nongold
96	a motion is a kind of event; action	nongold
97	light means light energy	nongold
98	a type is synonymous with a kind	nongold
99	if it is night then the sun has set	nongold
