Question	The movement of soil by wind or water is called	question
Answer	erosion	answer
0	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
1	motion; movement means moving; to move	nongold
2	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
3	flowing is a kind of motion	nongold
4	wind causes erosion	nongold
5	soil erosion means soil loss through wind;water; animals	gold
6	soil erosion is a kind of event	nongold
7	soil erosion is a kind of slow; natural process	nongold
8	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
9	erosion is a kind of process	nongold
10	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
11	wind and rain; storms cause erosion	nongold
12	soil is formed by rocks eroding	nongold
13	erosion is a kind of change	nongold
14	weathering is a kind of erosion	nongold
15	movement is a kind of change	nongold
16	soil is formed by weathering	nongold
17	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
18	erosion of soil has a  negative impact on the environment; soil quality	nongold
19	a river is a kind of flowing body of water	nongold
20	waves are made of moving water	nongold
21	weathering; erosion usually occurs over a period of many years	nongold
22	to wash away is a kind of movement by moving water	nongold
23	water causes the most soil and rock erosion	nongold
24	the ground is part of the Earth	nongold
25	weathering is a kind of process	nongold
26	An example of movement is washing away	nongold
27	erosion; storms can cause a landslide	nongold
28	moving is similar to travelling	nongold
29	distance moved; distance travelled is a measure of how far an object moves	nongold
30	a landslide is a kind of natural event	nongold
31	motion is when moves an object; something to a direction	nongold
32	weathering occurs at the surface of the Earth	nongold
33	a motion is a kind of event; action	nongold
34	breaking down is a kind of forming	nongold
35	mechanical weathering is a kind of weathering	nongold
36	break down means change from a whole into pieces	nongold
37	erosion is a kind of destructive force	nongold
38	the formation of something is a kind of process	nongold
39	wind means moving air	nongold
40	rain causes erosion	nongold
41	the ground means Earth's surface	nongold
42	wind carries; transports sand; dirt from one place to another place	nongold
43	weather is a source of wind and water for the weathering process	nongold
44	the wind causes the surface of the water to change its direction toward the direction of the wind	nongold
45	an earthquake is a kind of natural; geological event	nongold
46	soil is made of very small rocks; minerals	nongold
47	soil is made of solid particles	nongold
48	a process is a kind of event	nongold
49	to cause the formation of means to form	nongold
50	rising is a kind of motion	nongold
51	erosion causes a river to become deeper and wider	nongold
52	the formation of rock is a kind of process	nongold
53	an earthquake changes Earth's surface quickly	nongold
54	sliding is a kind of movement	nongold
55	pulling is a kind of motion	nongold
56	soil contains water; humus; weathered rocks; organic matter	nongold
57	travel means to move	nongold
58	Earth is made of rock	nongold
59	flowing is a kind of action	nongold
60	mechanical weathering is when rocks are broken down by mechanical means	nongold
61	returning is a kind of movement	nongold
62	a type is synonymous with a kind	nongold
63	washing out means being moved from  by water	nongold
64	to be formed by is to be the result of	nongold
65	sediment is formed by weathering	nongold
66	lowering is a kind of motion	nongold
67	to add means to increase	nongold
68	sediment is similar to soil	nongold
69	due to means caused by	nongold
70	pushing something can cause that something  to move	nongold
71	a rock is a kind of object	nongold
72	ground water is a kind of water	nongold
73	soil is a kind of material	nongold
74	form means kind	nongold
75	soil is usually part of an environment	nongold
76	a tectonic plate moves along a fault line	nongold
77	sliding is a kind of motion	nongold
78	to happen means to occur	nongold
79	rotating is similar to moving	nongold
80	running is a kind of movement	nongold
81	extreme means very high in value	nongold
82	to break down means to break into smaller pieces	nongold
83	a landform is a kind of natural formation	nongold
84	raising is a kind of motion	nongold
85	erosion causes deposition	nongold
86	something that happens is a kind of event	nongold
87	to cause is similar to bring	nongold
88	meters;centimeters;kilometers are used to describe distance; describe length	nongold
89	rolling is a kind of motion	nongold
90	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
91	erosion usually causes harm to the environment	nongold
92	rain is a kind of water	nongold
93	water is a kind of object	nongold
94	to give is similar to to cause	nongold
95	a stream is a kind of body of water	nongold
96	turning is a kind of motion	nongold
97	plate tectonics is a kind of process	nongold
98	an earthquake wave is a kind of wave	nongold
99	high is similar to increase	nongold
