Question	Which of these objects is visible because it reflects light toward the eye?	question
Answer	shiny metallic balloon	answer
0	visible means able to be seen	gold
1	a balloon is made of rubber	nongold
2	a balloon is a kind of object	gold
3	if an object reflects light toward the eye then that object can be seen	gold
4	shiny things; objects reflect light	gold
5	light reflecting off of an object causes that object to be visible to the observer	nongold
6	a balloon is a kind of container	nongold
7	a balloon contains gas	nongold
8	eyes are a part of a human for seeing	nongold
9	sight means to see	nongold
10	eyes are usually part of an animal for seeing	nongold
11	metallic is similar to shiny	gold
12	reflecting light; sound is the opposite of absorbing light; sound	nongold
13	eyes are used for seeing by animals by sensing light	gold
14	sight means vision	nongold
15	eyes can sense;detect light energy for seeing	nongold
16	the eyes are part of the head used for seeing	nongold
17	reflection is when light is reflected from one object; one place to  another object; another place	nongold
18	visible light is a kind of  light	nongold
19	a balloon is highly flexible	nongold
20	if an object reflects more light then that object is more easily seen	nongold
21	a living thing is a kind of object	nongold
22	human eyes can only see light in the range of visible light	nongold
23	seeing is used for sensing visual things	nongold
24	if something is visible , then that something can be observed	nongold
25	objects are made of materials; substances; matter	nongold
26	an animal is a kind of living thing	nongold
27	not visible means cannot be seen	nongold
28	seeing requires light	nongold
29	to bounce back means to reflect	nongold
30	to see means to look	nongold
31	invisible means cannot be seen	nongold
32	sunlight is a kind of light	nongold
33	a human is a kind of animal	nongold
34	to move toward means to move nearer	nongold
35	to reflect light means to scatter light	nongold
36	visible light is able to be seen without using equipment	nongold
37	air is invisible	nongold
38	a white object reflects all visible light	nongold
39	magnifying glass is used to see  small things by making objects appear bigger	nongold
40	sight is a kind of sense	nongold
41	to view means to see	nongold
42	towards means closer to something	nongold
43	if an object is made of a material then that object has the properties of that material	nongold
44	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
45	if an object reflects a light of a certain color then the object appears to be that color	nongold
46	metal is a kind of material	nongold
47	if an object is white then that object reflects all visible light	nongold
48	metal is reflective	nongold
49	scattering light decreases visibility	nongold
50	light is a kind of wave	nongold
51	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
52	optical tools are used for observing materials up close; in greater detail	nongold
53	a rocket is a kind of object	nongold
54	shadow of an object can be seen by eyes	nongold
55	propulsion can cause a deflating balloon to fly	nongold
56	light enters the eye through the pupil	nongold
57	reflection is when particles bounce off a surface	nongold
58	materials are made of matter	nongold
59	to shine means to emit light	nongold
60	viewing means observing light	nongold
61	if an object is translucent , then some light will shine through that object	nongold
62	to look like means to have the visual properties of	nongold
63	looking at bright objects has a negative impact on the eyes	nongold
64	a landform is a kind of object	nongold
65	image means visual depiction of an object	nongold
66	bouncing something back means reflecting that something	nongold
67	a reflector is used to reflect light especially on vehicles	nongold
68	not looking means not seeing	nongold
69	an part of an object is smaller than the entire object	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	instrument means device	nongold
72	reflection is a property of light	nongold
73	substances are made of matter	nongold
74	an animal is a kind of organism	nongold
75	if an object is translucent , then some light will scatter	nongold
76	if an object is black then that object absorbs all visible light; heat	nongold
77	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
78	an object is made of its parts	nongold
79	a bubble is a kind of object	nongold
80	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
81	if an object is transparent , then light will shine through that object without scattering	nongold
82	light means light energy	nongold
83	a surface is a part of an object	nongold
84	to watch means to look at	nongold
85	feeling is when an living thing senses through touch	nongold
86	if an object is in the light then that object is blocking the light	nongold
87	when light hits a reflective object , that light bounces off that object	nongold
88	looking is similar to observing	nongold
89	better look means see better	nongold
90	an object has properties	nongold
91	seeing small things is difficult	nongold
92	instrument means tool	nongold
93	sunglasses are used for reflecting light rays away from the eyes	nongold
94	to receive sunlight means to absorb sunlight	nongold
95	light rays can have a negative impact on the eyes	nongold
96	a device is a kind of object	nongold
97	light rays means light	nongold
98	an object is an item	nongold
99	how something  appears is how that something  looks	nongold
