Question	Which living organism makes its own food using sunlight?	question
Answer	tree	answer
0	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
1	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
2	a producer produces its own food	nongold
3	a tree is a kind of living thing	nongold
4	make means produce	nongold
5	a tree is a kind of plant	gold
6	providing something means making;delivering something	nongold
7	a producer is a kind of living thing	nongold
8	a consumer can not produce its own food	nongold
9	sunshine means sunlight	nongold
10	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
11	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
12	sunlight means solar energy	nongold
13	daylight means sunlight	nongold
14	an organism is a living thing	gold
15	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
16	sunlight is a kind of solar energy	nongold
17	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
18	green plants are a kind of producer	nongold
19	a plant; living thing requires food for survival	nongold
20	a  plant requires sunlight for photosynthesis	nongold
21	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
22	an animal is a kind of living thing	nongold
23	provide is similar to give; make	nongold
24	sunlight is a kind of light	nongold
25	the sun is the source of solar energy called sunlight	nongold
26	the sun is a source of light; light energy called sunlight	nongold
27	living things eat their food source	nongold
28	In the food chain process a  green plant has the role of  producer	gold
29	a leaf is a part of a tree	nongold
30	sunlight produces heat	nongold
31	an animal is a kind of organism	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
34	production is similar to making	nongold
35	life means living things	nongold
36	to eat means to consume food	nongold
37	a food contains nutrients for living things	nongold
38	a plant is a kind of organism	gold
39	an animal is a kind of consumer	nongold
40	solar energy is a kind of light	nongold
41	a consumer is a kind of organism	nongold
42	a plant is a kind of living thing	nongold
43	a living thing is a kind of object	nongold
44	a tree requires sunlight to grow	nongold
45	food is what an animal eats	nongold
46	to cause means to make	nongold
47	a product is a kind of object	nongold
48	producer is a kind of role in the food chain process; in an ecosystem	nongold
49	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
50	an animal; living thing requires nutrients for survival	nongold
51	roots are a part of a plant; tree	nongold
52	emit means produce	nongold
53	food is a kind of object	nongold
54	to receive sunlight means to absorb sunlight	nongold
55	some species of tree are deciduous	nongold
56	solar energy is a kind of heat energy	nongold
57	a tree is a kind of matter	nongold
58	receiving sunlight  is synonymous with absorbing sunlight	nongold
59	to be used for something means to be required by that something	nongold
60	a vegetable is a kind of food	nongold
61	producing is a kind of process	nongold
62	organisms mean life	nongold
63	an animal needs to eat food for nutrients	nongold
64	to produce means to provide	nongold
65	food is a source of energy for animals; plants	nongold
66	a food web is made of organisms that consume other organisms; that produce their own food	nongold
67	if something causes a process then that something is required for that process	nongold
68	if an organism eats something then that something is a source of frood to that organism	nongold
69	synthesize means to make	nongold
70	baking is when a human makes food by adding heat	nongold
71	consumption means use	nongold
72	to contribute is similar to produce	nongold
73	consumers eat other organisms	nongold
74	intensity of sunlight is similar to amount of sunlight	nongold
75	a crop is a kind of food	nongold
76	the sun is a source of radiation; heat called sunlight	nongold
77	give off is similar to make	nongold
78	light means light energy	nongold
79	a producer is a source of energy for consumers	nongold
80	products are formed; are produced; are created	nongold
81	photosynthesis stores; captures energy	nongold
82	manufacturing means making	nongold
83	the sunlight occurs during the day	nongold
84	animals; living things live and feed in their habitats; near their habitats	nongold
85	to create means to make	nongold
86	producers pass materials they use through the food chain	nongold
87	food is a kind of substance	nongold
88	developing means making	nongold
89	solar energy is a kind of energy	nongold
90	manufacture means make	nongold
91	converting is similar to producing	nongold
92	being in the sun is synonymous with being in the sunlight	nongold
93	creating means making	nongold
94	a vegetable is a kind of plant	nongold
95	diet means what an animal eats	nongold
96	the function of something is what that something  is used to do	nongold
97	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
98	heat means heat energy	nongold
99	a plant requires photosynthesis to grow; survive	nongold
