Question	Which occurs as a result of Earth's tilt on its rotating axis?	question
Answer	seasonal changes in the climate	answer
0	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
1	the Earth being tilted on its rotating axis causes seasons	nongold
2	a seasonal change is a kind of environmental change	nongold
3	to cause means to result in	gold
4	seasons cause change to the environment	nongold
5	the Earth rotates on its axis	gold
6	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
7	season is a major yearly temperature change	nongold
8	Earth rotating on its axis occurs once per day	nongold
9	a climate is synonymous with an environment	nongold
10	seasonal changes are made in response to changes in the environment	nongold
11	an increase is a kind of change	nongold
12	a decrease is a kind of change	nongold
13	winter is when a hemisphere is tilted away from the sun	nongold
14	annual means once per year	nongold
15	to happen means to occur	nongold
16	climate is the usual kind of weather in a location over a period of time	nongold
17	Earth is a kind of planet	nongold
18	every summer  is a kind of period of time	nongold
19	summer is when a hemisphere is tilted towards the sun	nongold
20	to change means to cause a change	nongold
21	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
22	temperature is a property of weather	nongold
23	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
24	affected means changed	nongold
25	Earth orbiting the Sun causes seasons to change	nongold
26	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
27	a cycle happens; occurs repeatedly	nongold
28	result means outcome	nongold
29	winter is a kind of season	nongold
30	an increase is the opposite of a decrease	nongold
31	a motion is a kind of event; action	nongold
32	summer is a kind of season	nongold
33	planets have climate	nongold
34	each season occurs once per year	nongold
35	spring is a kind of season	nongold
36	summer follows spring	nongold
37	a planet rotating causes cycles of day and night on that planet	nongold
38	rotation is a kind of motion	nongold
39	spring follows winter	nongold
40	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
41	rotating is similar to moving	nongold
42	winter is a part of the year	nongold
43	to be formed by is to be the result of	nongold
44	if something used to be in the past then that something  has changed	nongold
45	increase means more	nongold
46	events occur at a specific place; at a specific time; with a specific frequency	nongold
47	yearly means every year	nongold
48	to produce means to result in	nongold
49	an event is a kind of action	nongold
50	as the cause of something decreases , that something will decrease	nongold
51	to lower means to decrease	nongold
52	a change is a kind of event	nongold
53	change is a kind of impact	nongold
54	causing is a kind of affecting	nongold
55	the intensity of sunlight is a kind of seasonal weather pattern	nongold
56	high is similar to increase	nongold
57	spring has warm temperatures; weather	nongold
58	winter is the opposite of summer	nongold
59	global warming is when worldwide temperature increases	nongold
60	different seasons occur during different times of the year	nongold
61	something that happens is a kind of event	nongold
62	a result of something is evidence of that something	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	weather changes from seasons to seasons	nongold
65	to change means to have an effect	nongold
66	winter has cold temperatures;weather	nongold
67	Earth's angle of tilt causes the length of day and night to vary	nongold
68	a source of something increases the amount of that something	nongold
69	to be a source of something means to cause that something	nongold
70	to reduce means to decrease	nongold
71	event is similar to occurrence	nongold
72	if the component of something changed , then the whole thing will change	nongold
73	changed is the opposite of unchanged	nongold
74	An example of a seasonal change; adaptation is plants dying;  becoming dormant in the winter	nongold
75	reducing is a kind of change	nongold
76	a process is a kind of event	nongold
77	a hemisphere is a part of Earth	nongold
78	to cause means to have an effect	nongold
79	winter means environmental; outdoor temperature decreases	nongold
80	a rotation is a kind of movement	nongold
81	average amount of precipitation is a property of climate	nongold
82	if something causes an increase in something else then that something produces that something else	nongold
83	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	nongold
84	revolving is a kind of motion	nongold
85	weather is a property of a environment	nongold
86	migration is when animals move themselves from a cooler climate to a warmer climate for the winter	nongold
87	to cause something means to contribute to that something happening	nongold
88	to pass means to occur	nongold
89	summer has hot temperatures; weather	nongold
90	as the amount of a source of something decreases , the amount of that something will decrease	nongold
91	adding something is a kind of change	nongold
92	Autumn is a kind of season	nongold
93	variable means able to change	nongold
94	a component means a part of	nongold
95	a new season occurs once per 3.0 months	nongold
96	if something emits something else then that something increases the amount of that something else	nongold
97	change is a kind of process	nongold
98	Earth's rotation causes time zones	nongold
99	low is similar to decrease	nongold
