Question	How do the spines of a cactus help it survive?	question
Answer	Spines protect the cactus from animals.	answer
0	a cactus spine is a part of a cactus for protecting the cactus from animals	gold
1	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
2	protecting something means preventing harm to that something	gold
3	helping something has a  positive impact on that something	nongold
4	a cactus is a kind of plant	nongold
5	a spine is a kind of object	nongold
6	to protect means to defend	nongold
7	an animal is a kind of living thing	nongold
8	a living thing is a kind of object	nongold
9	a cactus lives in the desert	nongold
10	if a living thing requires something then that something has a positive impact on that living thing	nongold
11	a plant is a kind of living thing	nongold
12	an animal is a kind of organism	nongold
13	protection means resistance to damage increases	nongold
14	to help means to aid	nongold
15	harming something has a  negative impact on; effect on that something	nongold
16	An example of an adaptation is a  cactus spine	nongold
17	to be used  for something means to help to do that something	nongold
18	damage means harm	nongold
19	killing means harming something causing death	nongold
20	an animal; living thing requires nutrients for survival	nongold
21	a plant is a kind of organism	nongold
22	something hard; something strong can be used for protection	nongold
23	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
24	an organism is a living thing	nongold
25	harming an environment causes harm to the living things; to the organisms in that environment	nongold
26	hiding is a kind of protection against predators; from predators	nongold
27	requiring is similar to needing help	nongold
28	helping means something can be done; completed more easily; better	nongold
29	if a living thing dies then that living thing is dead	nongold
30	protecting is a kind of function	nongold
31	damage has a negative impact on a thing	nongold
32	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
33	killing means changing a living thing from alive to dead by harming	gold
34	to help; to benefit means to be of use	nongold
35	covering something is a kind of protection	nongold
36	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
37	survive means live	nongold
38	survive means live	gold
39	plants are a part of the environment	nongold
40	death means to die	nongold
41	eating an animal; a plant means killing that animal; that plant	nongold
42	a cactus stores water	nongold
43	to hurt means to harm	nongold
44	a human is a kind of animal	nongold
45	a plant; living thing requires food for survival	nongold
46	camouflage is a kind of protection against predators; from predators; against consumers	nongold
47	negative impact is the opposite of positive impact	nongold
48	skin is a part of an animal; plant	nongold
49	organisms are a part of an environment	nongold
50	harming an animal species has a  negative impact on the population size of that species	nongold
51	a part of a living thing is a natural structure	nongold
52	an animal requires enough nutrients to maintain good health; survive	nongold
53	preventing something decreases the amount of that something	nongold
54	harm means danger	nongold
55	survival means to survive	nongold
56	life means living things	nongold
57	helping bodily processes has a positive impact on an animal; an animal's health	nongold
58	protecting nature has a positive impact on the environment	nongold
59	danger has a negative impact on a thing	nongold
60	an environment means an area	nongold
61	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
62	a lack of something that a living thing requires prevents the survival of that living thing	nongold
63	helping means to assist in a change	nongold
64	a predator is a kind of animal	nongold
65	weakness has a negative impact on an animal's survival; health; ability to reproduce	nongold
66	carnivores; omnivores; herbivores are a kind of animal	nongold
67	a living thing is made of cells	nongold
68	something harmful can cause harm	nongold
69	an part of an object is smaller than the entire object	nongold
70	to protect means to make safe	nongold
71	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
72	objects in an environment are a part of that environment	nongold
73	a decomposer is a kind of living thing	nongold
74	to be helpful means to help to do	nongold
75	good means positive	nongold
76	a mushroom is a kind of living thing	nongold
77	vegetation means plants	nongold
78	a food contains nutrients for living things	nongold
79	to be good for means to have a positive impact on	nongold
80	harming an animal species causes that animal's population to decrease	nongold
81	a structure of something is synonymous with a part of that something	nongold
82	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
83	inhibitor means something that prevents something from happening	nongold
84	dying is the opposite of living; surviving	nongold
85	harming an organism can cause that organism to die	nongold
86	an animal is a member of an animal species	nongold
87	hair; fur is  a part of skin for protection; keeping warm	nongold
88	harm means injury	nongold
89	resistances are a property of living things	nongold
90	the immune system defends the body against disease	nongold
91	a fungus is a kind of living thing	nongold
92	a worm is a kind of decomposer	nongold
93	a predator is a kind of enemy to its prey	nongold
94	an animal; bacterium requires oxygen for survival; to breathe	nongold
95	a negative impact is a kind of consequence; risk	nongold
96	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
97	a poisonous animal is dangerous	nongold
98	best means most positive	nongold
99	a tree is a kind of living thing	nongold
