Question	Which adaptation allows a fish to get oxygen underwater?	question
Answer	gills	answer
0	gills are a kind of adaptation for getting oxygen underwater	gold
1	gills are used for breathing water by aquatic animals	gold
2	gills are a part of a fish used for breathing water	nongold
3	breathing is when a gill converts from oxygen in water into oxygen in blood	gold
4	gills are a part of trout	nongold
5	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
6	a gill is a kind of organ for breathing water	nongold
7	young amphibians breathe through gills	nongold
8	underwater means below water	gold
9	if something is required for something else then that something allows that something else	nongold
10	an animal; bacterium requires oxygen for survival; to breathe	gold
11	a fish is a kind of aquatic animal	gold
12	take in oxygen means get oxygen into the blood	nongold
13	to be used for is similar to allowing	gold
14	a fish is a kind of animal	nongold
15	an adaptation is a kind of change	nongold
16	receive means get	nongold
17	causing is similar to allowing	nongold
18	an animal is a kind of living thing	nongold
19	an aquatic animal is a kind of animal	gold
20	floating on water is a kind of adaptation	nongold
21	to enable means to allow	nongold
22	an adaptation is an adaptive feature	nongold
23	a deep sea animal is a kind of marine organism	nongold
24	aquatic animal means water animal	nongold
25	adaptations are used for survival	nongold
26	getting something increases the amount of that something	nongold
27	a living thing is a kind of object	nongold
28	a fish lives in water	nongold
29	requiring is similar to needing help	nongold
30	if a living thing requires something then that something has a positive impact on that living thing	nongold
31	an animal is a kind of organism	nongold
32	helping something has a  positive impact on that something	gold
33	an organism is a living thing	nongold
34	to be used for something means to be required by that something	nongold
35	to obtain means to get	nongold
36	one can get something from a source	nongold
37	an adaptation is a kind of characteristic	nongold
38	requiring something means needing that something	nongold
39	all animals breathe	nongold
40	oxygenated means having oxygen	nongold
41	an ocean is a kind of body of water	nongold
42	to be submerged means to be placed under	nongold
43	breathing is a kind of process	nongold
44	ocean animal is similar to water animal	nongold
45	adapting is when a living thing responds to a change in an environment	nongold
46	a fish is a kind of scaled animal	nongold
47	a body of water is a kind of environment	nongold
48	breathing is when animals convert oxygen into carbon dioxide	nongold
49	the respiratory system takes in oxygen from the air	nongold
50	An example of an adaptation is moving fast	nongold
51	oxygen is a kind of resource	nongold
52	bringing oxygen to the body is a kind of function	nongold
53	a mollusk is a kind of animal	nongold
54	can be means able to be	nongold
55	a part of a living thing is a natural structure	nongold
56	breathing in is when animals inhale air into their lungs	nongold
57	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
58	a human is a kind of animal	nongold
59	a fish is a kind of predator	nongold
60	adaptation is when an organism develops a trait over time for survival	nongold
61	to depend on; to rely on; to need means to require	nongold
62	life means living things	nongold
63	a clam is a kind of aquatic animal	nongold
64	an animal; living thing requires nutrients for survival	nongold
65	depth is a kind of distance vertically	nongold
66	a process usually requires all of the stages in that process	nongold
67	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
68	swimming is when humans; animals can move in water	nongold
69	a part of a process means a stage in a process	nongold
70	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
71	animals; living things require water for survival	nongold
72	animals adapt to their environment	nongold
73	a vehicle for something allows; enables that something to occur	nongold
74	aquatic animals; plants live in bodies of water	nongold
75	a process is a kind of event	nongold
76	if an organism can do something , then that organism is able to do that something	nongold
77	water is a part of an environment	nongold
78	lungs are used for breathing air by land animals; birds	nongold
79	a shark is a kind of fish	nongold
80	oxygen is a kind of gas at room temperature	nongold
81	the lungs are a part of the body of an animal used for breathing air	nongold
82	water contains dissolved oxygen	nongold
83	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
84	the ability to do means be able to do	nongold
85	a structure of something is synonymous with a part of that something	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	allowing is a kind of controlling	nongold
88	breathing is a kind of  function	nongold
89	high is similar to increase	nongold
90	well-suited is similar to adapted	nongold
91	mussels are a kind of aquatic animal	nongold
92	organisms are a part of an environment	nongold
93	harming something has a  negative impact on; effect on that something	nongold
94	to exhale means to release	nongold
95	if something causes a process then that something is required for that process	nongold
96	if something has the ability to do something else , then that something can do that something else	nongold
97	a crab is a kind of water animal	nongold
98	deep sea animals live deep in the ocean	nongold
99	storing water is a kind of adaptation	nongold
