Question	Clearing forests of trees and vegetation for human development can have major impacts on the ecosystem. Which would most likely occur after a forested area is cleared?	question
Answer	an increase in soil erosion	answer
0	clearing a forest means humans cutting down the trees	nongold
1	clearing is similar to removing	nongold
2	logging is when humans cut down trees; forests for wood	nongold
3	soil erosion means soil loss through wind;water; animals	nongold
4	a forest is a kind of ecosystem	nongold
5	a forest is a kind of environment	nongold
6	forest is synonymous with wooded area	nongold
7	tree roots reduce soil erosion	gold
8	removing a forest means cutting down a forest	nongold
9	erosion is a kind of change	nongold
10	removing a forest means cutting down the trees in that forest	nongold
11	overgrazing increases soil erosion	nongold
12	to impact means to affect	nongold
13	an increase is a kind of change	nongold
14	to cause means to have an effect	nongold
15	impact means effect	nongold
16	erosion sometimes decreases the amount of nutrients in soil	nongold
17	loss is similar to removal	nongold
18	removing forests means removing animal habitats	nongold
19	erosion usually causes harm to the environment	nongold
20	clearing a forest is similar to deforestation	gold
21	to reduce means to decrease	nongold
22	erosion of soil has a  negative impact on the environment; soil quality	nongold
23	a forest contains  lots of plants; trees	gold
24	loss means reduction	nongold
25	to change means to have an effect	nongold
26	a decrease is a kind of change	nongold
27	a tree is a kind of living thing	nongold
28	increase means more	nongold
29	deforested area means an area where trees have been cut down	nongold
30	a tree is a kind of plant	nongold
31	an ecosystem is a kind of habitat	nongold
32	woodland means forest	nongold
33	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
34	an environment is similar to an ecosystem	nongold
35	an environment means an area	nongold
36	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
37	soil is usually part of an environment	nongold
38	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
39	remove means decrease	nongold
40	weathering is a kind of erosion	nongold
41	a source of something increases the amount of that something	nongold
42	cutting down a forest means cutting down the trees in that forest	nongold
43	cutting down trees in a forest causes the number of trees to decrease in that forest	gold
44	an ecosystem contains a large community of; large numbers of living organisms	nongold
45	a human is a kind of animal	nongold
46	an increase is the opposite of a decrease	nongold
47	erosion is a kind of process	nongold
48	a tree contains wood	nongold
49	planting trees has a  positive impact on an ecosystem	nongold
50	weathering; erosion usually occurs over a period of many years	nongold
51	destroying a forest means cutting down the trees in that forest	nongold
52	causing is a kind of affecting	nongold
53	change is a kind of impact	nongold
54	soil erosion is a kind of slow; natural process	nongold
55	wind and rain; storms cause erosion	nongold
56	destruction means loss	nongold
57	as the cause of something decreases , that something will decrease	nongold
58	to lower means to decrease	nongold
59	to happen means to occur	nongold
60	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
61	organisms are a part of an environment	nongold
62	In the erosion process roots of plants are an inhibitor	nongold
63	soil erosion is a kind of event	nongold
64	a plant is a kind of organism	nongold
65	humans changing an environment sometimes causes that environment to be destroyed	nongold
66	an organism is a living thing	nongold
67	erosion is a kind of destructive force	nongold
68	fire causes harm to trees; to forests; to living things	nongold
69	rain causes erosion	nongold
70	when deforestation increases , soil erosion increases	gold
71	if there is a loss of something then that something decreases	nongold
72	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
73	affected means changed	nongold
74	destroying animal habitats changes an ecosystem	nongold
75	a rainforest is a kind of ecosystem	nongold
76	damage means harm	nongold
77	if something is required for a process then that something positively impacts that process	nongold
78	a plant is a kind of living thing	nongold
79	soil loss causes an area decrease in size	nongold
80	planting trees is sometimes a human activity	nongold
81	a rain forest is a kind of forest	nongold
82	ecological succession often occurs after forest fires	nongold
83	a tree is a kind of habitat	nongold
84	grass roots reduce soil erosion	nongold
85	loss is a kind of change	nongold
86	soil is a part of the ground outside	nongold
87	high is similar to increase	nongold
88	water causes the most soil and rock erosion	nongold
89	plants are a part of the environment	nongold
90	harming something has a  negative impact on; effect on that something	nongold
91	human is a kind of organism	nongold
92	as the amount of a source of something decreases , the amount of that something will decrease	nongold
93	vegetation means plants	nongold
94	planting trees is the opposite of cutting down trees	nongold
95	if something is eliminated then the amount of that something decreases	nongold
96	reducing is a kind of change	nongold
97	trees are a kind of natural resource	nongold
98	land is a kind of environment	nongold
99	erosion causes deposition	nongold
