Question	What chemical symbol represents the element iron?	question
Answer	Fe	answer
0	the chemical symbol for iron is Fe	nongold
1	Fe is the chemical symbol for iron	gold
2	the  chemical symbol for oxygen is O	nongold
3	iron is a kind of element	nongold
4	iron is a kind of metal	nongold
5	a metal is a kind of element	nongold
6	the  chemical symbol for copper is Cu	nongold
7	iron is a kind of solid	nongold
8	iron oxide; rust; Fe2O3 is made of iron and oxygen	nongold
9	an  element is a kind of atom	nongold
10	zinc is a kind of metal	nongold
11	metal is a kind of substance	nongold
12	the  chemical symbol for argon is Ar	nongold
13	an element is a kind of  substance	nongold
14	the chemical symbol for antimony is Sb	nongold
15	O is the chemical symbol for oxygen	nongold
16	aluminum is a kind of element	nongold
17	iron sulfide is made of iron and sulfur	nongold
18	a compound can be chemically separated into the elements that it is made of	nongold
19	the chemical symbol for tellurium is Te	nongold
20	aluminum is a kind of metal	nongold
21	oxygen  is a kind of element	nongold
22	carbon is a kind of element	nongold
23	substances are made of elements	nongold
24	the chemical symbol for helium is He	nongold
25	steel is a kind of metal	nongold
26	chlorine is a kind of element	nongold
27	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
28	hydrogen is a kind of element	nongold
29	sulfur is a kind of element	nongold
30	chemicals means substances	nongold
31	compound is a kind of chemical	nongold
32	sodium is a kind of metal	nongold
33	sodium is a kind of element	nongold
34	an element is made of one kind of atoms	nongold
35	chemical compounds contain chemical bonds between atoms; between elements	nongold
36	chemical weathering causes iron in rock to oxidize	nongold
37	a compound is made of two or more elements that have been chemically combined	nongold
38	an element is a kind of material	nongold
39	tungsten is a kind of metal	nongold
40	if a substance is made of one element , then the substance is called an element	nongold
41	the  chemical symbol for neon is Ne	nongold
42	nitrogen is a kind of element	nongold
43	a chemical compound is a kind of compound	nongold
44	metal is a kind of material	nongold
45	objects are made of materials; substances; matter	nongold
46	metals are made of metal	nongold
47	an atom is a kind of object	nongold
48	iron sulfide can be formed by heating a mixture of powdered iron and sulfur	nongold
49	copper is a kind of element	nongold
50	aluminum is a kind of matter	nongold
51	all elements are a kind of pure substance	nongold
52	substances are made of matter	nongold
53	An example of a chemical property is the elements a compound is made of	nongold
54	the melting point of iron is 2800F; 1538C; 1811K	nongold
55	materials are made of matter	nongold
56	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
57	argon is a kind of element	nongold
58	composed of means made of	nongold
59	ferrous metals contain iron	nongold
60	potassium is a kind of element	nongold
61	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
62	the structure  of an atom can be used for identifying the element	nongold
63	to be made of something means to be formed of that something	nongold
64	metals are found on the left side of the periodic table of elements	nongold
65	a molecule is made of atoms chemically combined; bonded	nongold
66	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
67	a compound is a kind of substance	nongold
68	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
69	substances have chemical properties	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	the chemistry of something is similar to what that something is made of	nongold
72	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
73	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
74	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
75	nonmetal means not metal	nongold
76	combining; mixing two substances chemically causes chemical reactions	nongold
77	a compound is a kind of material	nongold
78	zinc chloride is a kind of compound	nongold
79	a metal is usually a solid at room temperature	nongold
80	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
81	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
82	if something is made of something else then that something can be broken down into that something else	nongold
83	chromium is a kind of metal	nongold
84	the chemical symbol for magnesium is Mg	nongold
85	made up of means contains; made of	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	hydrogen chloride is made of hydrogen and chlorine	nongold
88	a pure substance is made of only one kind of atom; molecule	nongold
89	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
90	chemical reaction means chemical bonds change	nongold
91	composition means the (materials, substances) of which something is composed	nongold
92	state means form	nongold
93	copper is a kind of metal	nongold
94	an element is not an alloy	nongold
95	chemical reactions cause new substances; different substances to form	nongold
96	mercury is a kind of element	nongold
97	answering questions requires information	nongold
98	classifying is when one sorts something by kind; type	nongold
99	form means kind	nongold
