Question	When igneous rock is changed into metamorphic rock, which form of energy is this process?	question
Answer	heat	answer
0	metamorphic rock is a kind of rock	nongold
1	igneous is a kind of rock	gold
2	metamorphic is a kind of rock	gold
3	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
4	extreme heat and pressure change; metamorphose rock into metamorphic rock	gold
5	form means kind	gold
6	igneous intrusion is a kind of geologic process	nongold
7	heat means heat energy	nongold
8	temperature is a measure of heat energy	nongold
9	heat is a kind of energy	gold
10	metamorphosis is a kind of process	gold
11	energy transformation means one kind of energy changes into another kind of energy	nongold
12	granite is a kind of igneous rock	nongold
13	metamorphosed rock is a kind of rock	nongold
14	to convert means to change	nongold
15	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
16	gneiss is a kind of metamorphic rock	nongold
17	heat energy is synonymous with thermal energy	nongold
18	change is a kind of process	nongold
19	an increase is a kind of change	nongold
20	a process is a kind of event	nongold
21	to change into means to form	nongold
22	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
23	heat means temperature increases	nongold
24	solar energy is a kind of heat energy	nongold
25	pumice is a kind of igneous rock	nongold
26	a rock is usually a solid	nongold
27	heat energy can change the state of matter	nongold
28	rock is a kind of material	nongold
29	formation of a state of matter is a kind of process	nongold
30	forming something is a kind of change	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	the formation of rock is a kind of process	nongold
33	evaporation is a kind of process	nongold
34	thermal energy is a kind of energy	nongold
35	if the component of something changed , then the whole thing will change	nongold
36	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
37	metamorphosis means complete metamorphosis	nongold
38	to transform means to convert	nongold
39	conversion is a kind of process	nongold
40	state means form	nongold
41	a decrease is a kind of change	nongold
42	the formation of something is a kind of process	nongold
43	adding something is a kind of change	nongold
44	a process usually requires all of the stages in that process	nongold
45	if something causes a process then that something is required for that process	nongold
46	adding heat means increasing temperature	nongold
47	to modify means to change	nongold
48	to turn means to change	nongold
49	heat means the transfer of thermal energy	nongold
50	a part of a process means a stage in a process	nongold
51	evaporating is a kind of phase change	nongold
52	reducing is a kind of change	nongold
53	to change means to cause a change	nongold
54	a change is a kind of event	nongold
55	melting is a kind of process	nongold
56	solar energy is a kind of energy	nongold
57	a quartzite is a kind of metamorphic rock	nongold
58	producing is a kind of process	nongold
59	crystallization is a kind of process	nongold
60	forming is similar to converting	nongold
61	if something transfers something else then that something is a source of something else	nongold
62	weathering is a kind of process	nongold
63	alteration means change	nongold
64	freezing is a kind of phase change	nongold
65	a phase change is a kind of physical change	nongold
66	composed of means made of	nongold
67	to be formed by is similar to being produced by	nongold
68	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
69	high is similar to increase	nongold
70	heating means adding heat	nongold
71	a source of something increases the amount of that something	nongold
72	energy conversion is similar to energy transformation	nongold
73	a reaction is a kind of process	nongold
74	converting is similar to producing	nongold
75	boiling is a kind of phase change	nongold
76	transfer is a kind of process	nongold
77	a source of heat can be used to heat something	nongold
78	a source of heat can be used to heat something	nongold
79	to form means to create	nongold
80	to increase is similar to to create	nongold
81	decomposition is a kind of process	nongold
82	erosion is a kind of process	nongold
83	evolution is a kind of process	nongold
84	cooling is a kind of process	nongold
85	if something emits something else then that something increases the amount of that something else	nongold
86	to be made of something means to be formed of that something	nongold
87	sunlight produces heat	nongold
88	chemical energy is a kind of energy	nongold
89	an event is a kind of action	nongold
90	radiation is a kind of process	nongold
91	increase means more	nongold
92	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
93	transfer is a kind of change	nongold
94	to create means to make	nongold
95	to produce means to create	nongold
96	rock is made of minerals	nongold
97	to add means to increase	nongold
98	melting is a kind of phase change	nongold
99	to turn means to convert	nongold
