Question	A windstorm knocks down many trees in a national park. Timber companies want to get rid of the fallen trees. How would this most likely harm the park ecosystem?	question
Answer	removes available nutrients	answer
0	get rid of means eliminate; remove	gold
1	removing dead organisms from an ecosystem causes available nutrients to be removed from that ecosystem	gold
2	remove means decrease	nongold
3	removing a forest means cutting down a forest	nongold
4	removing a forest means cutting down the trees in that forest	nongold
5	timber companies cut down trees	nongold
6	eliminate means remove	nongold
7	removing forests means removing animal habitats	nongold
8	loss is similar to removal	nongold
9	national parks have a positive impact on ecosystems	nongold
10	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
11	a park is a kind of environment	nongold
12	harming something has a  negative impact on; effect on that something	gold
13	an animal; living thing requires nutrients for survival	gold
14	if a living thing is destroyed then the resources used by that living thing will become available	nongold
15	an environment is similar to an ecosystem	gold
16	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
17	if a tree falls then that tree is dead	gold
18	damage means harm	nongold
19	a forest is a kind of ecosystem	nongold
20	if a tree is cut down then that tree will die	nongold
21	nutrients are a kind of resource	nongold
22	destroying a forest means cutting down the trees in that forest	nongold
23	trees reduce wind force	nongold
24	destroying something causes harm to that something	nongold
25	something harmful can cause harm	nongold
26	removing an inhibitor of a process causes that process	nongold
27	trees are a kind of natural resource	nongold
28	destroying animal habitats has a negative  impact on an ecosystem	nongold
29	damage has a negative impact on a thing	nongold
30	destroying animal habitats changes an ecosystem	nongold
31	all living things eliminate waste	nongold
32	decreasing something positive has a negative impact on a thing	nongold
33	logging is when humans cut down trees; forests for wood	nongold
34	to reduce means to decrease	nongold
35	an environment means an area	nongold
36	negative impact is the opposite of positive impact	gold
37	wood is a kind of resource	nongold
38	to hurt means to harm	nongold
39	harming an environment causes harm to the living things; to the organisms in that environment	nongold
40	a forest contains  lots of plants; trees	nongold
41	a forest is a kind of environment	nongold
42	harm means injury	nongold
43	decreasing something negative has a positive impact on a thing	nongold
44	a tree is a kind of plant	gold
45	protecting something means preventing harm to that something	nongold
46	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
47	an ecosystem contains a large community of; large numbers of living organisms	nongold
48	a tree is a kind of living thing	nongold
49	a plant; living thing requires nutrients to grow	gold
50	if a resource is protected then that resource will be available	nongold
51	trees are a kind of resource	nongold
52	an ecosystem is a kind of habitat	nongold
53	a tree can be replaced by planting a new tree each time one is cut down	nongold
54	rainstorm means rain storm	nongold
55	removing waste is a kind of function	nongold
56	killing means harming something causing death	nongold
57	fire causes harm to trees; to forests; to living things	nongold
58	human waste often causes harm to an environment	nongold
59	loss means reduction	nongold
60	to lower means to decrease	nongold
61	adverse effect means negative impact	nongold
62	waste must be removed	nongold
63	nutrients are a kind of substance	nongold
64	wood burns	nongold
65	loss of resources has a negative impact on  the organisms in an area	nongold
66	building housing developments; dams; roads usually requires replacing; destroying animal habitats	nongold
67	an increase is the opposite of a decrease	nongold
68	humans changing an environment sometimes causes that environment to be destroyed	nongold
69	remains mean parts of a dead organism	nongold
70	resources becoming available has a positive impact on the things that need those resources	nongold
71	nutrients are a kind of material	nongold
72	many means high in number	nongold
73	less is similar to decrease	nongold
74	plants are a part of the environment	nongold
75	a food contains nutrients for living things	nongold
76	roots are a part of a plant; tree	nongold
77	if something transports something else then that something removes that something else from a place	nongold
78	when available resources decrease in an environment , organisms have to conserve those resources	nongold
79	a tree contains wood	nongold
80	wind is a renewable; inexhaustible resource	nongold
81	dead plants means dead plant material	nongold
82	destroying something decreases the amount of that something	nongold
83	wood is a renewable resource	nongold
84	come down is similar to falling	nongold
85	dead organisms are a kind of waste	nongold
86	the Earth contains many ecosystems	nongold
87	if something causes a process then that something is required for that process	nongold
88	vegetation means plants	nongold
89	to depend on; to rely on; to need means to require	nongold
90	buildings collapsing often causes death	nongold
91	destruction means loss	nongold
92	a negative impact is a kind of consequence; risk	nongold
93	pollution has a negative impact on the environment; air quality; water quality; society	nongold
94	decay has a negative impact on a thing	nongold
95	high is similar to increase	nongold
96	wind and rain; storms cause erosion	nongold
97	harming an organism can cause that organism to die	nongold
98	to be used for something means to be required by that something	nongold
99	leaving something undisturbed means not changing that something	nongold
