Question	According to the periodic table, all of the following are metals except	question
Answer	fluorine	answer
0	fluorine is not a metal	gold
1	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
2	fluorine is a kind of halogen	nongold
3	chlorine is a kind of element	nongold
4	a metal is a kind of element	nongold
5	except means not	nongold
6	an alkaline earth metal is a kind of element	nongold
7	all elements are a kind of pure substance	nongold
8	metals are found on the left side of the periodic table of elements	nongold
9	metals are made of metal	nongold
10	carbon is a kind of element	nongold
11	the majority of the elements on the periodic table are metals	nongold
12	oxygen  is a kind of element	nongold
13	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
14	an  element is a kind of atom	nongold
15	hydrogen is a kind of element	nongold
16	substances are made of elements	nongold
17	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
18	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
19	bromine is a kind of element	nongold
20	all the other means the rest of	nongold
21	nonmetal means not metal	nongold
22	a compound can be chemically separated into the elements that it is made of	nongold
23	an element is made of one kind of atoms	nongold
24	chromium is a kind of metal	nongold
25	an element is a kind of  substance	nongold
26	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
27	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
28	hydrogen chloride is made of hydrogen and chlorine	nongold
29	tungsten is a kind of metal	nongold
30	magnesium is a kind of alkaline earth metal	nongold
31	a compound is made of two or more elements that have been chemically combined	nongold
32	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
33	magnesium fluoride; MgF2 is made of magnesium metal and fluorine	nongold
34	alkaline earth metals are highly reactive	nongold
35	metal is a kind of substance	nongold
36	aluminum is a kind of metal	nongold
37	a halogen is a kind of element	nongold
38	An example of a chemical property is the elements a compound is made of	nongold
39	an element is a kind of material	nongold
40	copper is a kind of metal	nongold
41	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
42	the Periodic Table is a table displays elements	nongold
43	a nonmetal is a kind of element	nongold
44	sodium is a kind of element	nongold
45	the nitrogen family is a kind of group in periodic table	nongold
46	compound is a kind of chemical	nongold
47	aluminum is a kind of element	nongold
48	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
49	if a substance is made of one element , then the substance is called an element	nongold
50	according to is similar to be determined by	nongold
51	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
52	copper is a kind of element	nongold
53	a chemical compound is a kind of compound	nongold
54	a compound is a kind of substance	nongold
55	metal is a kind of material	nongold
56	sodium is a kind of metal	nongold
57	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
58	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
59	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
60	sodium chloride is always made of chemically combined chlorine and sodium	nongold
61	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
62	nonmetal means nonmetals	nongold
63	a compound is a kind of material	nongold
64	chemical compounds contain chemical bonds between atoms; between elements	nongold
65	alkali metals are located on the left side; first column on the periodic table	nongold
66	electron configuration is a property of elements	nongold
67	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
68	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
69	table salt means sodium chloride	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	zinc is a kind of metal	nongold
72	copper is a kind of transition metal	nongold
73	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
74	aluminum is a kind of matter	nongold
75	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
76	nitrogen is a kind of element	nongold
77	an atom is the smallest particle; unit that has the properties of an element	nongold
78	a carbohydrate is a kind of compound	nongold
79	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
80	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
81	iron is a kind of metal	nongold
82	chlorine is a kind of green, poisonous gas	nongold
83	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
84	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
85	when two substances together form a compound then those substances cannot be physically separated	nongold
86	the alkali metals have one valence electron	nongold
87	a pure substance is made of only one kind of atom; molecule	nongold
88	substances are made of matter	nongold
89	NaCl means sodium chloride	nongold
90	metal is an  electrical; electrical energy conductor	nongold
91	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
92	sodium chloride is a kind of chemical compound	nongold
93	sodium chloride is a kind of substance	nongold
94	the basic unit of matter is atom	nongold
95	hydrogen contains chemical energy	nongold
96	a chemical property is the opposite of a physical property	nongold
97	material means substance	nongold
98	combining; mixing two substances chemically causes chemical reactions	nongold
99	if something is made of something else then that something can be broken down into that something else	nongold
