Question	Which describes a specific characteristic necessary for survival in the desert?	question
Answer	conserving water	answer
0	conserving water is a kind of characteristic	gold
1	a desert is a kind of environment	nongold
2	an animal; living thing requires nutrients for survival	nongold
3	a desert environment is low in availability of water; availability of food	gold
4	conserving water can be used for survival in a dry environment	gold
5	feature is synonymous with characteristic	nongold
6	animals; living things require water for survival	gold
7	conserving resources has a positive impact on the environment	nongold
8	a plant; living thing requires food for survival	nongold
9	to depend on; to rely on; to need means to require	nongold
10	to be required means to be necessary	gold
11	essential means required	nongold
12	a desert environment usually has a lot of sunlight	nongold
13	a desert environment is dry	gold
14	requiring something means needing that something	nongold
15	characteristic means property	nongold
16	survival means to survive	nongold
17	if something is required for a process then that something positively impacts that process	nongold
18	trait is synonymous with characteristic	nongold
19	a plants; living things require water for survival; to grow	nongold
20	to be used for something means to be required by that something	nongold
21	if something causes a process then that something is required for that process	nongold
22	a desert environment receives low rainfall	nongold
23	helping something has a  positive impact on that something	gold
24	water is a part of an environment	nongold
25	requiring is similar to needing help	gold
26	a desert is a kind of land feature	nongold
27	using less of a resource means conserving that resource	nongold
28	if a living thing requires something then that something has a positive impact on that living thing	nongold
29	an animal requires a habitat for survival	nongold
30	life means living things	nongold
31	a part of something means a characteristic of something	nongold
32	the increase of something required by an organism has a positive impact on that organism's survival	nongold
33	certain is similar to specific	nongold
34	survive means live	nongold
35	survive means live	nongold
36	water is a kind of natural resource	nongold
37	water is a kind of natural resource	gold
38	conservation is often conserving natural resources	nongold
39	an animal is a kind of living thing	nongold
40	a plant requires a habitat for survival	nongold
41	if something is required then that something must be provided	nongold
42	an environment means an area	nongold
43	a desert environment usually is hot in temperature	nongold
44	an animal is a kind of organism	nongold
45	a plant requires a specific climate to grow and survive	nongold
46	negative impact is the opposite of positive impact	gold
47	an environment is similar to an ecosystem	nongold
48	a forest environment receives more rainfall than a desert	nongold
49	an animal; bacterium requires oxygen for survival; to breathe	nongold
50	many desert animals want the water stored inside a cactus	nongold
51	what an object is made of is a kind of characteristic	nongold
52	an organism is a living thing	nongold
53	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
54	an animal requires enough nutrients to maintain good health; survive	nongold
55	a required resource being low in availability has a negative impact on the something  that requires that resource	gold
56	a function is a kind of characteristic	nongold
57	living things all require energy for survival	nongold
58	to be dependent on something means to depend on that something	nongold
59	organisms are a part of an environment	nongold
60	a food contains nutrients for living things	nongold
61	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
62	to help; to benefit means to be of use	nongold
63	if something has a positive impact on the survival of an organism then that organism is likely going to survive	nongold
64	when available resources decrease in an environment , organisms have to conserve those resources	nongold
65	surroundings means environment	nongold
66	irrigation requires water use	nongold
67	requiring too much of a resource has a negative impact on the availiability of that resource	nongold
68	food is a kind of resource	nongold
69	a lack of something that a living thing requires prevents the survival of that living thing	nongold
70	a positive impact is  a benefit	nongold
71	humans require fresh water to survive	nongold
72	an adaptation is a kind of characteristic	nongold
73	needing something means depending on that something	nongold
74	good means positive	nongold
75	an organism's environment affects that organism's acquired characteristics	nongold
76	death means to die	nongold
77	to conserve means to not change	nongold
78	if something requires something else then that something requires a source of that something else	nongold
79	organism requires liquid water to survive	nongold
80	a human is a kind of animal	nongold
81	decreasing something negative has a positive impact on a thing	nongold
82	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
83	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
84	dying is the opposite of living; surviving	nongold
85	a plant is a kind of organism	nongold
86	to be good for means to have a positive impact on	nongold
87	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
88	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
89	if an event is required for a process then that event must occur before that process can occur	nongold
90	to impact means to affect	nongold
91	Antarctica is a kind of desert	nongold
92	a body of water is a kind of environment	nongold
93	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
94	nutrients are a kind of resource	nongold
95	to make possible means to be required	nongold
96	harming something has a  negative impact on; effect on that something	nongold
97	an animal needs to eat food for nutrients	nongold
98	plants are a kind of resource	nongold
99	to provide something means to be the source of that something	nongold
