Question	Which two processes in the water cycle are primarily responsible for the creation of a lake?	question
Answer	precipitation and runoff	answer
0	lakes are formed by precipitation and runoff	gold
1	rainfall means precipitation	nongold
2	runoff is a kind of water	nongold
3	precipitation is a stage in the water cycle process	gold
4	runoff is a stage in the water cycle process	gold
5	a lake is a kind of body of water	nongold
6	rain is a kind of precipitation	nongold
7	In the water cycle , runoff can follow precipitation	nongold
8	rain is a kind of water	nongold
9	a cycle is a kind of process	nongold
10	precipitation is a kind of  natural process	nongold
11	to cause means to be responsible for	nongold
12	rain is a source of water	nongold
13	runoff is when cropland water enters; runs off into bodies of water	nongold
14	precipitation is a kind of natural occurrence; cause	nongold
15	rainfall means the amount of precipitation	nongold
16	In the water cycle , runoff always follows collection as snow; collection as ice	nongold
17	to increase is similar to to create	nongold
18	to have a function is similar to to be responsible for	nongold
19	both means two	nongold
20	An example of a physical cycle is the water cycle	nongold
21	In the water cycle , precipitation always follows transportation	nongold
22	creating means making	nongold
23	if something causes a process then that something is required for that process	nongold
24	to create means to make	nongold
25	creating is similar to causing	nongold
26	precipitation is when water falls from the sky	nongold
27	precipitation is a kind of weather	nongold
28	to form means to create	gold
29	a process usually requires all of the stages in that process	nongold
30	change is a kind of process	nongold
31	to be used for something means to be required by that something	nongold
32	the formation of something is a kind of process	nongold
33	a river is a kind of flowing body of water	nongold
34	a part of a process means a stage in a process	nongold
35	to produce means to create	nongold
36	a process is a kind of event	nongold
37	rain; snow falls	nongold
38	a body of water is a kind of environment	nongold
39	In the water cycle , collection in bodies of water can follow runoff	nongold
40	flowing is a kind of motion	nongold
41	a body of water is a source of water	nongold
42	precipitation is a property of weather	nongold
43	rainfall is the amount of rain an area receives	nongold
44	rain causes erosion	nongold
45	In the water cycle , infiltration can follow runoff	nongold
46	if something is required for a process then that something positively impacts that process	nongold
47	answering questions requires information	nongold
48	to generate means to create	nongold
49	flowing is a kind of action	nongold
50	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
51	to depend on; to rely on; to need means to require	nongold
52	an increase is a kind of change	nongold
53	an event is a kind of action	nongold
54	increase means more	nongold
55	water is a part of an environment	nongold
56	a source of something emits; produces; generates; provides that something	nongold
57	a stream is a kind of body of water	nongold
58	damming a river can cause a lake to form	nongold
59	change is a kind of impact	nongold
60	to be made of something means to be formed of that something	nongold
61	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
62	a step in a process means a stage in a process	nongold
63	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
64	high is similar to increase	nongold
65	snow is a kind of precipitation	nongold
66	a decrease is a kind of change	nongold
67	a body of water contains water	nongold
68	water is a kind of natural resource	nongold
69	water is a kind of natural resource	nongold
70	if an event is required for a process then that event must occur before that process can occur	nongold
71	to cause an event is similar to being involved in that event	nongold
72	something is used for that something's purpose	nongold
73	to be formed by is similar to being produced by	nongold
74	a component means a part of	nongold
75	water is a kind of substance	nongold
76	a cycle happens; occurs repeatedly	nongold
77	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
78	storms;rain cause bodies of water to increase amount of water they contain	nongold
79	the water cycle occurs on Earth	nongold
80	an increase is the opposite of a decrease	nongold
81	if something requires something else then that something requires a source of that something else	nongold
82	a component of something means a part of that something	nongold
83	to cause means to make	nongold
84	if something is made of something else then the formation of that something requires that something else	nongold
85	forming is a kind of action	nongold
86	to make means to form	nongold
87	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
88	an environment means an area	nongold
89	creating is a kind of activity	nongold
90	annual means once per year	nongold
91	impact means effect	nongold
92	In the water cycle , precipitation can follow condensation	nongold
93	evaporation is a stage in the water cycle process	nongold
94	rainwater is a kind of water	nongold
95	all the other means the rest of	nongold
96	a source of something increases the amount of that something	nongold
97	to be a source of something means to cause that something	nongold
98	to lower means to decrease	nongold
99	forming something is a kind of change	nongold
