Question	Which is the best explanation for how air masses move across the United States?	question
Answer	The prevailing westerlies move air masses from west to east across the United States but may be deflected by the jet stream.	answer
0	jet streams may deflect the air masses moved by the prevailing westerlies	gold
1	the prevailing westerlies move air masses from east to west across the United States	gold
2	United States is located in the northern hemisphere	nongold
3	deflection is when something changes its moving direction	nongold
4	jet stream means air current	nongold
5	the United States is a kind of country	nongold
6	motion; movement means moving; to move	nongold
7	air mass means a volume of air	nongold
8	wind means moving air	nongold
9	travel means to move	nongold
10	a stationary air mass is a kind of air mass	nongold
11	wind   is a kind of airflow	nongold
12	distance moved; distance travelled is a measure of how far an object moves	nongold
13	motion is when moves an object; something to a direction	nongold
14	if something is caused by something else , then that something can be explained by that something else	nongold
15	shift means move	nongold
16	movement is a kind of change	nongold
17	the movement of an air mass over Earth's surface causes sudden local weather changes	nongold
18	atmosphere means  air	nongold
19	moving is similar to travelling	nongold
20	transport means to move; to make travel	nongold
21	extreme means very high in value	nongold
22	if a jet stream moves south of a location then that location will experience cold weather	nongold
23	air is a kind of gas	nongold
24	flying is a kind of motion through air; space	nongold
25	to carry means to move something	nongold
26	a plane travels through the atmosphere	nongold
27	can be means able to be	nongold
28	the United States of America is a kind of location	nongold
29	causing means influencing	nongold
30	best means most positive	nongold
31	spreading is a kind of motion	nongold
32	to add means to increase	nongold
33	pulling is a kind of motion	nongold
34	flowing is a kind of motion	nongold
35	an increase is a kind of change	nongold
36	air is a kind of matter	nongold
37	an increase is the opposite of a decrease	nongold
38	pushing something can cause that something  to move	nongold
39	affected means changed	nongold
40	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
41	transferring is moving from one place to another place	nongold
42	carrying something means moving that something	nongold
43	events occur at a specific place; at a specific time; with a specific frequency	nongold
44	high is similar to increase	nongold
45	intense means extreme	nongold
46	rotating is similar to moving	nongold
47	a stream is a kind of body of water	nongold
48	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
49	a type is synonymous with a kind	nongold
50	wind direction is a property of weather	nongold
51	to flow is similar to to transfer	nongold
52	revolving is a kind of motion	nongold
53	a velocity is a measure of a speed in a direction	nongold
54	to change means to cause a change	nongold
55	a motion is a kind of event; action	nongold
56	to reduce means to decrease	nongold
57	form means kind	nongold
58	to slow; to slow down decreases speed	nongold
59	deflection is a kind of feature of ocean currents	nongold
60	the air is a kind of substance	nongold
61	wind speed is a property of weather	nongold
62	to cause is similar to bring	nongold
63	to lower means to decrease	nongold
64	rolling is a kind of motion	nongold
65	convert is similar to transfer	nongold
66	a warm front is when warm air mass rises and passes over; collides a cold air mass	nongold
67	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
68	variable means able to change	nongold
69	speed is a measure of how fast an object is moving	nongold
70	flight is similar to a movement in the air made by an airplane	nongold
71	vibration is a kind of motion	nongold
72	air masses formed over the ocean near the equator are usually moist; warm	nongold
73	counter means reduce; stop; resist	nongold
74	low is similar to decrease	nongold
75	transfer is a kind of change	nongold
76	atmospheric means of the atmosphere	nongold
77	force causes the speed of an object to increase; to decrease	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	north; northward is a kind of direction	nongold
80	a state is a kind of place	nongold
81	far means great in distance	nongold
82	to transfer is similar to transport	nongold
83	throughout means over	nongold
84	a land mass is a kind of object	nongold
85	low means down	nongold
86	an air mass has similar temperature and moisture throughout it	nongold
87	arrival is a kind of movement	nongold
88	to happen means to occur	nongold
89	the atmosphere is a kind of area	nongold
90	a decrease is a kind of change	nongold
91	emit means produce	nongold
92	phase means state	nongold
93	an object being pushed across another object causes their surfaces to move against each other	nongold
94	to convert means to change	nongold
95	a airplane is used for moving people; products across bodies of water; to far away places	nongold
96	south; southward is a kind of direction	nongold
97	moving something is a kind of function	nongold
98	intense means high in intensity	nongold
99	a process is a kind of event	nongold
