Question	Sarah's class is learning about mixtures and solutions. Her teacher writes four statements on the board. Which statement best describes a mixture?	question
Answer	One substance can be separated from the other.	answer
0	a solution is a kind of mixture	nongold
1	a mixture is a kind of substance	nongold
2	solution is a kind of liquid	nongold
3	if two substances together form a mixture then those substances can be separated from one another by physical changes	gold
4	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
5	a  solution  is a kind of object	nongold
6	an mixture is formed by two or more substances combined together physically	nongold
7	a board is a kind of object	nongold
8	a solution is formed by one substance being dissolved in another substance	nongold
9	a solution is made of one substance dissolved in another substance	nongold
10	the properties of something are used for describing that something	nongold
11	a mixture of solids can be easily separated	nongold
12	decomposing is similar to separating	nongold
13	apart is the opposite of together	nongold
14	to disperse means to separate	nongold
15	if two objects are apart from each other then matter is between those two objects	nongold
16	if something is insoluble in something , then they will remain separated	nongold
17	to split means to break down	nongold
18	separate is similar to break down	nongold
19	objects are made of materials; substances; matter	nongold
20	if two objects move apart from each other then those two objects separate from each other	nongold
21	matter; materials; substances are made of atoms; particles	nongold
22	substances are made of matter	nongold
23	break apart means break down	nongold
24	to split means to divide	nongold
25	if a solution is formed , then the  components of the solution are similar throughout	nongold
26	a liquid is a kind of substance	nongold
27	dissolving is a kind of  mixing	nongold
28	information is used to describe something	nongold
29	combining; mixing two substances chemically causes chemical reactions	nongold
30	material means substance	nongold
31	measuring is used for describing an object	nongold
32	a mixture usually is made of objects with different physical properties	nongold
33	can be means able to be	nongold
34	a container contains objects; material; substances	nongold
35	to decompose means to separate	nongold
36	a student is a kind of human	nongold
37	best means most positive	nongold
38	take apart means break down	nongold
39	four is a kind of number	nongold
40	food is a kind of substance	nongold
41	form means kind	nongold
42	materials are made of matter	nongold
43	both means two	nongold
44	water is a kind of liquid at room temperature	nongold
45	composed of means made of	nongold
46	chemical reactions cause new substances; different substances to form	nongold
47	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
48	water is a kind of substance	nongold
49	evaporation can be used for separating a mixture of a liquid and a solid	nongold
50	a table is a kind of object	nongold
51	mixture means solids combined together that maintain their physical properties	nongold
52	to group means to separate	nongold
53	particles in objects are a kind of matter	nongold
54	water is a kind of object	nongold
55	something's function can be used to describe; identify that something	nongold
56	temperature is a measure of heat energy	nongold
57	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
58	water is a kind of matter	nongold
59	if two things are made from the same objects; material then those two things are similar	nongold
60	heat means heat energy	nongold
61	apart means away	nongold
62	liquid is a kind of state of matter	nongold
63	break down is the opposite of put together	nongold
64	variable means able to change	nongold
65	a surface is a part of a material	nongold
66	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
67	the air is a kind of mixture	nongold
68	affected means changed	nongold
69	if something is made of something else then that something can be broken down into that something else	nongold
70	convert is similar to transfer	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	pulling away is similar to separating	nongold
73	a description sometimes provides information	nongold
74	to change means to become different	nongold
75	to convert means to change	nongold
76	break down means change from a whole into pieces	nongold
77	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	nongold
78	a product is a kind of object	nongold
79	an object is made of its parts	nongold
80	composition means the (materials, substances) of which something is composed	nongold
81	transferring a section of something requires separating the section of something	nongold
82	gas is a kind of substance	nongold
83	a surface is a part of an object	nongold
84	contents means the substance in a container	nongold
85	a classroom is a kind of a room	nongold
86	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
87	to slow; to slow down decreases speed	nongold
88	high is similar to increase	nongold
89	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
90	to be made of something means to be formed of that something	nongold
91	food is a kind of object	nongold
92	made of is similar to contains	nongold
93	stay the same means not changing	nongold
94	made up of means contains; made of	nongold
95	separating is similar to breaking	nongold
96	provide is similar to give; make	nongold
97	gas is a kind of state of matter	nongold
98	gas is a kind of material	nongold
99	to add means to increase	nongold
