Question	What is one way plants and animals are different?	question
Answer	Plants produce their own food, and animals do not.	answer
0	a producer produces its own food	nongold
1	a consumer can not produce its own food	nongold
2	a source of something emits; produces; generates; provides that something	nongold
3	different is the opposite of the same	nongold
4	if a plant dies then that plant will not produce food	nongold
5	green plants are a kind of producer	nongold
6	if something is not the same as something else then that something is different from that something else	nongold
7	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	gold
8	to change means to become different	nongold
9	opposite is a kind of different	nongold
10	an animal is a kind of living thing	nongold
11	an organism is a living thing	nongold
12	emit means produce	nongold
13	producing is a kind of process	nongold
14	to produce means to provide	gold
15	green plants provide food for themselves; animals; consumers by performing photosynthesis	gold
16	a plant; living thing requires food for survival	nongold
17	an animal is a kind of organism	nongold
18	a plant is a kind of living thing	nongold
19	living things eat their food source	nongold
20	an animal; living thing requires nutrients for survival	nongold
21	not is similar to the opposite of	nongold
22	a producer is a kind of living thing	nongold
23	a plant is a kind of organism	nongold
24	reproduction produces; produce offspring	nongold
25	a food contains nutrients for living things	nongold
26	a living thing is a kind of object	nongold
27	food is what an animal eats	nongold
28	organisms mean life	nongold
29	different organisms reproduce differently	nongold
30	make means produce	nongold
31	converting is similar to producing	nongold
32	a tree is a kind of plant	nongold
33	generate means produce	nongold
34	products are formed; are produced; are created	nongold
35	if two animals live in different environments then those two animals will have different food sources	nongold
36	producing is similar to causing	nongold
37	In the food chain process a  green plant has the role of  producer	gold
38	a vegetable is a kind of plant	nongold
39	to contribute is similar to produce	nongold
40	a food web is made of organisms that consume other organisms; that produce their own food	nongold
41	an animal is a member of an animal species	nongold
42	a leaf is a part of a  green plant	nongold
43	if something causes an increase in something else then that something produces that something else	nongold
44	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
45	life means living things	nongold
46	producing is similar to releasing	nongold
47	both means two	nongold
48	nutrients are a kind of matter	nongold
49	if something changes , then that something is not the same	nongold
50	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
51	a plant; living thing requires nutrients to grow	nongold
52	an animal is a kind of consumer	nongold
53	a tree is a kind of living thing	nongold
54	production is similar to making	nongold
55	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
56	food is a kind of object	nongold
57	a stem is often a part of plant	nongold
58	a leaf is a kind of plant	nongold
59	producer is a kind of role in the food chain process; in an ecosystem	nongold
60	a vegetable is a kind of food	nongold
61	an animal needs to eat food for nutrients	nongold
62	to eat means to consume food	nongold
63	if something has no impact on something else then that something else stays the same	nongold
64	eating an animal; a plant means killing that animal; that plant	nongold
65	to produce means to create	nongold
66	the  property of something is the same for the things of same kind	nongold
67	produce is similar to release	nongold
68	an increase is the opposite of a decrease	nongold
69	vegetation means plants	nongold
70	identical is the opposite of different	nongold
71	food is a source of energy for animals; plants	nongold
72	a tree is a kind of matter	nongold
73	to produce means to result in	nongold
74	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
75	a plant is a member of a plant species	nongold
76	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
77	herbivores only eat plants	nongold
78	living things can all reproduce	nongold
79	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
80	a consumer is a kind of organism	nongold
81	carnivores; omnivores; herbivores are a kind of animal	nongold
82	food is a kind of substance	nongold
83	a process is a kind of event	nongold
84	nonliving; non-living; die is the opposite of living; alive; live	nongold
85	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
86	usually plants store the food they produce for future use	nongold
87	a leaf is a part of a tree	nongold
88	stay the same means not changing	nongold
89	another means different	nongold
90	plant reproduction; seed production requires pollination	nongold
91	food contains carbohydrates	nongold
92	producers pass materials they use through the food chain	nongold
93	development is similar to production	nongold
94	a part of a process means a stage in a process	nongold
95	a human is a kind of animal	nongold
96	producing is a kind of function	nongold
97	a leaf is a kind of object	nongold
98	to remain means to stay the same	nongold
99	a plant requires photosynthesis to grow; survive	nongold
