Question	Which of these activities is most likely to have a positive impact on the environment of Earth?	question
Answer	Creating nature preserves	answer
0	a nature preserve is a kind of habitat	nongold
1	a nature preserve is a kind of protected area	gold
2	nature means a natural environment	nongold
3	to impact means to affect	nongold
4	action means activity	nongold
5	impact means effect	nongold
6	good means positive	nongold
7	An example of protecting the environment is creating protected areas	gold
8	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
9	to cause means to have an effect	nongold
10	helping something has a  positive impact on that something	nongold
11	if something is required for a process then that something positively impacts that process	nongold
12	national parks have a positive impact on ecosystems	nongold
13	creating is a kind of activity	gold
14	conservation is often conserving natural resources	nongold
15	to change means to have an effect	nongold
16	protecting nature has a positive impact on the environment	gold
17	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
18	the Earth contains many ecosystems	nongold
19	Earth is a kind of planet	nongold
20	conserving resources has a positive impact on the environment	nongold
21	harming something has a  negative impact on; effect on that something	nongold
22	creating means making	nongold
23	an ecosystem is a kind of habitat	nongold
24	negative impact is the opposite of positive impact	nongold
25	an event is a kind of action	nongold
26	an environment is similar to an ecosystem	nongold
27	if a living thing requires something then that something has a positive impact on that living thing	nongold
28	an ecosystem contains a large community of; large numbers of living organisms	nongold
29	a positive impact is  a benefit	nongold
30	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
31	nature is the source of natural resources	nongold
32	an animal is a kind of living thing	nongold
33	a motion is a kind of event; action	nongold
34	to be good for means to have a positive impact on	nongold
35	an animal requires a habitat for survival	nongold
36	an organism is a living thing	nongold
37	to create means to make	nongold
38	surroundings means environment	nongold
39	forming is a kind of action	nongold
40	creating is similar to causing	nongold
41	an animal is a kind of organism	nongold
42	an environment is a kind of place	nongold
43	decreasing something negative has a positive impact on a thing	nongold
44	humans changing an environment sometimes causes that environment to be destroyed	nongold
45	best means most positive	nongold
46	an environment means an area	gold
47	if something causes a process then that something is required for that process	nongold
48	to produce means to create	nongold
49	if something is made by something else then that something is affected by that something else	nongold
50	a producer is a kind of living thing	nongold
51	to form means to create	nongold
52	decreasing something positive has a negative impact on a thing	nongold
53	organisms are a part of an environment	nongold
54	a forest is a kind of ecosystem	nongold
55	causing is a kind of affecting	nongold
56	a forest is a kind of environment	nongold
57	a planet contains environments	nongold
58	destroying animal habitats changes an ecosystem	nongold
59	destroying animal habitats has a negative  impact on an ecosystem	nongold
60	to conserve means to not change	nongold
61	action can cause change	nongold
62	change is a kind of impact	nongold
63	a human is a kind of animal	nongold
64	reproducing is a kind of activity	nongold
65	An example of an environment is a forest; a river; a grassland; an ocean	nongold
66	habitat is similar to environment	nongold
67	if a habitat is removed then that habitat is destroyed	nongold
68	a process is a kind of event	nongold
69	a plant is a kind of organism	nongold
70	adverse effect means negative impact	nongold
71	products are formed; are produced; are created	nongold
72	something is used for that something's purpose	nongold
73	a natural resource is a kind of environmental factor	nongold
74	a pioneer organism populates an environment recovering from a natural disaster	nongold
75	developing means creating; inventing	nongold
76	a forest contains  lots of plants; trees	nongold
77	a part of a process means a stage in a process	nongold
78	an ecosystem contains nonliving things	nongold
79	land is a kind of environment	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	to generate means to create	nongold
82	to increase is similar to to create	nongold
83	to act on means to affect	nongold
84	fire causes harm to trees; to forests; to living things	nongold
85	logging is when humans cut down trees; forests for wood	nongold
86	a decomposer is a kind of living thing	nongold
87	harming an environment causes harm to the living things; to the organisms in that environment	nongold
88	affected means changed	nongold
89	a person is a kind of animal	nongold
90	green plants are a kind of producer	nongold
91	person is synonymous with human	nongold
92	the atmosphere is a part of nature; the environment	nongold
93	adding is a kind of activity	nongold
94	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
95	a plant is a kind of living thing	nongold
96	a plant requires a habitat for survival	nongold
97	actions mean behavior	nongold
98	dissolving is a kind of action	nongold
99	destruction means loss	nongold
