Question	Which of following is a property shared by the elements in the carbon family?	question
Answer	the number of valence electrons	answer
0	if the elements are in the same family , then the elements will share the same number of valence electrons	gold
1	elements in carbon family have four valence electrons	gold
2	elements in nitrogen family have five; 5 valence electrons	nongold
3	elements in oxygen family have six; 6 valence electrons	nongold
4	alkaline earth metal elements have two valence electrons	nongold
5	atomic number is a property of elements	nongold
6	valence electron means the electrons on the outer electron shell	gold
7	the number of parts of something is a property of that something	nongold
8	the alkali metals have one valence electron	nongold
9	an atom is the smallest particle; unit that has the properties of an element	nongold
10	one is a kind of number	nongold
11	amount is similar to number	nongold
12	carbon is a kind of element	nongold
13	if two objects are similar , then the two objects share properties	nongold
14	the nitrogen family is a kind of group in periodic table	nongold
15	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
16	how many means what number	nongold
17	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
18	atomic number means proton number	nongold
19	an  element is a kind of atom	nongold
20	an electron is a kind of charged particle	nongold
21	an element is made of one kind of atoms	nongold
22	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
23	a  chemical property is a kind of  property	nongold
24	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
25	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
26	many means high in number	nongold
27	an electron has a negative charge	nongold
28	an atom is made of protons; neutrons; electrons	nongold
29	four is a kind of number	gold
30	hydrogen is a kind of element	nongold
31	electron configuration is a property of elements	gold
32	chemical reactions do not cause the total number of atoms to change	nongold
33	a chemical property is the opposite of a physical property	nongold
34	classifying means grouping objects; materials by their properties	nongold
35	atom cannot be divided into smaller substances	nongold
36	an element is identified by its number of protons	nongold
37	a physical property is a kind of property	nongold
38	substances are made of elements	nongold
39	a group; family in the periodic table means a column in the periodic table	nongold
40	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
41	an element is a kind of  substance	nongold
42	all elements are a kind of pure substance	nongold
43	elements in the same group on the Periodic Table of Elements have similar properties	nongold
44	a molecule is the smallest particle; unit that has the properties of a compound	nongold
45	a pure substance is made of only one kind of atom; molecule	nongold
46	oxygen  is a kind of element	nongold
47	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
48	an atom is a kind of object	nongold
49	if an object has a negative net charge then that object contains more electrons than protons	nongold
50	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
51	a bonding property is a kind of chemical property	nongold
52	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
53	made up of means contains; made of	nongold
54	classifying is when one sorts something by kind; type	nongold
55	an atom is exceptionally small in size	nongold
56	structure is a property of an object; a material; a substance	nongold
57	nitrogen is a kind of element	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	An example of a chemical property is the elements a compound is made of	nongold
60	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
61	can be means able to be	nongold
62	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
63	the basic unit of matter is atom	nongold
64	a nonmetal is a kind of element	nongold
65	composed of means made of	nongold
66	matter; materials; substances are made of atoms; particles	nongold
67	chemical composition is a kind of property	nongold
68	chemical compounds contain chemical bonds between atoms; between elements	nongold
69	the  property of something is the same for the things of same kind	nongold
70	same means identical; equal in value; amount; number; quantity	nongold
71	helium has a low atomic number	nongold
72	to be made of something means to be formed of that something	nongold
73	to be made of means to consist of	nongold
74	greatest means largest; highest; most amount of something	nongold
75	to be characterized by  a property means to have that property	nongold
76	unit is similar to part	nongold
77	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
78	elements in noble gases family are gases at room temperature	nongold
79	many types of molecules can be formed by carbon with covalent bonds	nongold
80	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
81	if a substance is made of one element , then the substance is called an element	nongold
82	to categorize means to classify	nongold
83	a compound can be chemically separated into the elements that it is made of	nongold
84	a halogen is a kind of element	nongold
85	an element is a kind of material	nongold
86	made of is similar to contains	nongold
87	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
88	an oxygen ion is formed by gaining 2 electrons	nongold
89	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
90	an ion with positive charge is formed by atom  losing electrons	nongold
91	elements in alkaline earth metals family reacts with water actively	nongold
92	composition is a property of an object; matter	nongold
93	a property is similar to a factor	nongold
94	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
95	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
96	a billion is a kind of  number	nongold
97	less is similar to decrease	nongold
98	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
99	an part of an object is smaller than the entire object	nongold
