Question	Which sentence describes a characteristic of offspring produced by sexual reproduction?	question
Answer	The offspring contain genetic material from both parents.	answer
0	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	gold
1	trait is synonymous with characteristic	nongold
2	reproduction produces; produce offspring	nongold
3	characteristic means property	nongold
4	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
5	feature is synonymous with characteristic	nongold
6	to carry something means to contain something	nongold
7	sexual reproduction is a kind of reproduction	nongold
8	an inherited characteristic is a kind of characteristic	nongold
9	if something is made of something; a material then that something contains that something; that material	nongold
10	to be found in means to be contained in	nongold
11	to contain something means to have that something	nongold
12	parents produce offspring	nongold
13	if something is a part of something else then that something else contains that something	nongold
14	made up of means contains; made of	nongold
15	a father is a kind of male parent	nongold
16	a mother is a kind of female parent	nongold
17	to reproduce means to have; to produce offspring	nongold
18	in sexual reproduction sperm is a vehicle for the genes from the father to the offspring	nongold
19	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
20	a part of something means a characteristic of something	nongold
21	reproductive behavior is an inherited characteristic	nongold
22	made of is similar to contains	nongold
23	an animal is a kind of living thing	nongold
24	an animal is a kind of organism	nongold
25	animals reproduce sexually	nongold
26	if something is a source of something else then that something usually contains that something else	nongold
27	to contain means to have inside	nongold
28	if something absorbs something else then that something will contain that something else	nongold
29	including means containing	nongold
30	an organism is a living thing	nongold
31	a source of something emits; produces; generates; provides that something	nongold
32	what an object is made of is a kind of characteristic	nongold
33	offspring receives half of the genes from each parent	nongold
34	both means two	nongold
35	a property of something is a feature of that something	nongold
36	in sexual reproduction the egg is a vehicle for the genes from the mother to the offspring	nongold
37	trait means property	nongold
38	one parent is the source of 50% of the genes in a fertilized egg through sexual reproduction	nongold
39	a baby is the offspring of a parent	nongold
40	a baby is the offspring of a parent	nongold
41	classifying is when one sorts something by kind; type	nongold
42	children; young is synonymous with offspring	nongold
43	a producer is a kind of living thing	nongold
44	sexual reproduction in animals is when egg; sperm join together	nongold
45	sexual reproduction increases genetic diversity	nongold
46	species is an inherited characteristic	nongold
47	an adaptation is a kind of characteristic	nongold
48	an object; material; substance comes from that object or material's source	nongold
49	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
50	offspring are a part of a generation	nongold
51	material means substance	nongold
52	producing is similar to causing	nongold
53	to be formed by is similar to being produced by	nongold
54	a mother births offspring	nongold
55	a living thing is a kind of object	nongold
56	products are formed; are produced; are created	nongold
57	contain is similar to store	nongold
58	most insects reproduce by sexual reproduction	nongold
59	an element is a kind of material	nongold
60	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
61	if something is a raw material then that something comes directly from a source	nongold
62	parents are a part of a generation	nongold
63	the properties of something are used for describing that something	nongold
64	a human is a kind of animal	nongold
65	a son is a kind of male offspring	nongold
66	converting is similar to producing	nongold
67	an asexually produced offspring is genetically identical to its parent	nongold
68	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
69	if something comes from something else then that something else is a source of that something	nongold
70	to be made of means to consist of	nongold
71	producing is a kind of process	nongold
72	a behavior is a kind of characteristic	nongold
73	nutrients are a kind of material	nongold
74	the nucleus contains genetic material for reproduction	nongold
75	contains means located in	nongold
76	genes contains genetic information	nongold
77	identical means copy	nongold
78	if something is a part of something then that something can be found in that something	nongold
79	to be characterized by  a property means to have that property	nongold
80	to be filled with means to contain	nongold
81	if something contains something , then something is able to provide something	nongold
82	generate means produce	nongold
83	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
84	emit means produce	nongold
85	the reproductive system produces sperm; egg cells	nongold
86	a structure is a kind of feature	nongold
87	aspect of something is similar to part of something	nongold
88	living things can all reproduce	nongold
89	where something  comes from is a source of that something	nongold
90	a kind of something is an example of that something	nongold
91	composition means the (materials, substances) of which something is composed	nongold
92	unique  is the opposite of diverse	nongold
93	to produce means to result in	nongold
94	composition is a property of an object; matter	nongold
95	reproduction is a kind of process	nongold
96	reproduction is when an organism passes genetic information from itself to its offspring	nongold
97	a mammal is a kind of animal	nongold
98	inherited characteristics can change over several generations	nongold
99	a learned characteristic is a kind of acquired characteristic	nongold
