Question	Why is it safer to look at the Moon than it is to look at the Sun?	question
Answer	The Moon is less bright.	answer
0	the moon is less bright than the sun	gold
1	safe is the opposite of unsafe; harm; danger	gold
2	looking at bright objects has a negative impact on the eyes	gold
3	to see means to look	nongold
4	look at means observe	nongold
5	a moon is a kind of celestial object; body	nongold
6	an increase is the opposite of a decrease	nongold
7	less is the opposite of more	nongold
8	less is similar to decrease	nongold
9	not looking means not seeing	nongold
10	the Moon is Earth's moon	nongold
11	looking is similar to observing	nongold
12	sunlight is a kind of light	nongold
13	fewer means lower; less in number	nongold
14	brighter means higher; greater in brightness	nongold
15	danger has a negative impact on a thing	nongold
16	moons are large; solid; spherical	nongold
17	low is similar to decrease	nongold
18	a star is a kind of celestial object; celestial body	nongold
19	to lower means to decrease	nongold
20	the sun is a source of light; light energy called sunlight	nongold
21	harming something has a  negative impact on; effect on that something	gold
22	looking directly at an eclipse of the Sun causes harm to the eyes	nongold
23	the Moon has less water; air than Earth	nongold
24	sunlight is a kind of solar energy	nongold
25	lower means less	nongold
26	the Sun is a kind of star	nongold
27	being in the sun is synonymous with being in the sunlight	nongold
28	closer means lower; less; a decrease in distance	nongold
29	to watch means to look at	nongold
30	bright means bright; light in color	nongold
31	to reduce means to decrease	nongold
32	a danger is dangerous	nongold
33	the Moon is closer to the Earth than the Sun	nongold
34	increase means more	nongold
35	to be in danger means to be around; to be near something dangerous	nongold
36	dimmer means less bright	nongold
37	greater means higher; more in value	nongold
38	high is similar to increase	nongold
39	to be in the sun means to be in the sunlight	nongold
40	dark is the opposite of light	nongold
41	bright means a lot of light	nongold
42	smaller means less; lower in size	nongold
43	dark means a low amount of light	nongold
44	a planet is a kind of celestial object; body	nongold
45	a planet's  moon is smaller than that planet	nongold
46	dimmer is the opposite of brighter	nongold
47	little is similar to decrease	nongold
48	the Sun has average brightness compared to other stars	nongold
49	low is the opposite of high	nongold
50	the moon reflects sunlight towards the Earth	nongold
51	to protect means to make safe	nongold
52	the sun is the source of solar energy called sunlight	nongold
53	to get a better look at means to see better	nongold
54	the moon orbits the Earth	nongold
55	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
56	seeing requires light	nongold
57	harm means danger	nongold
58	near; close is the opposite of far; away	nongold
59	the sun is not a star in the night sky	nongold
60	the moon is the celestial object that is closest to the  Earth	nongold
61	sunlight means solar energy	nongold
62	hiding means visibility; ability to be seen decreases for camouflage	nongold
63	a decrease is a kind of change	nongold
64	the moon does not contain air; water	nongold
65	too much is similar to increase	nongold
66	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
67	the sun is a kind of yellow dwarf	nongold
68	brightness is a kind of property	nongold
69	the  moon's surface contains flat areas	nongold
70	negative impact is the opposite of positive impact	nongold
71	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
72	decreasing something positive has a negative impact on a thing	nongold
73	brightness means amount of light	nongold
74	the sunlight occurs during the day	nongold
75	not is similar to the opposite of	nongold
76	decreasing something negative has a positive impact on a thing	nongold
77	something dangerous can cause harm	nongold
78	toward is the opposite of away	nongold
79	Earth is a kind of planet	nongold
80	solar energy is a kind of light	nongold
81	to look like means to have the visual properties of	nongold
82	type of moon; kind of moon means moon phase	nongold
83	higher means greater; above in value; amount; number	nongold
84	a human is a kind of animal	nongold
85	hot means high in heat energy; temperature	nongold
86	light rays can have a negative impact on the eyes	nongold
87	less means a reduced amount	nongold
88	eyes can sense;detect light energy for seeing	nongold
89	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
90	protecting something means preventing harm to that something	nongold
91	An example of being careful is avoiding danger	nongold
92	an increase is a kind of change	nongold
93	avoiding means doing something less	nongold
94	warmer means greater; higher in temperature; warmth	nongold
95	if an object reflects more light then that object is more easily seen	nongold
96	sight means to see	nongold
97	lowest means least in value; amount; number	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	a planet is a kind of location	nongold
