Question	Yumiko gave some reasons why kettles and kitchen pans are often made of copper. Which reason is correct?	question
Answer	Copper is a good conductor of heat.	answer
0	a good conductor is a conductor	nongold
1	a kettle is a kind of small; deep pond	nongold
2	metal is a thermal; thermal energy conductor	gold
3	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	gold
4	pot;pan;frying pan is made of metal for cooking	gold
5	a thermal conductor is made of materials that conduct thermal energy	nongold
6	a pan;frying pan is a kind of container for cooking; food	nongold
7	copper is a kind of metal	gold
8	metal is an  electrical; electrical energy conductor	nongold
9	a pan is a kind of object	nongold
10	water is an thermal; thermal energy conductor	nongold
11	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
12	an insulator is the opposite of a conductor	nongold
13	pots are used for cooking liquid food usually	nongold
14	if an object is made of a material then that object has the properties of that material	nongold
15	a stove generates heat for cooking usually	nongold
16	metal is a kind of material	nongold
17	conductivity is a property of a material; substance	nongold
18	insulator means good insulator	nongold
19	objects are made of materials; substances; matter	nongold
20	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
21	an insulator is a kind of material	nongold
22	aluminum is a kind of metal	nongold
23	plastic is a kind of thermal insulator	nongold
24	absorbing energy causes objects; materials; substances to heat	nongold
25	metal is a kind of substance	nongold
26	plastic is usually an electrical insulator	nongold
27	a stove is used for cooking by generating heat	nongold
28	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
29	an electric stove changes electrical energy into heat energy	nongold
30	a metal is usually a solid at room temperature	nongold
31	metals are made of metal	nongold
32	a source of heat can be used to heat something	nongold
33	a source of heat can be used to heat something	nongold
34	temperature is a measure of heat energy	nongold
35	if one surface; one substance; one object touches something then one is exposed to that something	nongold
36	plastic is a kind of electrical insulator	nongold
37	better means good	nongold
38	an oven is a source of heat	nongold
39	heat means heat energy	gold
40	a container is a kind of object	nongold
41	ceramic is a kind of material	nongold
42	to be used for something means to be required by that something	nongold
43	heat energy is synonymous with thermal energy	gold
44	to conduct is similar to to transfer	nongold
45	copper is a kind of element	nongold
46	steel is a kind of metal	nongold
47	useful means good to use	nongold
48	materials are made of matter	nongold
49	rubber is thermal;thermal energy insulator	nongold
50	a stove is a kind of machine	nongold
51	a kettle is formed when chunks of ice left by glaciers melt	nongold
52	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
53	aluminum is a kind of matter	nongold
54	an object has properties	nongold
55	good means positive	nongold
56	a container contains objects; material; substances	nongold
57	heating means adding heat	gold
58	a burner is a part of a  stove	nongold
59	an object is made of its parts	nongold
60	to give off means to be the source of	nongold
61	substances are made of matter	nongold
62	heating elements are usually a part of an oven	nongold
63	conductivity is a kind of physical property	nongold
64	to add means to increase	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	a thermal insulator slows; prevents the transfer of heat	nongold
67	a tool is a kind of object	nongold
68	iron is a kind of metal	nongold
69	heat means the transfer of thermal energy	nongold
70	to be good for means to have a positive impact on	nongold
71	absorbing sunlight causes objects to heat	nongold
72	if something transfers something else then that something is a source of something else	nongold
73	electrical conduction is when metals; electrical conductors conduct electricity through a wire;electrical conductor;metal	nongold
74	copper is a kind of transition metal	nongold
75	an oven is a kind of electrical device	nongold
76	cooking wares require a low thermal expansion material	nongold
77	conductivity is a measure of how easily electricity travels through a material	nongold
78	household appliances are a kind of electrical device	nongold
79	if an object is made of something then the parts of that object are made of that something	nongold
80	iron is a kind of solid	nongold
81	material means substance	nongold
82	a liquid is a kind of substance	nongold
83	composed of means made of	nongold
84	silver is a kind of metal	nongold
85	if something is places over a heat source then that something is exposed to that heat source	nongold
86	a hot; warm something is a source of heat	nongold
87	an object; material; substance comes from that object or material's source	nongold
88	if heat is added to a substance then that substance absorbs that heat	nongold
89	An example of a chemical property is how a material reacts chemically	nongold
90	metal is sometimes magnetic	nongold
91	a pot is a kind of object	nongold
92	adding heat to an object sometimes causes chemical reactions	nongold
93	an electrical insulator slows; prevents the transfer of; flow of electricity	nongold
94	a hot substance is a source of heat	nongold
95	substances have chemical properties	nongold
96	instrument means tool	nongold
97	a burner is made of metal	nongold
98	electrical devices are used for industrial purposes; household purposes by humans	nongold
99	to be made of means to consist of	nongold
