Question	Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?	question
Answer	The erosion of the walls of a canyon	answer
0	a canyon is made of rock	gold
1	a canyon is a kind of landform	nongold
2	most canyons are formed by flowing rivers through erosion over long periods of time	gold
3	pouring water onto soil causes that soil to wash away	nongold
4	a canyon is a very deep valley	nongold
5	to wash away is a kind of movement by moving water	gold
6	a canyon is a very big crack in the ground	nongold
7	flowing is similar to pouring	gold
8	An example of movement is washing away	gold
9	a canyon is a kind of place	nongold
10	piles of rock are a kind of landform	nongold
11	erosion is a kind of process	nongold
12	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
13	soil erosion means soil loss through wind;water; animals	nongold
14	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
15	washing out means being moved from  by water	nongold
16	sand is similar to soil	gold
17	soil erosion is a kind of slow; natural process	gold
18	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
19	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
20	sand  is a kind of substance	nongold
21	sand is made of very small rocks; minerals	nongold
22	soil erosion is a kind of event	nongold
23	a wall is a kind of surface	nongold
24	a wall is a kind of object	nongold
25	erosion; storms can cause a landslide	nongold
26	a canyon forming occurs over a period of millions of years	nongold
27	pile is a kind of motion	nongold
28	weathering is a kind of erosion	gold
29	weathering; erosion usually occurs over a period of many years	nongold
30	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	gold
31	wind and rain; storms cause erosion	nongold
32	a landform is a kind of object	nongold
33	sand is made of small particles	nongold
34	sand  is a kind of material	nongold
35	weathering is a kind of process	nongold
36	a rock is a kind of object	nongold
37	the formation of rock is a kind of process	nongold
38	soil contains water; humus; weathered rocks; organic matter	nongold
39	process is similar to method	nongold
40	a surface is a part of an object	nongold
41	a process is a kind of event	nongold
42	sediment is similar to soil	nongold
43	the formation of something is a kind of process	nongold
44	sand  is a kind of solid	nongold
45	water is a kind of object	nongold
46	sand dunes; arches are formed by the wind transporting and depositing sand	nongold
47	a landform is a kind of natural formation	nongold
48	if something causes a process then that something is required for that process	nongold
49	water is a kind of substance	nongold
50	a landslide is a kind of natural event	nongold
51	sediment is formed by weathering	nongold
52	a surface is a kind of object	nongold
53	a river is a kind of flowing body of water	gold
54	soil is formed by rocks eroding	nongold
55	to reduce means to decrease	nongold
56	water causes the most soil and rock erosion	nongold
57	wind causes erosion	nongold
58	high is similar to increase	nongold
59	sometimes weathering smooths; rounds rocks	nongold
60	sediment is a kind of matter	nongold
61	erosion is a kind of change	nongold
62	something that contains water is similar to a body of water	nongold
63	wind carries; transports sand; dirt from one place to another place	nongold
64	sometimes piles of rock are formed by  melting glaciers depositing rocks	nongold
65	Rachel is a name for a human	nongold
66	counter means reduce; stop; resist	nongold
67	sand has a rough surface	nongold
68	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
69	rain causes erosion	nongold
70	erosion is a kind of destructive force	nongold
71	ground water is a kind of water	nongold
72	landform means surface feature; physical feature; land feature	nongold
73	soil is formed by weathering	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	compaction is a kind of process	nongold
76	a stream is a kind of body of water	nongold
77	a motion is a kind of event; action	nongold
78	a part of a process means a stage in a process	nongold
79	loss is similar to removal	nongold
80	to cause an event is similar to being involved in that event	nongold
81	a surface is a part of a material	nongold
82	the Grand Canyon is a kind of canyon	nongold
83	erosion causes deposition	nongold
84	a body of water contains water	nongold
85	sand is insoluble in water	nongold
86	sand is insoluble in water	nongold
87	a liquid is a kind of substance	nongold
88	rock is a kind of material	nongold
89	if a substance is poured , then that something will sink down	nongold
90	erosion causes a river to become deeper and wider	nongold
91	a body of water is a source of water	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	evaporation is a kind of process	nongold
94	bedrock is a kind of rock	nongold
95	soil is a kind of material	nongold
96	weather is a source of wind and water for the weathering process	nongold
97	a process usually requires all of the stages in that process	nongold
98	a structure of something is synonymous with a part of that something	nongold
99	rainwater is a kind of water	nongold
