Question	Which is an example of a decomposer?	question
Answer	a mushroom	answer
0	a decomposer is a kind of living thing	nongold
1	a decomposer is usually a bacterium; fungus	gold
2	a kind of something is an example of that something	gold
3	decomposition is when a decomposer breaks down dead organisms	gold
4	a mushroom is a kind of fungus	gold
5	a mushroom is a kind of living thing	nongold
6	a fungus is a kind of living thing	nongold
7	a worm is a kind of decomposer	nongold
8	a bacterium is a kind of decomposer	nongold
9	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
10	In the food chain process fungi have the role of decomposer	gold
11	a fungus is a kind of organism	nongold
12	to decompose means to decay	nongold
13	dead organisms are the source of nutrients for decomposers	nongold
14	a microorganism is a kind of decomposer	nongold
15	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	gold
16	In the food chain process bacteria have the role of decomposer	nongold
17	an animal is a kind of living thing	nongold
18	an earthworm is a kind of decomposer	nongold
19	if a living thing dies then that living thing is dead	nongold
20	a living thing is a kind of object	nongold
21	an organism is a living thing	nongold
22	a plant is a kind of living thing	nongold
23	a plant is a kind of organism	nongold
24	to decompose means to separate	nongold
25	death means to die	nongold
26	an animal is a kind of organism	nongold
27	an object is made of its parts	nongold
28	an animal; living thing requires nutrients for survival	nongold
29	a source of something emits; produces; generates; provides that something	nongold
30	nonliving; non-living; die is the opposite of living; alive; live	nongold
31	a living thing is made of cells	nongold
32	objects are made of materials; substances; matter	nongold
33	light is a kind of nonliving thing	nongold
34	substances are made of matter	nongold
35	killing means harming something causing death	nongold
36	a part of a living thing is a natural structure	nongold
37	to create means to make	nongold
38	a tree is a kind of living thing	nongold
39	killing means changing a living thing from alive to dead by harming	nongold
40	a human is a kind of animal	nongold
41	an event is a kind of action	nongold
42	all living and nonliving materials are made of elements	nongold
43	to produce means to create	nongold
44	composed of means made of	nongold
45	if something is made of something else then that something can be broken down into that something else	nongold
46	harming something has a  negative impact on; effect on that something	nongold
47	An example of an environment is a forest; a river; a grassland; an ocean	nongold
48	if an object is made of something then the parts of that object are made of that something	nongold
49	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
50	can be means able to be	nongold
51	classifying is when one sorts something by kind; type	nongold
52	a tree is a kind of matter	nongold
53	mold is a kind of fungus	nongold
54	made up of means contains; made of	nongold
55	answering questions requires information	nongold
56	dead plants means dead plant material	nongold
57	a food contains nutrients for living things	nongold
58	a tree is a kind of plant	nongold
59	dying is the opposite of living; surviving	nongold
60	a process is a kind of event	nongold
61	to cause means to make	nongold
62	a plant; living thing requires food for survival	nongold
63	high is similar to increase	nongold
64	a type is synonymous with a kind	nongold
65	to form means to create	nongold
66	if a living thing requires something then that something has a positive impact on that living thing	nongold
67	materials are made of matter	nongold
68	an ecosystem contains nonliving things	nongold
69	harming an organism can cause that organism to die	nongold
70	water is a kind of nonliving thing	nongold
71	creating is similar to causing	nongold
72	form means kind	nongold
73	emit means produce	nongold
74	an increase is a kind of change	nongold
75	creating means making	nongold
76	nutrients are a kind of matter	nongold
77	a structure of something is synonymous with a part of that something	nongold
78	producing is similar to causing	nongold
79	to increase is similar to to create	nongold
80	to make means to form	nongold
81	remains mean parts of a dead organism	nongold
82	to generate means to create	nongold
83	to generate means to form	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	if something releases something else then that something is the source of that something else	nongold
86	to be formed by is similar to being produced by	nongold
87	generate means produce	nongold
88	make means produce	nongold
89	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
90	plant parts are made of plants	nongold
91	converting is similar to producing	nongold
92	a component of something means a part of that something	nongold
93	plant and animal matter means organic matter	nongold
94	vegetation means plants	nongold
95	to be a source of something means to cause that something	nongold
96	if a plant dies then that plant will not produce food	nongold
97	the properties of something are used for describing that something	nongold
98	living things eat their food source	nongold
99	separate is similar to break down	nongold
