Question	Planets remain in orbit around the Sun because of	question
Answer	gravity.	answer
0	revolving  around something means orbiting that something	nongold
1	to stay means to continue to exist	nongold
2	to remain means to stay where it is	nongold
3	planets orbit stars	gold
4	the Earth revolves around the sun	nongold
5	gravity causes orbits	gold
6	to remain means to not change	nongold
7	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
8	the Sun is a kind of star	gold
9	planets have cleared their orbits	nongold
10	planets in the solar system orbit the Sun	nongold
11	a planet is a kind of celestial object; body	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	a revolution occurs when something revolves around something else	nongold
14	staying means not changing	nongold
15	answering questions requires information	nongold
16	the sun is a kind of yellow dwarf	nongold
17	a planet completes one orbit around its star over a period of one planetary year	nongold
18	astronomy is the study of celestial (objects, bodies)	nongold
19	all planets orbit the sun in the same direction	nongold
20	a star is usually larger than a planet	nongold
21	a star is a source of light; light energy through nuclear reactions	nongold
22	live is similar to stay	nongold
23	to give is similar to to cause	nongold
24	a star produces light and heat	nongold
25	orbiting is a kind of action	gold
26	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
27	revolving is a kind of motion	nongold
28	to retain means to remain	nongold
29	a star requires energy	nongold
30	to cause means to have an effect	nongold
31	Celestial bodies move in orbits in space around other celestial bodies	nongold
32	pluto has not cleared its orbit	nongold
33	the sun  is the source of energy for physical cycles on Earth	nongold
34	due to means caused by	nongold
35	to slow; to slow down decreases speed	nongold
36	high is similar to increase	nongold
37	orbit means orbital path	nongold
38	Earth is a kind of planet	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	to remain means to stay the same	gold
41	a dwarf planet is usually much smaller in size; in mass than other planets	nongold
42	the sun is a source of light; light energy called sunlight	nongold
43	low is similar to decrease	nongold
44	orbit is a kind of characteristic	nongold
45	moons orbit planets	nongold
46	something being destroyed means that something no longer exists	nongold
47	a motion is a kind of event; action	nongold
48	events occur at a specific place; at a specific time; with a specific frequency	nongold
49	the Sun is the  star that is closest to Earth	nongold
50	the sun is a source of radiation; heat called sunlight	nongold
51	remains mean parts of a dead organism	nongold
52	to add means to increase	nongold
53	yellow dwarf is a kind of small star	nongold
54	a planet rotating causes cycles of day and night on that planet	nongold
55	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
56	to be a source of something means to cause that something	nongold
57	a planet is exposed to the heat of the star around which it revolves	nongold
58	to change means to cause a change	nongold
59	Mars is a kind of planet	nongold
60	to change means to have an effect	nongold
61	a star is made of gases	nongold
62	a cause of something is a reason for that something	nongold
63	stay the same means not changing	nongold
64	impact means effect	nongold
65	Uranus is a kind of planet	nongold
66	to maintain means to not change	nongold
67	affected means changed	nongold
68	no longer means used to be	nongold
69	to cause means to result in	nongold
70	a satellite orbits a planet	nongold
71	can be means able to be	nongold
72	extreme means very high in value	nongold
73	a type is synonymous with a kind	nongold
74	to be destroyed means to cease to exist	nongold
75	to turn means to change	nongold
76	requiring is similar to needing help	nongold
77	variable means able to change	nongold
78	stars colliding  is a kind of high-energy event in space	nongold
79	to impact means to affect	nongold
80	to happen means to occur	nongold
81	a star is very hot in temperature	nongold
82	must have means require	nongold
83	to lower means to decrease	nongold
84	causing means influencing	nongold
85	hypothesis means scientific guess about the cause and effect of an event	nongold
86	causing is a kind of affecting	nongold
87	solar energy is a kind of energy	nongold
88	main-sequences stars are a kind of star	nongold
89	to depend on; to rely on; to need means to require	nongold
90	greatest means largest; highest; most amount of something	nongold
91	less is similar to decrease	nongold
92	data means information	nongold
93	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
94	constant means not changing	nongold
95	being around something means surrounding  that something	nongold
96	emit means produce	nongold
97	Proxima Centauri is a kind of star	nongold
98	to be formed by is similar to being produced by	nongold
99	celestial bodies; celestial objects are found in space	nongold
