Question	Sunlight passes through the windows of a car and causes the car seats to get hot. Which type of energy flow is involved in heating the seats?	question
Answer	radiation	answer
0	the sun is a source of radiation; heat called sunlight	gold
1	heating means adding heat	nongold
2	sunlight is a kind of solar energy	nongold
3	radiation is when electromagnetic waves transfers heat and light energy	nongold
4	hot means high in heat energy; temperature	nongold
5	radiation means radiant energy	nongold
6	electromagnetic radiation means electromagnetic energy	nongold
7	a type is synonymous with a kind	nongold
8	light energy can be used to heat up  an object by radiation	nongold
9	sunlight means solar energy	nongold
10	heat means temperature increases	nongold
11	solar energy is a kind of heat energy	nongold
12	light is a kind of electromagnetic radiation	nongold
13	solar radiation means solar energy	nongold
14	absorbing sunlight causes objects to heat	nongold
15	to get hot means become hot	nongold
16	heat means heat energy	nongold
17	temperature is a measure of heat energy	nongold
18	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
19	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
20	sunlight produces heat	nongold
21	electromagnetic energy is a kind of energy	nongold
22	flowing is a kind of motion	nongold
23	sunlight is a kind of light	gold
24	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
25	radiation is a kind of process	nongold
26	to cause an event is similar to being involved in that event	nongold
27	radiation is when heat is transferred through waves; particles	gold
28	a car is a kind of vehicle	nongold
29	heat energy is synonymous with thermal energy	nongold
30	heat is a kind of energy	gold
31	solar energy is a kind of energy	nongold
32	a car is a kind of automobile	nongold
33	the sun is a source of light; light energy called sunlight	nongold
34	solar energy is a kind of light	nongold
35	a car seat is a kind of object	gold
36	radiation can affect objects that are not touching	nongold
37	flowing is a kind of action	nongold
38	absorbing energy causes objects; materials; substances to heat	nongold
39	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
40	if heat is transferred to an object , then the object will get hot	gold
41	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
42	a car is a kind of object	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	thermal conduction is when heat flows from warmer object to cooler object	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	to pass through means to move through	nongold
47	a type of something is a kind of property of that something	nongold
48	the sun is the source of solar energy called sunlight	nongold
49	a vehicle is a kind of object	nongold
50	thermal energy is a kind of energy	nongold
51	a window is a kind of object	nongold
52	if an object is hot then the surfaces of that object are hot	nongold
53	solar energy can warm up  the air	nongold
54	to add means to increase	nongold
55	light is a kind of energy	nongold
56	light is a kind of energy	nongold
57	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
58	increase means more	nongold
59	if heat is conducted to an object then that object will become hot	nongold
60	to lower means to decrease	nongold
61	a source of something increases the amount of that something	nongold
62	if something emits something else then that something increases the amount of that something else	nongold
63	to reduce means to decrease	nongold
64	form means kind	nongold
65	light means light energy	nongold
66	to give off means to be the source of	nongold
67	high temperatures can cause an object to combust	nongold
68	a living thing is a kind of object	nongold
69	when a cooler object touches a warmer object , thermal conduction occurs	nongold
70	radiant energy  is a kind of energy	nongold
71	high is similar to increase	nongold
72	to flow is similar to to transfer	gold
73	a hot substance is a source of heat	nongold
74	heat energy  can be used to heat up  an object	nongold
75	adding heat means increasing temperature	nongold
76	an increase is the opposite of a decrease	nongold
77	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
78	an automobile is a kind of vehicle	nongold
79	to slow; to slow down decreases speed	nongold
80	solar power means solar energy	nongold
81	a window is made of glass	nongold
82	electrical energy is a kind of energy	nongold
83	to undergo is similar to to pass through	nongold
84	to be involved in something means to have a role in something	nongold
85	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
86	ultraviolet radiation is ionizing	nongold
87	the heat energy in the cooler object increases in thermal conduction	nongold
88	conductivity is a property of a material; substance	nongold
89	as the sunlight absorbed by the object increases ,  the temperature of the object  will increase more	nongold
90	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
91	to pass means to travel	nongold
92	a solar flare is a kind of solar event	nongold
93	passing is a kind of action	nongold
94	to depend on; to rely on; to need means to require	nongold
95	electromagnetic energy travels as electromagnetic waves	nongold
96	warm up means increase temperature	nongold
97	emit means produce	nongold
98	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
99	if something is outside during the day then that something will receive sunlight	nongold
