Question	Which process in plants is most similar to sexual reproduction in vertebrates?	question
Answer	cross-pollination	answer
0	cross-pollination is a stage in the plant reproduction process	gold
1	pollination requires pollinators; pollinating animals	nongold
2	pollination is a kind of process for plant reproduction	nongold
3	plant reproduction; seed production requires pollination	nongold
4	to cross is similar to to reproduce	nongold
5	pollinator means pollinating animal	nongold
6	a plant is a kind of living thing	nongold
7	pollinated means after pollination	nongold
8	sexual reproduction is a kind of reproduction	nongold
9	reproduction is a kind of process	nongold
10	animals reproduce sexually	nongold
11	a plant is a kind of organism	nongold
12	a cycle is a kind of process	nongold
13	a flower contains pollen for sexual reproduction	nongold
14	an animal is a kind of living thing	nongold
15	an organism is a living thing	nongold
16	plant reproduction often requires pollen	nongold
17	a process is a kind of event	nongold
18	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
19	a living thing is a kind of object	nongold
20	a reptile is a kind of vertebrate	nongold
21	cross-pollination increases genetic diversity	gold
22	a source of something emits; produces; generates; provides that something	nongold
23	vegetation means plants	nongold
24	a process usually requires all of the stages in that process	nongold
25	an animal is a kind of organism	nongold
26	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
27	most insects reproduce by sexual reproduction	nongold
28	a part of a process means a stage in a process	nongold
29	seed dispersal is a kind of method of sexual reproduction	nongold
30	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
31	producing is a kind of process	nongold
32	a flower produces pollen and seeds	nongold
33	In the flowering plant life cycle , pollination is part of reproduction	nongold
34	pollinating is a kind of function	nongold
35	gamete means sex cell	nongold
36	carnivores; omnivores; herbivores are a kind of animal	nongold
37	gamete development is a stage in the sexual reproduction process	nongold
38	An insect is a pollinating animal	nongold
39	plant requires seed dispersal for reproduction	nongold
40	producing is similar to causing	nongold
41	living things can all reproduce	nongold
42	if a living thing requires something then that something has a positive impact on that living thing	nongold
43	change is a kind of process	nongold
44	a reaction is a kind of process	nongold
45	if something causes a process then that something is required for that process	nongold
46	similar means in common	nongold
47	answering questions requires information	nongold
48	sexual reproduction in animals is when egg; sperm join together	nongold
49	a plant is a member of a plant species	nongold
50	pollen is part of a flower for reproduction	nongold
51	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
52	life means living things	nongold
53	to be formed by is similar to being produced by	nongold
54	a step in a process means a stage in a process	nongold
55	reproduction increases the number; population of a living thing	nongold
56	fertilization is a stage in the sexual reproduction process	nongold
57	an event is a kind of action	nongold
58	a tree is a kind of plant	nongold
59	a plant; living thing requires food for survival	nongold
60	a mammal is a kind of animal	nongold
61	volvox reproduces sexually	nongold
62	a flower is a kind of plant	nongold
63	crossing; breeding a homozygous dominant living thing with another living thing causes their offspring to have that dominant trait	nongold
64	nectar is used for attracting pollinators by plants	nongold
65	reproduction produces; produce offspring	nongold
66	growing is a kind of process	nongold
67	evolution is a kind of process	nongold
68	a tree is a kind of living thing	nongold
69	process is similar to method	nongold
70	if something is required for a process then that something positively impacts that process	nongold
71	to reproduce means to have; to produce offspring	nongold
72	fertilization is a kind of process	nongold
73	conduction is a kind of process	nongold
74	to produce means to result in	nongold
75	a component of something means a part of that something	nongold
76	high is similar to increase	nongold
77	opposite is a kind of different	nongold
78	can be means able to be	nongold
79	a seed is a part of a plant	nongold
80	to cause an event is similar to being involved in that event	nongold
81	a component means a part of	nongold
82	an animal is a kind of eukaryote	nongold
83	to cross means to pass	nongold
84	animals require fertilization to reproduce	nongold
85	if an event is required for a process then that event must occur before that process can occur	nongold
86	to be used for something means to be required by that something	nongold
87	emit means produce	nongold
88	conversion is a kind of process	nongold
89	an animal is a member of an animal species	nongold
90	increase means more	nongold
91	to give is similar to to cause	nongold
92	a seed is a kind of young plant	nongold
93	a motion is a kind of event; action	nongold
94	growth is a kind of process	nongold
95	a type is synonymous with a kind	nongold
96	something that happens is a kind of event	nongold
97	a backbone is a part of a vertebrate animal	nongold
98	to cause means to result in	nongold
99	reproductive behavior is an inherited characteristic	nongold
