Question	If a neutral atom loses an electron, what is formed?	question
Answer	An ion	answer
0	if a neutral atom loses an electron then an atom with a negative charge will be formed	gold
1	an ion with positive charge is formed by atom  losing electrons	nongold
2	an ion with negative charge is formed by atom  gaining electrons	nongold
3	an oxygen ion is formed by gaining 2 electrons	nongold
4	an ion has a net positive; net negative charge	gold
5	an atom is made of protons; neutrons; electrons	nongold
6	an electron is a kind of charged particle	nongold
7	an electron has a negative charge	nongold
8	if an element is converted into another element then that element is lost	nongold
9	an  element is a kind of atom	nongold
10	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
11	loss means reduction	nongold
12	matter; materials; substances are made of atoms; particles	nongold
13	if an object has a negative net charge then that object contains more electrons than protons	nongold
14	an atom is the smallest particle; unit that has the properties of an element	nongold
15	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
16	a proton is a part of an atom; an element	nongold
17	to be made of something means to be formed of that something	nongold
18	an element is made of one kind of atoms	nongold
19	atoms are made of particles	nongold
20	loss is a kind of change	nongold
21	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
22	state means form	nongold
23	an atom is a kind of object	nongold
24	to lose means to have less of	nongold
25	neutral means 7 in pH	nongold
26	valence electron means the electrons on the outer electron shell	nongold
27	losing something decreases the amount of that something	nongold
28	electrons surround; orbit the nucleus of an atom	nongold
29	hydrogen is a kind of element	nongold
30	charged particles are a kind of high-energy particles	nongold
31	destruction means loss	nongold
32	neutralization is a kind of process	nongold
33	an element is a kind of  substance	nongold
34	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
35	substances are made of elements	nongold
36	form means kind	nongold
37	a pure substance is made of only one kind of atom; molecule	nongold
38	oxygen ions usually have a negative 2 charges	nongold
39	chemical reactions cause new substances; different substances to form	nongold
40	protons are a kind of subatomic particle	nongold
41	oxygen  is a kind of element	nongold
42	if something gains something from something else then that something else is a source of that something	nongold
43	to be formed by is similar to being produced by	nongold
44	if there is a loss of something then that something decreases	nongold
45	protons are found in the nucleus of an atom	nongold
46	negatively charged particles are involved in chemical reactions	nongold
47	alkaline earth metal elements have two valence electrons	nongold
48	all elements are a kind of pure substance	nongold
49	a nonmetal is a kind of element	nongold
50	to cause the formation of means to form	nongold
51	gas is a kind of nonmetal	nongold
52	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
53	electron configuration is a property of elements	nongold
54	if a substance is made of one element , then the substance is called an element	nongold
55	an element is a kind of material	nongold
56	atom cannot be divided into smaller substances	nongold
57	the basic unit of matter is atom	nongold
58	the outer electron shell is a part of the electron configuration	nongold
59	nonmetal means nonmetals	nongold
60	nonmetal means not metal	nongold
61	chemical compounds contain chemical bonds between atoms; between elements	nongold
62	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
63	to be formed by is to be the result of	nongold
64	forming is a kind of action	nongold
65	a molecule is made of atoms chemically combined; bonded	nongold
66	formation of a state of matter is a kind of process	nongold
67	the nucleus of an atom is usually made of both protons and neutrons	nongold
68	substances are made of matter	nongold
69	an event is a kind of action	nongold
70	forming is similar to converting	nongold
71	to make means to form	nongold
72	elements in oxygen family have six; 6 valence electrons	nongold
73	a metal is a kind of element	nongold
74	state of matter means physical state	nongold
75	answering questions requires information	nongold
76	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
77	plasma is formed by electrons separating from atoms in stars	nongold
78	elements in nitrogen family have five; 5 valence electrons	nongold
79	physical state means state of matter	nongold
80	to give is similar to to cause	nongold
81	neutralization is when an acid and a base react to form water and salt	nongold
82	chromium is a kind of metal	nongold
83	carbon is a kind of element	nongold
84	an alkaline earth metal is a kind of element	nongold
85	an element is identified by its number of protons	nongold
86	forming something is a kind of change	nongold
87	to form means to create	nongold
88	elements in carbon family have four valence electrons	nongold
89	particles in objects are a kind of matter	nongold
90	a  gas is a kind of  element	nongold
91	gas is a kind of state of matter	nongold
92	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
93	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
94	a compound is made of two or more elements that have been chemically combined	nongold
95	products are formed; are produced; are created	nongold
96	a halogen is a kind of element	nongold
97	proton is a kind of subatomic particles	nongold
98	a molecule is a kind of particle	nongold
99	a chemical reaction is a kind of process	nongold
