Question	Sally is making candy on the stove. She places a thermometer in the candy. What is she measuring?	question
Answer	temperature	answer
0	a thermometer is used to measure temperature	gold
1	a thermometer is a kind of instrument for measuring temperature	gold
2	temperature is a measure of heat energy	gold
3	hot means high in heat energy; temperature	nongold
4	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
5	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
6	being  on something; placed in something; placed over something means touching  that something	nongold
7	an oven is a source of heat	nongold
8	heat means heat energy	gold
9	a stove is a kind of machine	nongold
10	heating means adding heat	nongold
11	a stove generates heat for cooking usually	gold
12	chocolate is a kind of solid usually	nongold
13	temperature is a property of weather	nongold
14	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
15	water is a kind of liquid at room temperature	nongold
16	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
17	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
18	a hot; warm something is a source of heat	nongold
19	heat energy is synonymous with thermal energy	nongold
20	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
21	a metal is usually a solid at room temperature	nongold
22	warm means medium heat energy; temperature	nongold
23	chocolate  is a kind of food	nongold
24	metal is a thermal; thermal energy conductor	nongold
25	if one surface; one substance; one object touches something then one is exposed to that something	nongold
26	a stove is used for cooking by generating heat	nongold
27	a container contains objects; material; substances	nongold
28	an increase is the opposite of a decrease	nongold
29	calculation means measurement	nongold
30	if something is on the counter , then that something is exposed to the air	nongold
31	adding heat means increasing temperature	nongold
32	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
33	temperature is a kind of condition	nongold
34	pot;pan;frying pan is made of metal for cooking	nongold
35	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
36	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
37	a hot substance is a source of heat	nongold
38	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
39	if something is places over a heat source then that something is exposed to that heat source	nongold
40	air temperature is a kind of temperature	nongold
41	candy is a kind of dessert	nongold
42	cooking food requires adding heat energy to the food	nongold
43	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
44	gas is a kind of state of matter	nongold
45	a liquid is a kind of substance	nongold
46	an increase is a kind of change	nongold
47	water is a kind of substance	nongold
48	high is similar to increase	nongold
49	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
50	food is a kind of substance	nongold
51	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
52	when a cooler object touches a warmer object , thermal conduction occurs	nongold
53	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
54	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
55	colder; cooler means lower in temperature	nongold
56	water is an thermal; thermal energy conductor	nongold
57	warmer means greater; higher in temperature; warmth	nongold
58	a burner is a part of a  stove	nongold
59	air is usually a thermal; thermal energy insulator	nongold
60	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
61	make means produce	nongold
62	instrument means tool	nongold
63	gas is a kind of substance	nongold
64	measuring is a kind of observing	nongold
65	liquid is a kind of state of matter	nongold
66	gas is a kind of object	nongold
67	a solid is a kind of substance	nongold
68	heat means temperature increases	nongold
69	water is a kind of matter	nongold
70	instrument means device	nongold
71	measuring is used for describing an object	nongold
72	measuring sometimes requires  recording; learning an amount	nongold
73	when the temperature in a building is cooler than the temperature selected on the thermostat , the furnace will turn on automatically	nongold
74	variable means able to change	nongold
75	to add means to increase	nongold
76	person is synonymous with human	nongold
77	gas is a kind of material	nongold
78	the heat energy in the cooler object increases in thermal conduction	nongold
79	if heat is conducted to an object then that object will become hot	nongold
80	warm means warm temperature	nongold
81	a container is a kind of object	nongold
82	sugar is a kind of solid	nongold
83	if heat is added to a substance then that substance absorbs that heat	nongold
84	low is similar to decrease	nongold
85	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
86	thermal conduction is when heat flows from warmer object to cooler object	nongold
87	a pan;frying pan is a kind of container for cooking; food	nongold
88	if an object is hot then the surfaces of that object are hot	nongold
89	if an object is made of a material then that object has the properties of that material	nongold
90	moisture means liquid; liquid water	nongold
91	hot chocolate is a kind of  object	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	to reduce means to decrease	nongold
94	to lower means to decrease	nongold
95	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
96	extreme means very high in value	nongold
97	objects are made of materials; substances; matter	nongold
98	quantity means amount	nongold
99	heating elements are usually a part of an oven	nongold
