Question	Which natural formation is the best example of the result of both constructive and destructive forces such as weathering, erosion, and deposition of sediment?	question
Answer	The Grand Canyon	answer
0	the Grand Canyon is a kind of canyon	nongold
1	a canyon is a kind of landform	gold
2	a canyon is made of rock	nongold
3	the Grand Canyon was formed by the Colorado River flowing over long periods of time	gold
4	a canyon is a very deep valley	nongold
5	weathering is a kind of erosion	gold
6	erosion is a kind of destructive force	gold
7	a canyon is a kind of place	nongold
8	deposition is a kind of constructive force	gold
9	most canyons are formed by flowing rivers through erosion over long periods of time	gold
10	a canyon is a very big crack in the ground	nongold
11	erosion causes deposition	gold
12	a canyon forming occurs over a period of millions of years	nongold
13	deposition is a kind of natural process	nongold
14	a landform is a kind of natural formation	gold
15	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
16	a landslide is a kind of natural event	nongold
17	sediment is formed by weathering	nongold
18	weathering; erosion usually occurs over a period of many years	nongold
19	flowing is a kind of motion	nongold
20	to cause means to result in	nongold
21	erosion is a kind of process	nongold
22	weathering is a kind of process	nongold
23	a river is a kind of flowing body of water	nongold
24	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
25	to cause the formation of means to form	nongold
26	an arch is a kind of land formation	nongold
27	to be formed by is to be the result of	nongold
28	erosion is a kind of change	nongold
29	erosion; storms can cause a landslide	nongold
30	deposition means to move an object from one location to a  different location	nongold
31	soil erosion means soil loss through wind;water; animals	nongold
32	a kind of something is an example of that something	gold
33	sedimentary rocks are formed by deposition; cementation	nongold
34	breaking down is a kind of forming	nongold
35	sediment is formed from rock	nongold
36	soil erosion is a kind of slow; natural process	nongold
37	erosion causes a river to become deeper and wider	nongold
38	sediment is a kind of matter	nongold
39	a valley is formed by a river flowing	nongold
40	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
41	weathering occurs at the surface of the Earth	nongold
42	a stream is a kind of body of water	nongold
43	the formation of something is a kind of process	nongold
44	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
45	accumulation means increase	nongold
46	sediment is similar to soil	nongold
47	flowing is a kind of action	nongold
48	both means two	nongold
49	result means outcome	nongold
50	groundwater is a kind of water	nongold
51	valley is located between mountains; hills	nongold
52	valley is a kind of location	nongold
53	soil erosion is a kind of event	nongold
54	the formation of rock is a kind of process	nongold
55	natural events usually cause changes to Earth's surface	nongold
56	to produce means to result in	nongold
57	water causes the most soil and rock erosion	nongold
58	a riverbed is a part of a river	nongold
59	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
60	a motion is a kind of event; action	nongold
61	if something is made of something else then the formation of that something requires that something else	nongold
62	a result of something is evidence of that something	nongold
63	rock is a kind of material	nongold
64	a river is a kind of channel for water	nongold
65	form means kind	nongold
66	an earthquake is a kind of natural; geological event	nongold
67	to make means to form	nongold
68	mechanical weathering is when rocks are broken down by mechanical means	nongold
69	to form means to create	nongold
70	runoff is a kind of water	nongold
71	sinkholes; caves are formed by precipitation; infiltration	nongold
72	a body of water is a kind of environment	nongold
73	precipitation is a kind of  natural process	nongold
74	a wall is a kind of surface	nongold
75	An example of weathering is when a plant root grows into a crack in rock	nongold
76	an event is a kind of action	nongold
77	loss is similar to removal	nongold
78	landform means surface feature; physical feature; land feature	nongold
79	to cause means to make	nongold
80	formation of a state of matter is a kind of process	nongold
81	to be made of something means to be formed of that something	nongold
82	mechanical weathering is a kind of weathering	nongold
83	soil is formed by weathering	nongold
84	a part of a living thing is a natural structure	nongold
85	creating is similar to causing	nongold
86	rising is a kind of motion	nongold
87	a landform is a kind of object	nongold
88	to increase is similar to to create	nongold
89	made by humans; artificial is the opposite of natural	nongold
90	damage means harm	nongold
91	impact means effect	nongold
92	forming is a kind of action	nongold
93	a process is a kind of event	nongold
94	pile is a kind of motion	nongold
95	to create means to make	nongold
96	a delta is a kind of geologic structure; landform	nongold
97	a structure of something is synonymous with a part of that something	nongold
98	sediment falls to the bottom of bodies of water	nongold
99	product means result	nongold
