Question	What do scientists mean when they refer to a population?	question
Answer	all the interbreeding members of a certain species in an ecosystem	answer
0	a population is all of the interbreeding members  of a certain species in an ecosystem	gold
1	an animal is a member of an animal species	nongold
2	a plant is a member of a plant species	nongold
3	a scientist is a kind of human	nongold
4	an ecosystem contains a large community of; large numbers of living organisms	nongold
5	certain is similar to specific	nongold
6	population is a measure of the number of a species in an environment	nongold
7	living things can all reproduce	nongold
8	species means a group of like organisms	nongold
9	an organism is a living thing	nongold
10	an environment is similar to an ecosystem	nongold
11	an ecosystem is a kind of habitat	nongold
12	an animal is a kind of living thing	nongold
13	an animal is a kind of organism	nongold
14	a plant is a kind of organism	nongold
15	a plant is a kind of living thing	nongold
16	a biologist is a kind of scientist	nongold
17	a living thing is a kind of object	nongold
18	a population is made of one type of organism in an area	nongold
19	organisms mean life	nongold
20	all the other means the rest of	nongold
21	scientists make observations	nongold
22	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
23	reproduction increases the number; population of a living thing	nongold
24	organisms are a part of an environment	nongold
25	researcher is a kind of scientist	nongold
26	the properties of something are used for describing that something	nongold
27	all living things have life cycles	nongold
28	if members of a species are born; survive then the population of that species increases	nongold
29	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
30	the Earth contains many ecosystems	nongold
31	an environment means an area	nongold
32	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
33	reproduction is when an organism passes genetic information from itself to its offspring	nongold
34	each is similar to individual	nongold
35	life means living things	nongold
36	an ecosystem contains nonliving things	nongold
37	Charles Darwin was a kind of scientist	nongold
38	carnivores; omnivores; herbivores are a kind of animal	nongold
39	classifying is a kind of science process	nongold
40	a hypothesis is a kind of scientific term	nongold
41	a reptile is a kind of animal	nongold
42	harming an animal species causes that animal's population to decrease	nongold
43	reproduction produces; produce offspring	nongold
44	hypothesis means scientific guess about the cause and effect of an event	nongold
45	an animal is a kind of eukaryote	nongold
46	organisms; living things live in their habitat; their home	nongold
47	biology is a kind of science	nongold
48	convergent evolution is when two species in different taxonomic families develop in different places under similar environmental pressures	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	answering questions requires information	nongold
51	a bird is a kind of living thing	nongold
52	evolution causes significant trait changes in a species	nongold
53	many means high in number	nongold
54	can be means able to be	nongold
55	affected means changed	nongold
56	living things perform biological processes	nongold
57	many animals are herbivores	nongold
58	a plant; living thing requires food for survival	nongold
59	an animal; living thing requires nutrients for survival	nongold
60	to change means to become different	nongold
61	living things in the same class are  more closely related than living things in different classes	nongold
62	a process is a kind of event	nongold
63	a theory is a kind of scientific term	nongold
64	a bird is a kind of animal	nongold
65	a scientific inference is a kind of explanation based on facts that is not a direct observation	nongold
66	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
67	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
68	to be made of means to consist of	nongold
69	high is similar to increase	nongold
70	animals; living things live and feed in their habitats; near their habitats	nongold
71	to be made of something means to be formed of that something	nongold
72	if all members of a species cannot produce offspring then that species will likely become extinct	nongold
73	genetic; hereditary means of genes; heredity	nongold
74	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
75	unique  is the opposite of diverse	nongold
76	classifying is when one sorts something by kind; type	nongold
77	a role in the ecosystem is a role in the food chain process	nongold
78	events occur at a specific place; at a specific time; with a specific frequency	nongold
79	an event is a kind of action	nongold
80	to add means to increase	nongold
81	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
82	to reproduce means to have; to produce offspring	nongold
83	species is an inherited characteristic	nongold
84	variable means able to change	nongold
85	to attract females; males means to attract mates	nongold
86	harming an animal species has a  negative impact on the population size of that species	nongold
87	a process usually requires all of the stages in that process	nongold
88	an increase is the opposite of a decrease	nongold
89	a fungus is a kind of eukaryote	nongold
90	how many means what number	nongold
91	an increase is a kind of change	nongold
92	if something is a part of something else then that something else contains that something	nongold
93	made up of means contains; made of	nongold
94	an insect is a kind of animal	nongold
95	scientific discoveries sometimes require specific technologies	nongold
96	a mammal is a kind of animal	nongold
97	a tree is a kind of plant	nongold
98	if something is made of something; a material then that something contains that something; that material	nongold
99	trait means property	nongold
