Question	Why can steam be used to cook food?	question
Answer	Steam can transfer heat to cooler objects.	answer
0	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	gold
1	steam is a kind of gas	nongold
2	if something transfers something else then that something is a source of something else	nongold
3	a source of heat can be used to heat something	gold
4	a source of heat can be used to heat something	nongold
5	heating means adding heat	nongold
6	steam is hot in temperature	gold
7	cooking food requires adding heat energy to the food	gold
8	heat means the transfer of thermal energy	nongold
9	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
10	water vapor;steam cooling causes that water vapor;steam to condense	nongold
11	a stove is used for cooking by generating heat	nongold
12	convert is similar to transfer	nongold
13	to conduct is similar to to transfer	nongold
14	steam; water vapor is a kind of water phase	nongold
15	transfer is a kind of process	nongold
16	heat energy  can be used to heat up  an object	nongold
17	if food is cooked then heat energy is added to that food	nongold
18	transferring is similar to supplying	nongold
19	transferring is similar to adding	nongold
20	a stove generates heat for cooking usually	nongold
21	to transfer means to bring; to get something to	nongold
22	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
23	a hot substance is a source of heat	gold
24	temperature is a measure of heat energy	nongold
25	a hot; warm something is a source of heat	nongold
26	thermal conduction is when heat flows from warmer object to cooler object	nongold
27	steam;water vapor is a kind of water above 100 degrees celsius	gold
28	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
29	to be used for something means to be required by that something	nongold
30	when a cooler object touches a warmer object , thermal conduction occurs	nongold
31	heating elements are usually a part of an oven	nongold
32	heat means heat energy	gold
33	water is a kind of liquid at room temperature	nongold
34	water is a kind of object	nongold
35	gas is a kind of object	nongold
36	cooking is a kind of process	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
39	transferring is moving from one place to another place	nongold
40	to transfer is similar to transport	nongold
41	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
42	water is an thermal; thermal energy conductor	gold
43	food is a kind of object	nongold
44	heat energy is synonymous with thermal energy	gold
45	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
46	water is a kind of substance	nongold
47	a source of something emits; produces; generates; provides that something	nongold
48	to send means to transfer	nongold
49	food is a kind of substance	nongold
50	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	nongold
51	hot means high in heat energy; temperature	nongold
52	if heat is conducted to an object then that object will become hot	nongold
53	gas is a kind of substance	nongold
54	a pan;frying pan is a kind of container for cooking; food	nongold
55	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
56	adding heat means increasing temperature	nongold
57	an oven is a source of heat	nongold
58	a liquid is a kind of substance	nongold
59	to add means to increase	nongold
60	a container is a kind of object	nongold
61	if heat is transferred to an object , then the object will get hot	nongold
62	colder; cooler means lower in temperature	nongold
63	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
64	warmer means greater; higher in temperature; warmth	nongold
65	a stove is a kind of machine	nongold
66	transfer is a kind of change	nongold
67	fire transfers heat through waves	nongold
68	to give off means to be the source of	nongold
69	can be means able to be	nongold
70	the heat energy in the cooler object increases in thermal conduction	nongold
71	gas is a kind of material	nongold
72	if something hot is exposed to the air , then the heat will transfer to the air	nongold
73	a container contains objects; material; substances	nongold
74	warm means medium heat energy; temperature	nongold
75	a burner is a part of a  stove	nongold
76	cooler means colder	nongold
77	moisture means liquid; liquid water	nongold
78	objects are made of materials; substances; matter	nongold
79	to flow is similar to to transfer	nongold
80	pot;pan;frying pan is made of metal for cooking	nongold
81	baking is similar to cooking	nongold
82	if one surface; one substance; one object touches something then one is exposed to that something	nongold
83	the function of something is what that something  is used to do	nongold
84	if too much heat is transferred to an object then that object may burn	nongold
85	transferring is similar to giving	nongold
86	if an object is made of a material then that object has the properties of that material	nongold
87	cookware is used for cooking	nongold
88	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
89	boiling is when liquids are heated above their boiling point	nongold
90	if heat is absorbed from a source then that heat source will cool	nongold
91	warm means warm temperature	nongold
92	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
93	condensing is when gasses are  cooled below their boiling point	nongold
94	frying food is a kind of cooking	nongold
95	emit means produce	nongold
96	to pass means to transfer	nongold
97	a product is a kind of object	nongold
98	baking is when a human makes food by adding heat	nongold
99	to reduce means to decrease	nongold
