Question	Within a substance, atoms that collide frequently and move independently of one another are most likely in a	question
Answer	gas.	answer
0	atoms in a gas collide frequently	gold
1	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
2	atoms in a gas move independently of one another	gold
3	gas is a kind of substance	gold
4	matter; materials; substances are made of atoms; particles	nongold
5	an atom is a kind of object	nongold
6	often is similar to likely	nongold
7	colliding means coming into a collision	nongold
8	gas is a kind of object	nongold
9	atoms are made of particles	nongold
10	if two objects move apart from each other then those two objects separate from each other	nongold
11	an atom is exceptionally small in size	nongold
12	particles in objects are a kind of matter	nongold
13	gaseous means of gas	nongold
14	substances are made of matter	nongold
15	a pure substance is made of only one kind of atom; molecule	nongold
16	interatomic means existing or acting between atoms	nongold
17	gas is a kind of state of matter	nongold
18	objects are made of materials; substances; matter	nongold
19	being pushed together is similar to colliding	nongold
20	a cycle happens; occurs repeatedly	nongold
21	colliding is a kind of touching	nongold
22	particles in a liquid are closer together than particles in a gas	nongold
23	gas is a kind of material	nongold
24	a  gas is a kind of  element	nongold
25	motion; movement means moving; to move	nongold
26	an atom is the smallest particle; unit that has the properties of an element	nongold
27	a liquid is a kind of substance	nongold
28	typically means usually	nongold
29	particles in a liquid are close to each other	nongold
30	materials are made of matter	nongold
31	substances are made of molecules	nongold
32	usual means happens frequently over long periods of time	nongold
33	matter is made of molecules	nongold
34	to disperse means to separate	nongold
35	gas is a kind of nonmetal	nongold
36	events occur at a specific place; at a specific time; with a specific frequency	nongold
37	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
38	a molecule is made of atoms chemically combined; bonded	nongold
39	a molecule is a kind of object	nongold
40	can be means able to be	nongold
41	material means substance	nongold
42	rarely means not	nongold
43	a molecule is a kind of particle	nongold
44	atom cannot be divided into smaller substances	nongold
45	answering questions requires information	nongold
46	air is a kind of gas	nongold
47	if an event is more common then that event will occur more frequently	nongold
48	an atom is made of protons; neutrons; electrons	nongold
49	the basic unit of matter is atom	nongold
50	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
51	heat means heat energy	nongold
52	temperature is a measure of heat energy	nongold
53	Matter in the gas phase has variable shape	nongold
54	causing means influencing	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	a container contains objects; material; substances	nongold
57	liquid is a kind of state of matter	nongold
58	variable means able to change	nongold
59	to happen means to occur	nongold
60	hydrogen is a kind of gas at room temperature	nongold
61	an  element is a kind of atom	nongold
62	to add means to increase	nongold
63	vapor is synonymous with gas	nongold
64	motion is when moves an object; something to a direction	nongold
65	when two objects are touched; are contacted; move against each other , sound is produced	nongold
66	form means kind	nongold
67	affected means changed	nongold
68	if two objects are apart from each other then matter is between those two objects	nongold
69	a motion is a kind of event; action	nongold
70	the motion of molecules is random	nongold
71	high is similar to increase	nongold
72	gases are usually low in density	nongold
73	a type is synonymous with a kind	nongold
74	food is a kind of substance	nongold
75	air is a kind of matter	nongold
76	objects contain chemical energy	nongold
77	oxygen is a kind of gas at room temperature	nongold
78	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
79	composition means the (materials, substances) of which something is composed	nongold
80	composed of means made of	nongold
81	if something is insoluble in something , then they will remain separated	nongold
82	Matter in the gas phase has variable volume	nongold
83	to be formed by is similar to being produced by	nongold
84	shift means move	nongold
85	to contain means to have inside	nongold
86	generally means usually	nongold
87	substances have chemical properties	nongold
88	the air is a kind of substance	nongold
89	convert is similar to transfer	nongold
90	a particle is a kind of object	nongold
91	usually means most of the time	nongold
92	a molecule is exceptionally small in size	nongold
93	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
94	food is a kind of chemical energy	nongold
95	moving is similar to travelling	nongold
96	transferring is moving from one place to another place	nongold
97	a volatile substance gives off gas	nongold
98	to slow; to slow down decreases speed	nongold
99	apart is the opposite of together	nongold
