Question	Arctic areas are covered with snow and ice for much of the year. Which color rabbits would be safest from foxes there?	question
Answer	white	answer
0	the arctic environment is white in color from being covered in snow	gold
1	the arctic environment covered in snow	gold
2	arctic animals live in an arctic environment	nongold
3	a fox is a kind of animal	gold
4	the arctic is a kind of environment	nongold
5	safe is the opposite of unsafe; harm; danger	nongold
6	white fur is white in color	nongold
7	a rabbit is a kind of mammal	nongold
8	a rabbit is a kind of animal	gold
9	snow is a covering found on the surface of an arctic environment	nongold
10	snow falls during the winter in the arctic environment	nongold
11	white is a kind of color	nongold
12	coloration is a kind of adaptation for hiding;camouflage	nongold
13	the arctic  environment usually is cold in  temperature from being at a northern lattitude	nongold
14	cold environments sometimes are white in color from being covered in snow	nongold
15	snow is white in color	gold
16	ice is found in arctic environments	nongold
17	hiding is a kind of protection against predators; from predators	nongold
18	covering something is a kind of protection	nongold
19	if an animal's fur is a color then that animal is that color	nongold
20	coat means fur coat	nongold
21	a danger is dangerous	nongold
22	camouflage is used for protection; hiding by prey; animals against predators; from predators	gold
23	to be in danger means to be around; to be near something dangerous	nongold
24	fur is often part of an animal	nongold
25	a rabbit is a kind of prey	nongold
26	a snowshoe hare is a kind of animal	nongold
27	camouflage is a kind of protection against predators; from predators; against consumers	nongold
28	protecting something means preventing harm to that something	nongold
29	foxes eat rabbits	nongold
30	An example of camouflage is when something is; has the same color as its environment	gold
31	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
32	a hare is similar to a rabbit	nongold
33	to protect means to make safe	gold
34	coloration means a thing's color	nongold
35	color is a property of  an object; a material	nongold
36	a wolf is a kind of animal	nongold
37	camouflage is a kind of adaptation for hiding in an environment	nongold
38	danger has a negative impact on a thing	nongold
39	an animal is a kind of living thing	nongold
40	when snow falls in an environment in an environment , that environment will become white	nongold
41	snow falls during the winter in some environments	nongold
42	winter is a part of the year	nongold
43	an environment means an area	gold
44	fur is usually part of a mammal	nongold
45	snow is a kind of ice	nongold
46	winter has cold temperatures;weather	nongold
47	a bird is a kind of animal	nongold
48	an animal requires warmth for survival	nongold
49	ice is colder than water in temperature	nongold
50	a hare is a kind of animal	nongold
51	the color of; coloration of fur is an inherited characteristic	nongold
52	harming something has a  negative impact on; effect on that something	nongold
53	cold-blooded animals cannot live in cold environments	nongold
54	An example of being careful is avoiding danger	nongold
55	snow is cold	nongold
56	if a living thing becomes too cold then that living thing will die	nongold
57	ice is cold in temperature	nongold
58	keeping means staying	nongold
59	a human is a kind of animal	nongold
60	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
61	harm means danger	nongold
62	color is a kind of physical; visual property	nongold
63	to protect means to defend	nongold
64	winter is a kind of season	nongold
65	snow is a kind of precipitation	nongold
66	fur is a covering around the body of an animal	nongold
67	an animal is a kind of organism	nongold
68	killing means harming something causing death	nongold
69	Camouflage is synonymous with visual disguise	nongold
70	an animal requires shelter	nongold
71	shelter is a kind of protective covering	nongold
72	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
73	a bird is a kind of living thing	nongold
74	an organism is a living thing	nongold
75	an animal is a member of an animal species	nongold
76	cold means low in temperature	nongold
77	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
78	an animal usually requires a warm body temperature for survival	nongold
79	colorless means no color	nongold
80	killing means changing a living thing from alive to dead by harming	nongold
81	coloration means a pattern of colors	nongold
82	Massachusetts is not located in an arctic environment	nongold
83	freezing means cold temperatures	nongold
84	something hard; something strong can be used for protection	nongold
85	a living thing is a kind of object	nongold
86	glacial activity requires an arctic environment	nongold
87	hiding means visibility; ability to be seen decreases for camouflage	nongold
88	hair; fur is  a part of skin for protection; keeping warm	nongold
89	green is a kind of color	nongold
90	the colors of parts of an organism are inherited characteristics	nongold
91	ice is a kind of solid	nongold
92	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
93	some rabbits live in forests	nongold
94	some animals shed fur in warm weather	nongold
95	snowy means a large amount of snow	nongold
96	survival means to survive	nongold
97	warning people of dangers has a positive impact on the safety of those people	nongold
98	ice is a kind of food	nongold
99	snowing is when snow fall from clouds to the Earth;ground	nongold
