Question	Which discovery revealed that the universe contains many structures composed of millions of stars?	question
Answer	galaxies	answer
0	galaxies often contain hundreds of billions of stars	nongold
1	a typical galaxy contains billions of stars	nongold
2	a galaxy is a kind of structure	nongold
3	a galaxy is made of stars	gold
4	to discover means to make a discovery	nongold
5	many means high in number	nongold
6	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
7	a billion is a kind of  number	nongold
8	to discover means to find	nongold
9	including means containing	nongold
10	composed of means made of	nongold
11	to be found in means to be contained in	nongold
12	a structure of something is synonymous with a part of that something	nongold
13	how many means what number	nongold
14	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
15	the Sun is a kind of star	nongold
16	galaxies are usually thousands of light years in diameter	nongold
17	a galaxy contains dust; stars; planets	nongold
18	if something is a part of something else then that something else contains that something	nongold
19	made up of means contains; made of	gold
20	a galaxy is a kind of very large system of stars	gold
21	composition means the (materials, substances) of which something is composed	nongold
22	greatest means largest; highest; most amount of something	nongold
23	if something is made of something; a material then that something contains that something; that material	nongold
24	matter; materials; substances are made of atoms; particles	nongold
25	to contain means to have inside	nongold
26	made of is similar to contains	nongold
27	to be made of something means to be formed of that something	nongold
28	a star is a kind of celestial object; celestial body	nongold
29	contains means located in	nongold
30	a star is a source of light; light energy through nuclear reactions	nongold
31	largest amount means most	nongold
32	making discoveries requires observing	nongold
33	discovering something usually requires seeing that something	nongold
34	to be filled with means to contain	nongold
35	structure is a property of an object; a material; a substance	nongold
36	if something is a part of something then that something can be found in that something	nongold
37	composition is a property of an object; matter	nongold
38	can be means able to be	nongold
39	main-sequences stars are a kind of star	nongold
40	a star produces light and heat	nongold
41	a star is made of gases	nongold
42	if something does not contain something else then that something lacks that something else	nongold
43	system is similar to structure	gold
44	astronomy is the study of celestial (objects, bodies)	nongold
45	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
46	a star is usually larger than a planet	nongold
47	to be made of means to consist of	nongold
48	yellow dwarf is a kind of small star	nongold
49	an atom is a kind of object	nongold
50	atoms are made of particles	nongold
51	a galaxy is a kind of celestial body; celestial object	nongold
52	contain is similar to store	nongold
53	a galaxy is held together by gravity	nongold
54	a white dwarf is a kind of star	nongold
55	a type is synonymous with a kind	nongold
56	objects are made of materials; substances; matter	nongold
57	the sun is a kind of yellow dwarf	nongold
58	if something is a source of something else then that something usually contains that something else	nongold
59	a yellow dwarf is a kind of main-sequence star	nongold
60	to identify means to discover	nongold
61	a cluster of stars is made of stars	nongold
62	amount is similar to number	nongold
63	Proxima Centauri is a kind of star	nongold
64	lowest means least in value; amount; number	nongold
65	to make means to invent	nongold
66	galaxies are located  millions of light years from Earth	nongold
67	form means kind	nongold
68	to contain something means to have that something	nongold
69	a star requires energy	nongold
70	the number of parts of something is a property of that something	nongold
71	quantity means amount	nongold
72	to be formed by is similar to being produced by	nongold
73	largest means greatest in size	nongold
74	an atom is exceptionally small in size	nongold
75	high is similar to increase	nongold
76	small stars burn for billions of years	nongold
77	usually means most of the time	nongold
78	higher means greater; above in value; amount; number	nongold
79	planets orbit stars	nongold
80	a star's type is determined by the star's mass	nongold
81	an object is made of its parts	nongold
82	a galaxy is made of a group of objects in space	nongold
83	massive means giant	nongold
84	affected means changed	nongold
85	length is a part of size	nongold
86	if something is made of something else then that something can be broken down into that something else	nongold
87	composition is a kind of information	nongold
88	to carry something means to contain something	nongold
89	if something absorbs something else then that something will contain that something else	nongold
90	a component means a part of	nongold
91	stellar means related to stars	nongold
92	to produce means to create	nongold
93	stars spend most of their life cycle in the main sequence stage	nongold
94	fewer means lower; less in number	nongold
95	Mars is a kind of planet	nongold
96	a galaxy is a kind of celestial body	nongold
97	answering questions requires information	nongold
98	to form means to create	nongold
99	mostly means being the most	nongold
