Question	Which of the following is an example of a physical change but not a chemical change?	question
Answer	A water pipe freezes and cracks on a cold night.	answer
0	a pipe is a kind of object	nongold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	An example of a physical change is breaking an object	gold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
4	chemical change is the opposite of physical change	nongold
5	freezing is a kind of phase change	nongold
6	chemical reactions cause chemical change	nongold
7	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
8	a phase change is a kind of physical change	gold
9	An example of a chemical change is acid breaking down substances	nongold
10	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
11	freezing means cold temperatures	nongold
12	something in a cold place becomes cold	nongold
13	if something undergoes a physical change then the physical properties of that something will change	nongold
14	water is a kind of substance	gold
15	cycles of freezing and thawing water cause ice wedging	nongold
16	a kind of something is an example of that something	nongold
17	ice is cold in temperature	nongold
18	temperature is a measure of heat energy	nongold
19	chemicals means substances	nongold
20	liquid water cooling causes that liquid water to freeze	nongold
21	chemical change is a kind of chemical reaction	nongold
22	sending a fluid; a liquid through a channel; through a pipe causes that fluid; that liquid to flow through that channel; through that pipe	nongold
23	ice is colder than water in temperature	nongold
24	cold means low in temperature	nongold
25	water is a kind of liquid at room temperature	nongold
26	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
27	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
28	when something breaks , a crack may form in that something	gold
29	chemical reactions cause new substances; different substances to form	nongold
30	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
31	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
32	temperature changing can cause phase changes	nongold
33	melting is a kind of phase change	nongold
34	cold is a kind of weather	nongold
35	cracking something usually has a negative impact on that something	nongold
36	cool means cold	nongold
37	heating means adding heat	nongold
38	physical state means state of matter	nongold
39	state of matter means physical state	nongold
40	ice is a kind of solid	nongold
41	liquid is a kind of state of matter	gold
42	colder; cooler means lower in temperature	nongold
43	to change means to cause a change	nongold
44	water is a kind of matter	nongold
45	ice is a kind of object	nongold
46	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
47	a freezer is used for cooling things	nongold
48	a crack is a kind of opening	nongold
49	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
50	heat means heat energy	nongold
51	boiling is a kind of phase change	nongold
52	substances have chemical properties	nongold
53	temperature is a property of weather	nongold
54	a physical reaction is a kind of process	nongold
55	thawing is similar to melting	nongold
56	most chemical reactions release or absorb heat energy	nongold
57	heat energy can change the state of matter	nongold
58	icy means made of ice	nongold
59	freezing causes a solid to form	nongold
60	adding heat to an object sometimes causes chemical reactions	nongold
61	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
62	a decrease is a kind of change	nongold
63	an increase is a kind of change	nongold
64	to reduce means to decrease	nongold
65	ice is a kind of water phase	nongold
66	adding heat means increasing temperature	nongold
67	frozen means solid	nongold
68	gas is a kind of state of matter	nongold
69	solid is a kind of state of matter	gold
70	cooler means colder	nongold
71	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
72	a liquid is a kind of substance	nongold
73	the night has cooler temperatures than the day	nongold
74	to lower means to decrease	nongold
75	to add means to increase	nongold
76	acid can cause chemical change	nongold
77	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
78	cracking something may cause that something  to break apart	nongold
79	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
80	cooling means temperature decreases	nongold
81	if a living thing becomes too cold then that living thing will die	nongold
82	heat energy is synonymous with thermal energy	nongold
83	if an object undergoes chemical change then that object will have new chemical properties	nongold
84	moisture means liquid; liquid water	nongold
85	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
86	an increase is the opposite of a decrease	nongold
87	become cold means get cold	nongold
88	high is similar to increase	nongold
89	extreme means very high in value	nongold
90	water is a kind of object	nongold
91	heat means temperature increases	nongold
92	to slow; to slow down decreases speed	nongold
93	a change is a kind of event	nongold
94	to a  human a air; environment temperature of -273 C to 0 C is considered very cold	nongold
95	gas is a kind of substance	nongold
96	low is similar to decrease	nongold
97	water expanding when it freezes is a physical property of water	nongold
98	phase means state	nongold
99	snow is cold	nongold
