Question	The metal lid on a glass jar is hard to open, so it is held under warm, running water. What causes the jar to open easily after it was held under the water?	question
Answer	The metal lid expanded under warm water.	answer
0	if the lid of a container expands then that container will be easier to open	gold
1	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
2	hard is the opposite of easy	nongold
3	if an object is held under a substance then that object is touching that substance	gold
4	glass is a kind of open container	nongold
5	a jar is a kind of container	gold
6	water is a kind of liquid at room temperature	nongold
7	a lid is a kind of object	gold
8	warm means medium heat energy; temperature	nongold
9	glass is a kind of solid at room temperature	nongold
10	liquids expand more than solids when heated	nongold
11	expand means increase in size	nongold
12	warm means warm temperature	nongold
13	when water freezes , that water expands	nongold
14	warm; becoming warm means heat is added	nongold
15	a glass contains water	nongold
16	to reduce means to decrease	nongold
17	when metal conducts heat , that metal expands	gold
18	a container contains objects; material; substances	nongold
19	a container is a kind of object	nongold
20	contents means the substance in a container	nongold
21	to lower means to decrease	nongold
22	temperature is a measure of heat energy	nongold
23	glass is a kind of object	nongold
24	water expanding when it freezes is a physical property of water	nongold
25	to slow; to slow down decreases speed	nongold
26	as heat increases , a flexible container containing gas will expand	nongold
27	to add means to increase	nongold
28	if gas is heated then that gas will expand; rise	nongold
29	water is a kind of substance	gold
30	warm up means increase temperature	nongold
31	to store means to hold	nongold
32	heat means temperature increases	nongold
33	if gas in a flexible container is heated then that container will expand	nongold
34	warmer means greater; higher in temperature; warmth	nongold
35	to limit means to decrease	nongold
36	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
37	a metal is usually a solid at room temperature	nongold
38	low is similar to decrease	nongold
39	high is similar to increase	nongold
40	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
41	under water means covered by water; in water	nongold
42	if  a  material is heated , then the  material will expand	nongold
43	water is a kind of object	nongold
44	adding heat means increasing temperature	nongold
45	a liquid is a kind of substance	nongold
46	heat means heat energy	nongold
47	increasing heat causes thermal expansion	nongold
48	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
49	if a glass expands too rapidly , then the glass will break	nongold
50	increase is similar to extend	nongold
51	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
52	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
53	an increase is the opposite of a decrease	nongold
54	expand means increase in volume	nongold
55	to be lowered into a substance means to be placed into that substance	nongold
56	increase means more	nongold
57	friction causes the temperature of an object to increase	nongold
58	to place in is similar to to move to	nongold
59	if something is permeable , then the water will flow through something easily	nongold
60	if a container contains something then that container touches that something	nongold
61	moisture means liquid; liquid water	nongold
62	expand means spread out	nongold
63	cool means cold	nongold
64	a human is a kind of animal	nongold
65	cold means low in temperature	nongold
66	if an object is put inside; poured into another object , then two objects are touching	nongold
67	flowing liquid can push objects	nongold
68	heating means adding heat	nongold
69	warm is the opposite of cool	nongold
70	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
71	to be submerged means to be placed under	nongold
72	low means down	nongold
73	objects are made of materials; substances; matter	nongold
74	colder; cooler means lower in temperature	nongold
75	motion; movement means moving; to move	nongold
76	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
77	as the liquid in a tube expands , the height of  the liquid in that tube will increase	nongold
78	to receive sunlight means to absorb sunlight	nongold
79	as the temperature of an object increases , the size of that object will increase	nongold
80	metal is a kind of substance	nongold
81	if one is holding an object then one is touching that object	nongold
82	keeping cool means not increasing temperature	nongold
83	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
84	expand is a kind of change	nongold
85	affected means changed	nongold
86	being  on something; placed in something; placed over something means touching  that something	nongold
87	if something is dropped into a container of something else then that something is touching that something else	nongold
88	a solid is a kind of substance	nongold
89	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
90	absorbing sunlight causes objects to heat	nongold
91	receiving sunlight  is synonymous with absorbing sunlight	nongold
92	a living thing is a kind of object	nongold
93	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
94	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
95	glass is a kind of material	nongold
96	an animal is a kind of living thing	nongold
97	larger means greater; higher; more; increase in size	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	variable means able to change	nongold
