Question	Which term is used to describe a physical property of a mineral?	question
Answer	solid	answer
0	a physical property is a kind of property	nongold
1	a solid is a kind of substance	nongold
2	the properties of something are used for describing that something	nongold
3	a mineral is a kind of solid; natural material	gold
4	a type of something is a kind of property of that something	nongold
5	state of matter at room temperature is a kind of physical property	nongold
6	a mineral is a kind of object	nongold
7	state of matter is a kind of physical property	gold
8	solid is a kind of state of matter	gold
9	a rock is usually a solid	nongold
10	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
11	physical state means state of matter	nongold
12	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
13	the properties of something can be used to identify; used to describe that something	nongold
14	state of matter means physical state	nongold
15	liquid is a kind of state of matter	nongold
16	rock is made of minerals	nongold
17	temperature is a measure of heat energy	nongold
18	an object has properties	nongold
19	hardness is a kind of physical property	nongold
20	a chemical property is the opposite of a physical property	nongold
21	substances are made of matter	nongold
22	measuring is used for describing an object	nongold
23	conductivity is a kind of physical property	nongold
24	objects are made of materials; substances; matter	nongold
25	the effects of something is a property of that something	nongold
26	a rock is a kind of object	nongold
27	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
28	materials are made of matter	gold
29	rock is a kind of material	nongold
30	a mineral usually has a crystal structure	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	a liquid is a kind of substance	nongold
33	structure is a property of an object; a material; a substance	nongold
34	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
35	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
36	the location of an object can be used to describe that object	nongold
37	if an object is made of a material then that object has the properties of that material	nongold
38	a metal is usually a solid at room temperature	nongold
39	water is a kind of liquid at room temperature	nongold
40	heat means heat energy	nongold
41	variability of shape; variability of volume is a kind of physical property	nongold
42	a phase change is a kind of physical change	nongold
43	material means substance	nongold
44	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
45	thermal expansion is a kind of physical property	nongold
46	water is a kind of matter	nongold
47	a  chemical property is a kind of  property	nongold
48	magnetism is a kind of physical property	nongold
49	mixture means solids combined together that maintain their physical properties	nongold
50	if something undergoes a physical change then the physical properties of that something will change	nongold
51	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
52	a property of something is a feature of that something	nongold
53	crystal is a kind of  solid	nongold
54	water is a kind of substance	nongold
55	classifying means grouping objects; materials by their properties	nongold
56	phase means state	nongold
57	gas is a kind of state of matter	nongold
58	strength is a property of an object; a material	nongold
59	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
60	answering questions requires information	nongold
61	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
62	affected means changed	nongold
63	thermal expansion is a property of matter and includes ordered values of high; low	nongold
64	composition is a property of an object; matter	nongold
65	texture is a kind of physical property	nongold
66	water expanding when it freezes is a physical property of water	nongold
67	an element is a kind of material	nongold
68	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
69	gold is a kind of solid	nongold
70	chemical change is the opposite of physical change	nongold
71	density is a kind of physical property	nongold
72	shape is a kind of physical property	nongold
73	temperature is an intensive property	nongold
74	Matter in the solid phase has definite shape	nongold
75	condition means the state of the property	nongold
76	a container contains objects; material; substances	nongold
77	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	property is similar to measurement	nongold
80	solids are usually hard	nongold
81	An example of a physical change is breaking an object	nongold
82	hot means high in heat energy; temperature	nongold
83	ice is a kind of solid	nongold
84	a property is similar to a factor	nongold
85	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
86	speed is a property of an object and includes values of slow; fast	nongold
87	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
88	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
89	a structure of something is synonymous with a part of that something	nongold
90	salt is a kind of solid	nongold
91	strength is a kind of property	nongold
92	volume is a property of matter	nongold
93	if something is made of something; a material then that something contains that something; that material	nongold
94	variable means able to change	nongold
95	something's function can be used to describe; identify that something	nongold
96	liquid; solid means nongaseous	nongold
97	a theory is a kind of scientific term	nongold
98	mass; weight is a property of matter; objects; materials	nongold
99	material composition is a kind of chemical property	nongold
