Question	The moon goes through phases as it revolves around Earth. During which phase of the moon would it be possible for a solar eclipse to occur?	question
Answer	new moon	answer
0	a new moon is a kind of phase of the moon	gold
1	the Earth revolves around the sun	nongold
2	a solar eclipse could only happen during the new moon	gold
3	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
4	type of moon; kind of moon means moon phase	nongold
5	to happen means to occur	nongold
6	the new moon is when the dark half of the moon faces the Earth	nongold
7	a new moon occurs 14 days after a full moon	nongold
8	a moon is a kind of celestial object; body	nongold
9	the moon orbits the Earth	nongold
10	events occur at a specific place; at a specific time; with a specific frequency	nongold
11	the new moon is when the lighted half of the moon faces the Sun	nongold
12	the first quarter phase of the moon occurs after the new moon	nongold
13	each of the moon's phases occurs once per month	nongold
14	phase means state	nongold
15	a moon phase is a kind of natural event	nongold
16	the Moon is Earth's moon	nongold
17	a phase of the moon is a kind of state	nongold
18	a solar eclipse is when the Moon blocks the Earth from the sun	nongold
19	a full moon is a kind of phase of the moon	nongold
20	something that happens is a kind of event	nongold
21	a cycle happens; occurs repeatedly	nongold
22	revolving  around something means orbiting that something	nongold
23	a revolution occurs when something revolves around something else	nongold
24	Earth is a kind of planet	nongold
25	to make possible means to be required	nongold
26	the moon rotates on its axis	nongold
27	to pass means to occur	nongold
28	lunar phase is synonymous with moon phase	nongold
29	a moon phase occurs 28 days after the last time it occurred	nongold
30	the moon orbiting the Earth occurs once per month	nongold
31	moons are large; solid; spherical	nongold
32	the sunlight occurs during the day	nongold
33	high is similar to increase	nongold
34	a rotation of the moon takes 1; one month	nongold
35	the sun is a source of light; light energy called sunlight	nongold
36	new means different from the former one	nongold
37	a motion is a kind of event; action	nongold
38	a planet is a kind of celestial object; body	nongold
39	the sun setting is a kind of event	nongold
40	take place means happen	nongold
41	a vehicle for something allows; enables that something to occur	nongold
42	if an event is required for a process then that event must occur before that process can occur	nongold
43	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
44	sunlight means solar energy	nongold
45	to add means to increase	nongold
46	a process is a kind of event	nongold
47	a different moon phase occurs once per week	nongold
48	the sun rising; setting occurs once per day	nongold
49	event is similar to occurrence	nongold
50	cycles of day and night occur once per day	nongold
51	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
52	a change is a kind of event	nongold
53	the moon orbiting the Earth occurs approximately 13 times per year	nongold
54	if an event occurs by adding something then that event requires that something	nongold
55	the Moon is closer to the Earth than the Sun	nongold
56	a first quarter is a kind of phase of the moon	nongold
57	a new season occurs once per 3.0 months	nongold
58	old is the opposite of new	nongold
59	affected means changed	nongold
60	a waning gibbous is a kind of phase of the moon	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	if it is night then the sun has set	nongold
63	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
64	Earth rotating on its axis occurs once per day	nongold
65	sunlight is a kind of solar energy	nongold
66	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
67	the moon is the celestial object that is closest to the  Earth	nongold
68	a last quarter is a kind of phase of the moon	nongold
69	the Earth rotates on its axis	nongold
70	Earth's shadow falling on the moon causes a lunar eclipse	nongold
71	a revolution of the moon around the Earth takes 1; one month	nongold
72	to turn means to change	nongold
73	variable means able to change	nongold
74	greatest means largest; highest; most amount of something	nongold
75	to cause an event is similar to being involved in that event	nongold
76	an increase is a kind of change	nongold
77	an increase is the opposite of a decrease	nongold
78	furthest; farthest means greatest; most; highest in distance	nongold
79	to keep something occurring means to cause that something to occur	nongold
80	a new season occurs four times per year	nongold
81	period is similar to amount of time	nongold
82	low is similar to decrease	nongold
83	can be means able to be	nongold
84	the day time is part of one day	nongold
85	extreme means very high in value	nongold
86	a full moon occurs after a waxing gibbous moon	nongold
87	a planet's  moon is smaller than that planet	nongold
88	once per means every	nongold
89	the phases of the Moon change the appearance of the Moon	nongold
90	a waning crescent is a kind of phase of the moon	nongold
91	to change means to cause a change	nongold
92	a lunar eclipse could only occur during a full moon	nongold
93	form means kind	nongold
94	to slow; to slow down decreases speed	nongold
95	length of time means period of time	nongold
96	to depend on; to rely on; to need means to require	nongold
97	astronomy is the study of celestial (objects, bodies)	nongold
98	Venus has moon-like phases	nongold
99	a lunar eclipse is when the Earth blocks the Moon from the sun	nongold
