Question	When would the highest tides occur along the Texas coast?	question
Answer	during a full moon	answer
0	spring tides occur during a full moon	gold
1	Texas is a state located in the United States of America	nongold
2	a full moon occurs after a waxing gibbous moon	nongold
3	the tide is when ocean levels periodically rise; fall	nongold
4	a full moon is a kind of phase of the moon	nongold
5	spring tides occur during a new moon	nongold
6	coastline means coast	nongold
7	a coast is where land meets the edge of a body of water	nongold
8	to happen means to occur	nongold
9	ocean tides are a kind of phenomenon	nongold
10	a coast is a coastal area	nongold
11	tidal means related to tides	nongold
12	the gravitational pull of the Moon on Earth's oceans causes the tides	nongold
13	higher means greater; above in value; amount; number	nongold
14	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
15	spring tide is when high tide is at its greatest distance from low tide	nongold
16	each of the moon's phases occurs once per month	nongold
17	a moon is a kind of celestial object; body	nongold
18	the lowest gravitational pull is during a quarter moon	nongold
19	high tide is a stage in the tide cycle process	nongold
20	the Moon is Earth's moon	nongold
21	the moon rising occurs once per day	nongold
22	type of moon; kind of moon means moon phase	nongold
23	a tide is a kind of natural event	nongold
24	a phase of the moon is a kind of state	nongold
25	a new moon is a kind of phase of the moon	nongold
26	events occur at a specific place; at a specific time; with a specific frequency	nongold
27	the new moon is when the dark half of the moon faces the Earth	nongold
28	a coast is a kind of environment	nongold
29	a new moon occurs 14 days after a full moon	nongold
30	greater means higher; more in value	nongold
31	a moon phase is a kind of natural event	nongold
32	low tide is a stage in the tide cycle process	nongold
33	spring tide is similar to high tide	gold
34	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
35	high is similar to increase	nongold
36	greatest means largest; highest; most amount of something	nongold
37	the tide cycle occurs regularly twice per day	nongold
38	the new moon is when the lighted half of the moon faces the Sun	nongold
39	a moon phase occurs 28 days after the last time it occurred	nongold
40	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
41	a shore is the land found at the edge of a body of water	nongold
42	the Moon has less water; air than Earth	nongold
43	a different moon phase occurs once per week	nongold
44	the moon orbits the Earth	nongold
45	an increase is a kind of change	nongold
46	a solar eclipse could only happen during the new moon	nongold
47	a coastal area is a kind of environment	nongold
48	the first quarter phase of the moon occurs after the new moon	nongold
49	lowest means least in value; amount; number	nongold
50	a first quarter is a kind of phase of the moon	nongold
51	furthest; farthest means greatest; most; highest in distance	nongold
52	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
53	a last quarter is a kind of phase of the moon	nongold
54	an ocean is a kind of body of water	nongold
55	sea means ocean	nongold
56	a lunar eclipse could only occur during a full moon	nongold
57	a waning crescent is a kind of phase of the moon	nongold
58	a waning gibbous is a kind of phase of the moon	nongold
59	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
60	to pass means to occur	nongold
61	highest means largest; greatest; most in height	nongold
62	the moon rotates on its axis	nongold
63	an estuary is a kind of body of water	nongold
64	maritime means close to the ocean	nongold
65	moons are large; solid; spherical	nongold
66	the Moon is closer to the Earth than the Sun	nongold
67	land is a kind of landform	nongold
68	tidal range is a measure of the vertical distance from high tide to low tide	nongold
69	the moon does not contain air; water	nongold
70	a change is a kind of event	nongold
71	a decrease is a kind of change	nongold
72	to lower means to decrease	nongold
73	the solar system contains the moon	nongold
74	an event is a kind of action	nongold
75	a solar eclipse is when the Moon blocks the Earth from the sun	nongold
76	increase means more	nongold
77	low is similar to decrease	nongold
78	answering questions requires information	nongold
79	the moon reflects sunlight towards the Earth	nongold
80	something that happens is a kind of event	nongold
81	a motion is a kind of event; action	nongold
82	the sun sets in the west	nongold
83	Atlantic Ocean is located in  the northwestern coast of Europe	nongold
84	a body of water is a kind of land feature	nongold
85	a cycle happens; occurs repeatedly	nongold
86	an aquatic animal is a kind of animal	nongold
87	extreme means very high in value	nongold
88	the moon is less bright than the sun	nongold
89	length of time means period of time	nongold
90	an island is a kind of landform	nongold
91	cycles of day and night occur once per day	nongold
92	all the time means at day and at night	nongold
93	period is similar to amount of time	nongold
94	event is similar to occurrence	nongold
95	the dark half of the moon is not visible	nongold
96	a planet's  moon is smaller than that planet	nongold
97	moons; comets; planets are part of the solar system	nongold
98	a rotation of the moon takes 1; one month	nongold
99	the moon orbiting the Earth occurs once per month	nongold
