Question	Which of the following is an acquired human characteristic?	question
Answer	Verbal accent	answer
0	verbal accent is an acquired characteristic	gold
1	a learned characteristic is a kind of acquired characteristic	nongold
2	feature is synonymous with characteristic	nongold
3	an inherited characteristic is a kind of characteristic	nongold
4	trait is synonymous with characteristic	nongold
5	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
6	an adaptation is a kind of characteristic	nongold
7	what an object is made of is a kind of characteristic	nongold
8	a part of something means a characteristic of something	nongold
9	sense is a kind of characteristic of an animal	nongold
10	personality is an acquired characteristic	nongold
11	a behavior is a kind of characteristic	nongold
12	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
13	sound of voice is an inherited characteristic	nongold
14	a human is a kind of animal	nongold
15	characteristic means property	nongold
16	senses are an inherited characteristic	nongold
17	style is an acquired characteristic	nongold
18	an organism's environment affects that organism's acquired characteristics	nongold
19	intelligence is an acquired characteristic	nongold
20	trait means property	nongold
21	person is synonymous with human	nongold
22	the condition of parts of an organism are acquired characteristics	nongold
23	a structure is a kind of feature	nongold
24	following orders is a learned characteristic	nongold
25	aspect of something is similar to part of something	nongold
26	preferences are generally learned characteristics	nongold
27	ability is a kind of characteristic	nongold
28	a scar is an acquired characteristic	nongold
29	conditioned behavior is a kind of learned behavior	nongold
30	an animal is a kind of organism	nongold
31	skills are learned characteristics; behaviors	nongold
32	an animal is a kind of living thing	nongold
33	human is a kind of organism	nongold
34	a land feature is a kind of physical characteristic	nongold
35	a living thing is a kind of object	nongold
36	a property of something is a feature of that something	nongold
37	language is a kind of communication	nongold
38	communication is a learned behavior	nongold
39	a person is a kind of animal	nongold
40	physical fitness is an acquired characteristic	nongold
41	affected means changed	nongold
42	using tools is a learned characteristic	nongold
43	species is an inherited characteristic	nongold
44	a type is synonymous with a kind	nongold
45	phenotype of an organism means the visible traits of  an organism	nongold
46	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
47	the color of; coloration of fur is an inherited characteristic	nongold
48	speaking is a kind of communication	nongold
49	sound can be used for communication by animals	nongold
50	resemble means similar characteristics	nongold
51	the head is a part of an animal	nongold
52	taking in something means acquiring that something	nongold
53	a person speaking is a source of sound	nongold
54	human voice is a kind of sound	nongold
55	the length of the hair of an animal is an acquired characteristic	nongold
56	form means kind	nongold
57	a kind of something is an example of that something	nongold
58	an organism is a living thing	nongold
59	hearing is a kind of sense	nongold
60	talking is when a human produces sound to communicate	nongold
61	social behavior is a kind of learned behavior	nongold
62	a structure of something is synonymous with a part of that something	nongold
63	surface type is a kind of characteristic	nongold
64	hearing is used for sensing sound by animals	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	a function is a kind of characteristic	nongold
67	a face is often a part of an animal	nongold
68	playing with toys is a learned characteristic	nongold
69	eye color is an inherited characteristic	nongold
70	an adaptation is a kind of change	nongold
71	a component means a part of	nongold
72	the ability to roll the tongue is a dominant trait in human	nongold
73	a mammal is a kind of animal	nongold
74	inherited characteristics are a kind of hereditary information	nongold
75	feeling is when an living thing senses through touch	nongold
76	a body part is a kind of object	nongold
77	a human is a kind of mammal	nongold
78	animal instinct means instinctive behavior	nongold
79	causing is a kind of affecting	nongold
80	Anna is a name for a human	nongold
81	human is similar to individual	nongold
82	blood type is an inherited characteristic	nongold
83	not is similar to the opposite of	nongold
84	the properties of something are used for describing that something	nongold
85	typically means usually	nongold
86	a chin without a cleft is  a recessive trait in human	nongold
87	the ability to reflect off of a surface is a kind of characteristic	nongold
88	reproductive behavior is an inherited characteristic	nongold
89	a component of something means a part of that something	nongold
90	a landform is a kind of object	nongold
91	a cleft chin is a dominant trait in human	nongold
92	an object is made of its parts	nongold
93	identical means copy	nongold
94	appearance is a property of objects; materials	nongold
95	an attached earlobe is a recessive trait in human	nongold
96	the shape of body parts is an inherited characteristic	nongold
97	the colors of parts of an organism are inherited characteristics	nongold
98	a brain is a part of an animal	nongold
99	a plant is a kind of organism	nongold
