Question	Moving water in a river is considered a renewable resource because it	question
Answer	can be recycled by nature over time	answer
0	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
1	recycling means reusing	nongold
2	recycling has a  positive impact on the environment	nongold
3	recycling means using over again	nongold
4	a river is a kind of flowing body of water	nongold
5	recycling is similar to reusing	nongold
6	nature is the source of natural resources	nongold
7	replacing is similar to recycling	gold
8	recycling is a kind of action	nongold
9	recycling reduces the resources needed to make something	nongold
10	nature means a natural environment	nongold
11	water is a renewable resource	gold
12	if a resource is limited in supply then that resource should be recycled	nongold
13	to recycle means return	nongold
14	a river is a kind of channel for water	nongold
15	renewable is the opposite of nonrenewable	nongold
16	a renewable resource can be replaced	nongold
17	recyclable means a material can be recycled	nongold
18	An example of recycling is using an object to make a new object	nongold
19	a renewable resource is a kind of natural resource	nongold
20	wastewater treatment is used for recycling water for human use	nongold
21	recycling is a kind of method of disposal	nongold
22	renewable resources are replenished more quickly than they are used	nongold
23	a renewable resource is a kind of naturally replaced resource	gold
24	a stream is a kind of body of water	nongold
25	a renewable resource can be renewed	nongold
26	recycling reduces; decreases the amount of waste sent to landfills	nongold
27	flowing is a kind of motion	nongold
28	waste has a  negative impact on the environment	nongold
29	travel means to move	nongold
30	human waste often causes harm to an environment	nongold
31	flowing is a kind of action	nongold
32	natural resources are found in nature	nongold
33	water is a kind of natural resource	nongold
34	water is a kind of natural resource	nongold
35	renewable resources are often available for many years	nongold
36	a riverbed is a part of a river	nongold
37	a channel contains moving water	nongold
38	renewable resources can be used over again	nongold
39	waste must be removed	nongold
40	to conserve means to not change	nongold
41	a body of water contains water	nongold
42	a body of water is a source of water	nongold
43	to be used for something means to be required by that something	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	water is a part of an environment	nongold
46	an increase is a kind of change	nongold
47	moving is similar to travelling	nongold
48	to create means to make	nongold
49	a body of water is a kind of environment	nongold
50	a natural resource is a kind of environmental factor	nongold
51	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
52	replace means change from one thing into  another	nongold
53	a process is a kind of event	nongold
54	requiring something means needing that something	nongold
55	to depend on; to rely on; to need means to require	nongold
56	to produce means to create	nongold
57	processes sometimes produce waste products	nongold
58	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
59	transport means to move; to make travel	nongold
60	answering questions requires information	nongold
61	washing out means being moved from  by water	nongold
62	an event is a kind of action	nongold
63	if something transfers something else then that something is a source of something else	nongold
64	transportation technology is used for moving people; products	nongold
65	increase means more	nongold
66	resources sometimes are used for energy	nongold
67	where something  comes from is a source of that something	nongold
68	to flow is similar to to transfer	nongold
69	a component means a part of	nongold
70	creating means making	nongold
71	dead organisms are a kind of waste	nongold
72	green plants are a kind of producer	nongold
73	a part of a process means a stage in a process	nongold
74	moving something is a kind of function	nongold
75	solution is similar to a positive impact	nongold
76	downstream is a kind of direction in a river	nongold
77	to form means to create	nongold
78	a nonrenewable resource is limited in supply	nongold
79	erosion is a kind of process	nongold
80	water is a kind of substance	nongold
81	a motion is a kind of event; action	nongold
82	good means positive	nongold
83	if something is a raw material in a process then that something is required for that process	nongold
84	make means produce	nongold
85	humans move waste to a  landfill for disposal;storage	nongold
86	if something causes a process then that something is required for that process	nongold
87	runoff is a kind of water	nongold
88	to cause means to make	nongold
89	an environment means an area	nongold
90	plants are a kind of resource	nongold
91	to wash away is a kind of movement by moving water	nongold
92	no longer means used to be	nongold
93	to increase is similar to to create	nongold
94	to make means to form	nongold
95	An example of conservation is avoiding waste	nongold
96	to generate means to create	nongold
97	if something gains something from something else then that something else is a source of that something	nongold
98	if something requires something else then that something requires a source of that something else	nongold
99	emit means produce	nongold
