Question	If an object is attracted to a magnet, the object is most likely made of	question
Answer	metal	answer
0	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
1	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
2	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	gold
3	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
4	a magnet is a kind of object	nongold
5	objects are made of materials; substances; matter	nongold
6	if an object is made of a material then that object has the properties of that material	nongold
7	metals are made of metal	nongold
8	metal is sometimes magnetic	gold
9	an electrical charge can attract objects to other objects	nongold
10	if something contains a large amount of magnetic material then that something will attract magnets	gold
11	materials are made of matter	nongold
12	substances are made of matter	nongold
13	metal is a kind of material	gold
14	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
15	soft iron; iron is always ferromagnetic; magnetic	nongold
16	metal is a kind of substance	nongold
17	to be made of something means to be formed of that something	nongold
18	metal is an  electrical; electrical energy conductor	nongold
19	to be made of means to consist of	nongold
20	if something is made of something else then that something can be broken down into that something else	nongold
21	an object is made of its parts	nongold
22	matter; materials; substances are made of atoms; particles	nongold
23	composed of means made of	nongold
24	if an object is made of something then the parts of that object are made of that something	nongold
25	Magnetite is always magnetic	nongold
26	steel; carbon steel is always ferromagnetic; magnetic	nongold
27	electricity is made of moving charges; moving charged particles	nongold
28	substances are made of elements	nongold
29	a metal is usually a solid at room temperature	nongold
30	made of is similar to is built from	nongold
31	an electromagnet is a kind of electric magnet	nongold
32	plastic is always nonmagnetic	nongold
33	conductivity is a property of a material; substance	nongold
34	electric currents produce magnetic fields	nongold
35	an electromagnet contains a wire; cylindrical ferrous metal	nongold
36	steel is a kind of metal	nongold
37	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	nongold
38	conductivity is a kind of physical property	nongold
39	a metal is a kind of element	nongold
40	tin is always nonmagnetic	nongold
41	a spoon sometimes is made of metal	nongold
42	an object has properties	nongold
43	a magnet contains a north pole; south pole	nongold
44	if something is made of something else , then that something else will be the component of that something	nongold
45	electromagnets generate magnetic fields	nongold
46	iron is a kind of metal	nongold
47	an atom is made of protons; neutrons; electrons	nongold
48	a tool is a kind of object	nongold
49	a paper clip is often made of magnetic metals; ferromagnetic metals	nongold
50	a molecule is a kind of object	nongold
51	an electromagnet is a kind of device	nongold
52	magnetism is a kind of physical property	nongold
53	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
54	aluminum is a kind of metal	nongold
55	nonmetal means not metal	nongold
56	made of is similar to contains	nongold
57	an atom is a kind of object	nongold
58	size of the object attracted by the electromagnet has no impact on the strength of the electromagnet	nongold
59	magnetism can affect objects that are not touching	nongold
60	aluminum is always nonmagnetic	nongold
61	sodium is a kind of metal	nongold
62	chromium is always nonmagnetic	nongold
63	chromium is a kind of metal	nongold
64	aluminum is a kind of matter	nongold
65	zinc is always nonmagnetic	nongold
66	matter is made of molecules	nongold
67	electrocution causes harm to an organism	nongold
68	metal is a thermal; thermal energy conductor	nongold
69	if one surface; one substance; one object touches something then one is exposed to that something	nongold
70	an animal is a kind of living thing	nongold
71	a hammer often is made of metal	nongold
72	zinc is a kind of metal	nongold
73	a device is a kind of object	nongold
74	copper is a kind of metal	nongold
75	can be means able to be	nongold
76	instrument means tool	nongold
77	made up of means contains; made of	nongold
78	metal is reflective	nongold
79	Magnetoplumbite is always magnetic	nongold
80	mercury  is a kind of metal	nongold
81	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	nongold
82	particles in objects are a kind of matter	nongold
83	to conduct is similar to to transfer	nongold
84	magnetic force means magnetism	nongold
85	to touch means to contact	nongold
86	stainless steel is always magnetic; nonmagnetic	nongold
87	iron is always magnetic	nongold
88	the core of an electromagnet is the metal	nongold
89	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
90	glass is always nonmagnetic	nongold
91	a conducting metal loop is a kind of electromagnet	nongold
92	magnetic attraction pulls two objects together	nongold
93	bronze is always nonmagnetic	nongold
94	metals usually have greater; higher conductivity than nonmetals	nongold
95	a magnet moving in a coil of copper wire can cause an electric current	nongold
96	structure is a property of an object; a material; a substance	nongold
97	state of matter means physical state	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	tungsten is a kind of metal	nongold
