Question	Which item is designed to change electrical energy into heat energy?	question
Answer	Hand dryer	answer
0	a hand dryer produces heat	gold
1	a hand dryer is a kind of electrical device for drying hair	gold
2	electricity means electrical energy	gold
3	heat means heat energy	nongold
4	electrical devices convert from electrical energy; electricity into other forms of energy	gold
5	electrical energy is a kind of energy	gold
6	heating means adding heat	nongold
7	an object is an item	gold
8	thermal energy is a kind of energy	nongold
9	heat energy is synonymous with thermal energy	nongold
10	heat is a kind of energy	gold
11	a heating element converts electrical energy; electricity into heat energy for heating	nongold
12	an electric stove changes electrical energy into heat energy	nongold
13	metal is a thermal; thermal energy conductor	nongold
14	a hand is a kind of object	nongold
15	temperature is a measure of heat energy	nongold
16	to convert means to change	gold
17	heat means the transfer of thermal energy	nongold
18	tool is similar to appliance	nongold
19	electric devices require electrical energy to function	nongold
20	plastic is usually an electrical insulator	nongold
21	conductivity is a property of a material; substance	nongold
22	household appliances are a kind of electrical device	nongold
23	heat energy  can be used to heat up  an object	nongold
24	water is an thermal; thermal energy conductor	nongold
25	instrument means device	nongold
26	friction converts mechanical energy into heat energy	nongold
27	plastic is a kind of electrical insulator	nongold
28	if an object is made of a material then that object has the properties of that material	nongold
29	plastic is a kind of thermal insulator	nongold
30	a device is a kind of object	gold
31	a wet object is a source of water	nongold
32	metal is an  electrical; electrical energy conductor	nongold
33	solar energy is a kind of heat energy	nongold
34	electricity is used as an energy source by electrical devices	nongold
35	rubber is thermal;thermal energy insulator	nongold
36	objects are made of materials; substances; matter	nongold
37	a machine is a kind of object	nongold
38	drying means amount of water; amount of liquid; wetness decreases	nongold
39	electrical devices are used for industrial purposes; household purposes by humans	nongold
40	energy transformation means one kind of energy changes into another kind of energy	nongold
41	device means tool	nongold
42	variable means able to change	nongold
43	wet is the opposite of dry	nongold
44	appliance is similar to technology	nongold
45	a hand is a part of the body	nongold
46	dry means low in amount of water; wetness; moisture	nongold
47	adding heat means increasing temperature	nongold
48	a source of heat can be used to heat something	nongold
49	a source of heat can be used to heat something	nongold
50	a tool is a kind of object	nongold
51	a machine is a kind of  device	nongold
52	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
53	a thermal insulator slows; prevents the transfer of heat	nongold
54	material means substance	nongold
55	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
56	to modify means to change	nongold
57	a complete electrical circuit is a source of  electrical energy	nongold
58	solar energy is a kind of energy	nongold
59	conductivity is a kind of physical property	nongold
60	metal is a kind of material	nongold
61	wax is an electrical; electrical energy insulator	nongold
62	form means kind	gold
63	wood is an thermal; thermal energy insulator	nongold
64	a solar panel converts sunlight; solar energy into electrical energy; electricity	nongold
65	an electric motor converts electrical energy into mechanical energy	nongold
66	wood is a thermal; thermal energy insulator	nongold
67	a human is a kind of animal	nongold
68	heat energy can change the state of matter	nongold
69	plastic is a kind of material made by humans	nongold
70	a source of something emits; produces; generates; provides that something	nongold
71	drying clothes on a clothesline does not require electricity	nongold
72	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
73	a surface is a part of a material	nongold
74	absorbing energy causes objects; materials; substances to heat	nongold
75	an electrical device requires electricity to turn on	nongold
76	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
77	to add means to increase	nongold
78	person is synonymous with human	nongold
79	a towel is a kind of object	nongold
80	the heat energy in the cooler object increases in thermal conduction	nongold
81	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
82	brick is an electrical; electrical energy insulator	nongold
83	an increase is a kind of change	nongold
84	affected means changed	nongold
85	a phase change is a kind of physical change	nongold
86	an object; material; substance comes from that object or material's source	nongold
87	friction causes the temperature of an object to increase	nongold
88	a heat engine converts heat energy into mechanical energy	nongold
89	conductivity is a measure of how easily electricity travels through a material	nongold
90	instrument means tool	nongold
91	heat sink is a kind of device	nongold
92	a thermal conductor is made of materials that conduct thermal energy	nongold
93	heat means temperature increases	nongold
94	a surface is a part of an object	nongold
95	replace means change from one thing into  another	nongold
96	thermal conduction is when heat flows from warmer object to cooler object	nongold
97	adding something is a kind of change	nongold
98	an instrument is a piece of equipment	nongold
99	mechanical energy is a kind of energy	nongold
