Question	Students are learning about different types of waves. Which is the least likely way for the students to generate a wave?	question
Answer	by tossing a ball in the air	answer
0	tossing  a ball in the air cannot form a source of vibration	gold
1	air is a kind of gas	nongold
2	a ball is a kind of object	nongold
3	a type is synonymous with a kind	nongold
4	a wave is a kind of object	nongold
5	a student is a kind of human	nongold
6	the air is a kind of substance	nongold
7	a source of something emits; produces; generates; provides that something	nongold
8	air is a kind of matter	nongold
9	a type of something is a kind of property of that something	nongold
10	generate means produce	nongold
11	sound wave is a kind of wave	nongold
12	to generate means to create	nongold
13	to generate means to form	gold
14	least is the opposite of most	nongold
15	least is the opposite of greatest	nongold
16	causing is similar to generating	nongold
17	hitting is a kind of motion	nongold
18	motion; movement means moving; to move	nongold
19	learning about something sometimes requires observing that something	nongold
20	sound wave is a kind of mechanical wave	nongold
21	air is a part of the environment	nongold
22	a human is a kind of animal	nongold
23	converting is similar to generating	nongold
24	atmosphere means  air	nongold
25	electromagnetic wave is a kind of  wave	nongold
26	sound can travel through air by vibrating air	nongold
27	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
28	flight is similar to a movement in the air made by an airplane	nongold
29	a landform is a kind of object	nongold
30	sound wave is similar to sound	nongold
31	flying is a kind of motion through air; space	nongold
32	variety means different kinds; different types	nongold
33	waves are made of moving water	nongold
34	sound waves means sound energy	nongold
35	a living thing is a kind of object	nongold
36	gas is a kind of substance	nongold
37	electromagnetic wave is not a mechanical wave	nongold
38	producing thrust causes something; an animal; an object to move	nongold
39	a motion is a kind of event; action	nongold
40	to hover means to stay in place in the air	nongold
41	air is a vehicle for sound	nongold
42	light is a kind of wave	nongold
43	a bowling ball is a kind of object	nongold
44	if something generates energy for something else then that something powers that something else	nongold
45	gas is a kind of object	nongold
46	converting is similar to producing	nongold
47	classifying is when one sorts something by kind; type	nongold
48	waving is a kind of motion	nongold
49	often is similar to likely	nongold
50	if something strikes an object then that something may bounce off of that object	nongold
51	hitting an object causes the particles in that object to vibrate	nongold
52	sound is a kind of air vibration	nongold
53	an event is a kind of action	nongold
54	frequency is a property of a wave; a particel of light; an event	nongold
55	motion is a source of kinetic energy in an object	nongold
56	air is usually a thermal; thermal energy insulator	nongold
57	an animal is a kind of living thing	nongold
58	gas is a kind of state of matter	nongold
59	air temperature is a kind of temperature	nongold
60	producing is similar to causing	nongold
61	more likely means increased likelihood	nongold
62	objects are made of materials; substances; matter	nongold
63	electromagnetic energy travels as electromagnetic waves	nongold
64	waves travel differently in different media	nongold
65	all waves transfer; transmit energy from one place to another	nongold
66	a surface is a part of an object	nongold
67	when two objects are touched; are contacted; move against each other , sound is produced	nongold
68	creating is similar to causing	nongold
69	person is synonymous with human	nongold
70	heat means heat energy	nongold
71	if studying something is used to learn about something then that something is a source of information	nongold
72	form means kind	nongold
73	generating power is a kind of positive impact	nongold
74	if something causes an increase in something else then that something produces that something else	nongold
75	waves contain mechanical energy	nongold
76	air is a kind of medium for light	nongold
77	an earthquake wave is a kind of wave	nongold
78	to cause an event means to make that event more likely	nongold
79	learning; studying information causes one to know that information	nongold
80	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
81	a wave is formed by the vibration of the source spreading around from the source	gold
82	a particle is a kind of object	nongold
83	setting is a kind of motion	nongold
84	air pressure is a property of air; the atmosphere	nongold
85	to change means to become different	nongold
86	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
87	emit means produce	nongold
88	affected means changed	nongold
89	hitting something causes harm to that something	nongold
90	if an animal is trained to do something then that something is a learned behavior	nongold
91	a vibration is similar to a wave	nongold
92	a surface is a kind of object	nongold
93	different is the opposite of the same	nongold
94	An example of playing with toys is jumping to catch a ball	nongold
95	a musical instrument is a kind of object	nongold
96	sound is a kind of sound energy	nongold
97	can be means able to be	nongold
98	to produce means to create	nongold
99	high-frequency sound waves have low; short wavelengths	nongold
