Question	In 1872, the United States created a national park called Yellowstone. The park includes more than two million acres in the three states of Idaho, Montana, and Wyoming. Which statement best explains why national parks have a positive effect on ecosystems?	question
Answer	National parks limit mining, logging, and hunting.	answer
0	national parks limit mining; logging; hunting	gold
1	national parks have a positive impact on ecosystems	gold
2	mining changes an ecosystem	gold
3	logging is when humans cut down trees; forests for wood	gold
4	to limit means to decrease	gold
5	Idaho is a state located in the United States of America	nongold
6	Wyoming is a state located in the United States of America	nongold
7	Montana is a state located in the United States of America	nongold
8	a park is a kind of environment	nongold
9	a restriction can be used to limit something; keep something low	nongold
10	mining  is when humans take rocks and minerals from the ground	nongold
11	an environment is similar to an ecosystem	gold
12	hunting means humans kill animals in the wild	gold
13	a forest is a kind of ecosystem	nongold
14	an environment means an area	nongold
15	a forest is a kind of environment	nongold
16	limiting something is a kind of activity	nongold
17	an ecosystem is a kind of habitat	nongold
18	hunting is when a human kills an animal for food; recreation in the wild	nongold
19	the United States is a kind of country	nongold
20	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	gold
21	impact means effect	gold
22	best means most positive	nongold
23	nature means a natural environment	nongold
24	an ecosystem contains a large community of; large numbers of living organisms	nongold
25	hunting; overhunting decreases animal populations	nongold
26	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
27	to cause means to have an effect	nongold
28	land is a kind of environment	nongold
29	forest is synonymous with wooded area	nongold
30	hunting is a kind of action	nongold
31	hunting is when an animal kills another animal to eat that animal	nongold
32	harming something has a  negative impact on; effect on that something	nongold
33	to impact means to affect	nongold
34	negative impact is the opposite of positive impact	gold
35	to change means to have an effect	nongold
36	An example of protecting the environment is creating protected areas	nongold
37	a forest contains  lots of plants; trees	nongold
38	decreasing something negative has a positive impact on a thing	gold
39	good means positive	nongold
40	an animal is a kind of living thing	nongold
41	a region is similar to an environment	nongold
42	a positive impact is  a benefit	nongold
43	protecting nature has a positive impact on the environment	nongold
44	harvesting is a kind of using	nongold
45	decreasing something positive has a negative impact on a thing	nongold
46	to reduce means to decrease	nongold
47	high is similar to increase	nongold
48	land is a kind of resource	nongold
49	destroying animal habitats changes an ecosystem	nongold
50	destroying animal habitats has a negative  impact on an ecosystem	nongold
51	the Earth contains many ecosystems	nongold
52	United States is located in the northern hemisphere	nongold
53	change is a kind of impact	nongold
54	a nature preserve is a kind of protected area	nongold
55	to increase is similar to to create	nongold
56	helping something has a  positive impact on that something	nongold
57	if something is required for a process then that something positively impacts that process	nongold
58	state means form	nongold
59	an environment is a kind of place	nongold
60	increase means more	nongold
61	An example of an environment is a forest; a river; a grassland; an ocean	nongold
62	to be good for means to have a positive impact on	nongold
63	an increase is the opposite of a decrease	nongold
64	an event is a kind of action	nongold
65	a natural ecosystem contains native living things only	nongold
66	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
67	to act on means to affect	nongold
68	a nature preserve is a kind of habitat	nongold
69	an increase is a kind of change	nongold
70	nature is the source of natural resources	nongold
71	to lower means to decrease	nongold
72	a state is a kind of place	nongold
73	killing means harming something causing death	gold
74	water is a part of an environment	nongold
75	some animals live in forests	nongold
76	hunting requires seeing; sensing prey	nongold
77	to be used for something means to be required by that something	nongold
78	less is similar to decrease	nongold
79	land is a kind of landform	nongold
80	an animal is a kind of organism	gold
81	over hunting means overhunting	nongold
82	if something causes a process then that something is required for that process	nongold
83	abundant means high in number	nongold
84	the wild is similar to nature	nongold
85	creating is similar to causing	nongold
86	most means over 50% of something	nongold
87	greatest means largest; highest; most amount of something	nongold
88	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	humans changing an environment sometimes causes that environment to be destroyed	nongold
91	organisms are a part of an environment	gold
92	a living thing is a kind of object	nongold
93	a natural resource is a kind of environmental factor	nongold
94	solution is similar to a positive impact	nongold
95	loss means reduction	nongold
96	a renewable resource is a kind of natural resource	nongold
97	a plant is a kind of living thing	nongold
98	extinction has a negative  impact on an ecosystem	nongold
99	an animal requires a habitat for survival	nongold
