Question	Moving water was the most important factor in forming which of these?	question
Answer	the Grand Canyon	answer
0	the Grand Canyon is a kind of canyon	nongold
1	the Grand Canyon was formed by the Colorado River flowing over long periods of time	gold
2	a canyon is a kind of landform	nongold
3	a canyon is a very deep valley	nongold
4	a canyon is a kind of place	nongold
5	a canyon is made of rock	nongold
6	a canyon is a very big crack in the ground	nongold
7	most canyons are formed by flowing rivers through erosion over long periods of time	gold
8	a canyon forming occurs over a period of millions of years	nongold
9	flowing is a kind of motion	gold
10	a river is a kind of flowing body of water	gold
11	motion; movement means moving; to move	gold
12	a factor impacts something	nongold
13	flowing is a kind of action	nongold
14	if something requires something else then that something else is important to that something	gold
15	a river is a kind of channel for water	nongold
16	to depend on; to rely on; to need means to require	nongold
17	a valley is formed by a river flowing	nongold
18	a stream is a kind of body of water	nongold
19	groundwater is a kind of water	nongold
20	a motion is a kind of event; action	nongold
21	a channel contains moving water	nongold
22	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
23	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
24	valley is located between mountains; hills	nongold
25	to cause the formation of means to form	gold
26	if something causes a process then that something is required for that process	gold
27	to make means to form	nongold
28	to wash away is a kind of movement by moving water	nongold
29	form means kind	nongold
30	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
31	to form means to create	nongold
32	breaking down is a kind of forming	nongold
33	the formation of something is a kind of process	nongold
34	movement is a kind of change	nongold
35	weathering is a kind of erosion	nongold
36	if something has a positive impact on something else then that something is important to that something else	nongold
37	an event is a kind of action	nongold
38	forming is a kind of action	nongold
39	valley is a kind of location	nongold
40	rising is a kind of motion	nongold
41	a body of water is a source of water	nongold
42	motion is when moves an object; something to a direction	nongold
43	a tunnel is a kind of hole	nongold
44	a cavern is a kind of land form	nongold
45	moving is similar to travelling	nongold
46	to be made of something means to be formed of that something	nongold
47	a body of water is a kind of environment	nongold
48	high is similar to increase	nongold
49	turning is a kind of motion	nongold
50	a process is a kind of event	nongold
51	to pass through means to move through	nongold
52	to increase is similar to to create	nongold
53	an increase is a kind of change	nongold
54	erosion is a kind of process	nongold
55	lowering is a kind of motion	nongold
56	if an event is required for a process then that event must occur before that process can occur	nongold
57	water is a kind of substance	nongold
58	increase means more	nongold
59	erosion is a kind of change	nongold
60	pulling is a kind of motion	nongold
61	moving something is a kind of function	nongold
62	weathering; erosion usually occurs over a period of many years	nongold
63	state means form	nongold
64	if something is required for a process then that something positively impacts that process	nongold
65	groundwater is located under ground	nongold
66	to place in is similar to to move to	nongold
67	a component means a part of	nongold
68	a landform is a kind of natural formation	nongold
69	if something is made of something else then the formation of that something requires that something else	nongold
70	runoff is a kind of water	nongold
71	transport means to move; to make travel	nongold
72	to lower means to decrease	nongold
73	a part of a process means a stage in a process	nongold
74	a step in a process means a stage in a process	nongold
75	weathering is a kind of process	nongold
76	the formation of rock is a kind of process	nongold
77	to add means to increase	nongold
78	a process usually requires all of the stages in that process	nongold
79	an arch is a kind of land formation	nongold
80	to be used for something means to be required by that something	nongold
81	formation of a state of matter is a kind of process	nongold
82	rising means moving upward	nongold
83	a component of something means a part of that something	nongold
84	a structure of something is synonymous with a part of that something	nongold
85	helping something has a  positive impact on that something	nongold
86	a landslide is a kind of natural event	nongold
87	greatest means largest; highest; most amount of something	nongold
88	the Colorado River is a kind of river	gold
89	a whole is formed by its parts	nongold
90	erosion causes a river to become deeper and wider	nongold
91	becoming is similar to forming	nongold
92	answering questions requires information	nongold
93	a body of water contains water	nongold
94	to change into means to form	nongold
95	an increase is the opposite of a decrease	nongold
96	water is a part of an environment	nongold
97	travel means to move	nongold
98	to cause an event is similar to being involved in that event	nongold
99	a lake is a kind of body of water	nongold
