Question	Which statement describes a method of sexual reproduction that occurs in plants?	question
Answer	Seeds are produced from the flower of the plant.	answer
0	a flower produces pollen and seeds	nongold
1	a flower is a part of a plant for attracting pollinators; producing seeds	gold
2	a flower's purpose is to produce seeds	nongold
3	a flower contains pollen for sexual reproduction	nongold
4	a source of something emits; produces; generates; provides that something	nongold
5	a flower is a kind of plant	nongold
6	seed dispersal is a kind of method of sexual reproduction	nongold
7	plant reproduction; seed production requires pollination	gold
8	sexual reproduction is a kind of reproduction	nongold
9	a flower is a source of nectar	nongold
10	generate means produce	nongold
11	pollination is a kind of process for plant reproduction	gold
12	products are formed; are produced; are created	nongold
13	where something  comes from is a source of that something	nongold
14	process is similar to method	gold
15	if something comes from something else then that something else is a source of that something	nongold
16	emit means produce	nongold
17	make means produce	nongold
18	pollen is part of a flower for reproduction	nongold
19	converting is similar to producing	nongold
20	to produce means to create	nongold
21	a producer is a kind of living thing	nongold
22	to happen means to occur	nongold
23	if a plant sprouts from a seed then that plant is born	nongold
24	green plants are a kind of producer	nongold
25	a plant is a kind of organism	nongold
26	a wildflower is a kind of flower	nongold
27	some flowers become fruits	nongold
28	reproduction produces; produce offspring	nongold
29	development is similar to production	nongold
30	a berry contains seeds	nongold
31	In the flowering plant life cycle , pollination is part of reproduction	nongold
32	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
33	to produce means to provide	nongold
34	a seed is a part of a plant	nongold
35	pollinator means pollinating animal	nongold
36	a tree is a kind of plant	nongold
37	reproduction is a kind of process	nongold
38	producing is similar to causing	nongold
39	to be formed by is similar to being produced by	nongold
40	producing is a kind of process	nongold
41	fruit contains seeds	nongold
42	a plant is a kind of living thing	nongold
43	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
44	a flower is a kind of object	nongold
45	pollination requires pollinators; pollinating animals	gold
46	the properties of something are used for describing that something	nongold
47	In the flowering plant life cycle , seed	nongold
48	a process is a kind of event	nongold
49	fertilization is a stage in the sexual reproduction process	nongold
50	volvox reproduces sexually	nongold
51	to contribute is similar to produce	nongold
52	blossoms means flowers	nongold
53	to create means to make	nongold
54	to be used for something means to be required by that something	nongold
55	if something gains something from something else then that something else is a source of that something	nongold
56	an object; material; substance comes from that object or material's source	nongold
57	flowers are a source of fruit	nongold
58	vegetation means plants	nongold
59	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
60	if something causes an increase in something else then that something produces that something else	nongold
61	producing is similar to releasing	nongold
62	to generate means to create	nongold
63	gamete development is a stage in the sexual reproduction process	nongold
64	animals reproduce sexually	nongold
65	cross-pollination is a stage in the plant reproduction process	nongold
66	sexual reproduction increases genetic diversity	nongold
67	plant parts are made of plants	nongold
68	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
69	seeds are a part of  berries	nongold
70	most insects reproduce by sexual reproduction	nongold
71	creating means making	nongold
72	a producer produces its own food	nongold
73	a seed is a kind of young plant	nongold
74	In the flowering plant life cycle , flowering is part of reproduction	nongold
75	a process usually requires all of the stages in that process	nongold
76	sexual reproduction in animals is when egg; sperm join together	nongold
77	In the flowering plant life cycle , fruiting is part of reproduction	nongold
78	to produce means to result in	nongold
79	to provide something means to be the source of that something	nongold
80	a plant is made of plant cells	nongold
81	pollinated means after pollination	nongold
82	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	nongold
83	a cactus is a kind of plant	nongold
84	something that happens is a kind of event	nongold
85	a part of a process means a stage in a process	nongold
86	plant reproduction often requires pollen	nongold
87	if something causes a process then that something is required for that process	nongold
88	an organism is a living thing	nongold
89	creating is similar to causing	nongold
90	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
91	a plant is a member of a plant species	nongold
92	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
93	composed of means made of	nongold
94	In the flowering plant life cycle , germination can follow seed	nongold
95	a component means a part of	nongold
96	if something is made of something else then that something can be broken down into that something else	nongold
97	a component of something means a part of that something	nongold
98	can be means able to be	nongold
99	a rose is a kind of flower	nongold
