Question	A balloon filled with helium gas is set free and starts to move upward. Which of the following best explains why the helium balloon moves upward?	question
Answer	The density of helium is less than the density of air.	answer
0	helium has lower; less density than air	gold
1	helium is a kind of gas	gold
2	as the altitude increases ,  the density of the air will decrease	nongold
3	gases are usually low in density	nongold
4	dense means high in density	nongold
5	less is similar to decrease	nongold
6	helium is a kind of element	nongold
7	as the density  of the atmosphere decreases , the available oxygen will  decrease	nongold
8	a balloon contains gas	gold
9	a balloon is a kind of object	nongold
10	a balloon is a kind of container	nongold
11	if a container contains a substance  with less density than air then that container may move upward	gold
12	up means upward	nongold
13	an increase is the opposite of a decrease	nongold
14	downward means down	nongold
15	upward is the opposite of downward	nongold
16	rising means moving upward	nongold
17	a decrease is a kind of change	nongold
18	setting is a kind of motion	nongold
19	air is a kind of gas	nongold
20	density is a measure of mass of an object over volume; divided by volume	nongold
21	as the mass of an object increases , the density of that object will increase	nongold
22	a solid is more dense than a gas	nongold
23	an increase is a kind of change	nongold
24	density is a kind of physical property	nongold
25	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
26	low is similar to decrease	nongold
27	air is a kind of matter	nongold
28	as the volume of an object decreases , the density of that object will increase	nongold
29	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
30	to lower means to decrease	nongold
31	to be filled with means to contain	gold
32	if an object in a fluid is more dense than that fluid then that object will sink in that fluid because of gravity	nongold
33	hydrogen is a kind of gas at room temperature	nongold
34	gas is a kind of state of matter	nongold
35	oxygen is a kind of gas at room temperature	nongold
36	increase means more	nongold
37	to lift means to move up	nongold
38	high is similar to increase	nongold
39	if two substances have the same volume , then the  substance with less density will have less mass	nongold
40	falling means moving downward	nongold
41	if an object has a small volume and large mass , then the object will  have a high density	nongold
42	a bubble contains gas	nongold
43	less means a reduced amount	nongold
44	to travel up means to rise	nongold
45	lowering is a kind of motion	nongold
46	to reduce means to decrease	nongold
47	motion; movement means moving; to move	nongold
48	gas is a kind of substance	gold
49	the air is a kind of substance	nongold
50	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
51	gas is a kind of material	nongold
52	greater means higher; more in value	nongold
53	as the altitude increases , the gravity will decrease	nongold
54	a balloon is highly flexible	nongold
55	helium has a low atomic number	nongold
56	liquid is a kind of state of matter	nongold
57	to ascend means to rise	nongold
58	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
59	rising is a kind of motion	nongold
60	lower means less	nongold
61	a rocket is a kind of object	nongold
62	a balloon is made of rubber	nongold
63	different substances are different in density	nongold
64	heat means heat energy	nongold
65	density is an intensive property	nongold
66	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	a  gas is a kind of  element	nongold
69	solid is a kind of state of matter	nongold
70	carbon dioxide is more dense than air	nongold
71	less is the opposite of more	nongold
72	substances are made of matter	nongold
73	smaller means less; lower in size	nongold
74	to add means to increase	nongold
75	if  two substances are made of different  elements , then the  substances will have different density	nongold
76	troposphere has the greatest density among the layers in the atmosphere	nongold
77	a motion is a kind of event; action	nongold
78	atmosphere means  air	nongold
79	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
80	rising means height; altitude increases	nongold
81	gas is a kind of object	nongold
82	as an object is moving down , the speed of the object  will increase	nongold
83	air mass means a volume of air	nongold
84	as the cause of something decreases , that something will decrease	nongold
85	the chemical symbol for helium is He	nongold
86	vapor is synonymous with gas	nongold
87	propulsion can cause a deflating balloon to fly	nongold
88	materials are made of matter	nongold
89	as density decreases ability to break apart increases	nongold
90	carbon dioxide is a kind of gas	nongold
91	a stationary air mass is a kind of air mass	nongold
92	pulling is a kind of motion	nongold
93	gravity accelerates an object while that object falls by pulling on it	nongold
94	low means down	nongold
95	to slow; to slow down decreases speed	nongold
96	a bubble is a kind of object	nongold
97	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
98	revolving is a kind of motion	nongold
99	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
