Question	What energy transformation occurs when an electric lamp is turned on?	question
Answer	electrical energy to light and heat energy	answer
0	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
1	some light bulbs convert electrical energy; electricity into light energy and heat energy	gold
2	to transform means to convert	gold
3	to turn means to convert	nongold
4	an electrical device requires electricity to turn on	nongold
5	to turn means to change	nongold
6	a light bulb is a part of a  lamp	gold
7	electricity means electrical energy	gold
8	energy transformation means one kind of energy changes into another kind of energy	nongold
9	to convert means to change	nongold
10	heat means heat energy	nongold
11	light means light energy	nongold
12	electrical energy is a kind of energy	nongold
13	heat is a kind of energy	nongold
14	light is a kind of energy	nongold
15	light is a kind of energy	nongold
16	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
17	when electricity flows to a light bulb , the light bulb will turn on; come on	nongold
18	an incandescent light bulb converts electrical energy; electricity into light energy and heat energy by sending electricity through a filament	nongold
19	a light bulb is a kind of electrical device	nongold
20	a light bulb generates visible light when it is turned on	nongold
21	turning on is a kind of process	nongold
22	temperature is a measure of heat energy	nongold
23	heating means adding heat	nongold
24	a light bulb requires electrical energy to produce light	nongold
25	to illuminate means to light up	nongold
26	electricity is used as an energy source by electrical devices	nongold
27	solar energy is a kind of heat energy	nongold
28	energy conversion is similar to energy transformation	nongold
29	converting is similar to turning into	nongold
30	solar energy is a kind of light	nongold
31	the heat energy produced by the light bulb is not used	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	a heating element converts electrical energy; electricity into heat energy for heating	nongold
34	electric devices require electrical energy to function	nongold
35	conductivity is a property of a material; substance	nongold
36	heat energy  can be used to heat up  an object	nongold
37	an insulator is the opposite of a conductor	nongold
38	solar energy is a kind of energy	nongold
39	light bulb means lightbulb	nongold
40	a source of heat can be used to heat something	nongold
41	a source of heat can be used to heat something	nongold
42	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
43	objects are made of materials; substances; matter	nongold
44	converting is similar to producing	nongold
45	a device is a kind of object	nongold
46	sunlight is a kind of light	nongold
47	rotate means turn	nongold
48	an event is a kind of action	nongold
49	both means two	nongold
50	a complete electrical circuit is a source of  electrical energy	nongold
51	conductivity is a kind of physical property	nongold
52	combustion means fire converts chemical energy into light energy and heat energy	nongold
53	an object; material; substance comes from that object or material's source	nongold
54	heat energy can change the state of matter	nongold
55	turns is similar to changes	nongold
56	to happen means to occur	nongold
57	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
58	affected means changed	nongold
59	turning is a kind of motion	nongold
60	an electric stove changes electrical energy into heat energy	nongold
61	to add means to increase	nongold
62	variable means able to change	nongold
63	adding heat means increasing temperature	nongold
64	if something transfers something else then that something is a source of something else	nongold
65	a human is a kind of animal	nongold
66	metal is an  electrical; electrical energy conductor	nongold
67	to modify means to change	nongold
68	can be means able to be	nongold
69	if something emits something else then that something increases the amount of that something else	nongold
70	an increase is a kind of change	nongold
71	to change means to cause a change	nongold
72	the function of something is what that something  is used to do	nongold
73	emit means produce	nongold
74	if an object is made of a material then that object has the properties of that material	nongold
75	if the electrical  devices are connected in parallel circuit , then turning on or off any devices will not affect other devices	nongold
76	if something generates energy for something else then that something powers that something else	nongold
77	sunlight produces heat	nongold
78	electrical current means electrical energy	nongold
79	a physical property is a kind of property	nongold
80	light is a kind of wave	nongold
81	a machine is a kind of object	nongold
82	fire causes burning	nongold
83	a process is a kind of event	nongold
84	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
85	an electric motor converts electrical energy into mechanical energy	nongold
86	converting is similar to generating	nongold
87	to be made of something means to be formed of that something	nongold
88	closing an electric circuit causes an electrical device to function	nongold
89	substances are made of matter	nongold
90	a solar panel converts sunlight; solar energy into electrical energy; electricity	nongold
91	material means substance	nongold
92	absorbing energy causes objects; materials; substances to heat	nongold
93	a flashlight converts electrical energy; electricity into light energy	nongold
94	forming is similar to converting	nongold
95	a source of something increases the amount of that something	nongold
96	person is synonymous with human	nongold
97	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
98	UV light is a kind of light	nongold
99	to combust means to catch fire	nongold
