Question	Which of these is the most responsible for the changes of the seasons on Earth?	question
Answer	Tilt of Earth on its axis	answer
0	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
1	the Earth being tilted on its rotating axis causes seasons	gold
2	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
3	Earth orbiting the Sun causes seasons to change	nongold
4	to cause means to be responsible for	gold
5	each season occurs once per year	nongold
6	to have a function is similar to to be responsible for	nongold
7	the Earth rotates on its axis	nongold
8	different seasons occur during different times of the year	nongold
9	annual means once per year	nongold
10	Earth is a kind of planet	nongold
11	an increase is a kind of change	nongold
12	change is a kind of impact	nongold
13	to depend on; to rely on; to need means to require	nongold
14	seasons cause change to the environment	nongold
15	setting is a kind of motion	nongold
16	if something requires something else then that something else is important to that something	nongold
17	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
18	yearly means every year	nongold
19	revolving is a kind of motion	nongold
20	winter is a kind of season	gold
21	to be used for something means to be required by that something	nongold
22	Autumn is a kind of season	nongold
23	weather changes from seasons to seasons	nongold
24	years are a kind of unit for measuring time	nongold
25	rotation is a kind of motion	nongold
26	if something causes a process then that something is required for that process	nongold
27	season is a major yearly temperature change	nongold
28	increase means more	nongold
29	a decrease is a kind of change	nongold
30	summer is a kind of season	gold
31	a motion is a kind of event; action	nongold
32	change is a kind of process	nongold
33	high is similar to increase	nongold
34	movement is a kind of change	nongold
35	an event is a kind of action	nongold
36	spring is a kind of season	nongold
37	variable means able to change	nongold
38	to change means to have an effect	nongold
39	causing is a kind of affecting	nongold
40	to be affected by something is similar to depending on something	nongold
41	every summer  is a kind of period of time	nongold
42	to cause an event is similar to being involved in that event	nongold
43	to be dependent on something means to depend on that something	nongold
44	to turn means to change	nongold
45	affected means changed	nongold
46	an increase is the opposite of a decrease	nongold
47	to change means to cause a change	nongold
48	a change is a kind of event	nongold
49	to change means to become different	nongold
50	revolving is a kind of action	nongold
51	if something causes something else then that something else depends on that something	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	a new season occurs four times per year	nongold
54	turning is a kind of motion	nongold
55	rising is a kind of motion	nongold
56	to cause means to have an effect	nongold
57	something is used for that something's purpose	nongold
58	if something has a positive impact on something else then that something is important to that something else	nongold
59	the function of something is what that something  is used to do	nongold
60	turns is similar to changes	nongold
61	helping means to assist in a change	nongold
62	a factor impacts something	nongold
63	if something is required for a process then that something positively impacts that process	nongold
64	a component of something means a part of that something	nongold
65	a component means a part of	nongold
66	winter is a part of the year	nongold
67	a cycle is a kind of process	nongold
68	Earth's angle of tilt causes the length of day and night to vary	nongold
69	having an impact on something means altering that something	nongold
70	to add means to increase	nongold
71	to impact means to affect	nongold
72	causing means influencing	nongold
73	north; northward is a kind of direction	nongold
74	a source of something increases the amount of that something	nongold
75	a process is a kind of event	nongold
76	Earth's rotation causes time zones	nongold
77	all the other means the rest of	nongold
78	impact means effect	nongold
79	to be involved in something means to have a role in something	nongold
80	a type is synonymous with a kind	nongold
81	if something requires something else then that something requires a source of that something else	nongold
82	less is similar to decrease	nongold
83	to vary means to change	nongold
84	stay the same means not changing	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	to be a source of something means to cause that something	nongold
87	spring follows winter	nongold
88	most means over 50% of something	nongold
89	causing is a kind of function	nongold
90	Earth rotating on its axis occurs once per day	nongold
91	helping something has a  positive impact on that something	nongold
92	summer follows spring	nongold
93	best means most positive	nongold
94	role is similar to importance	nongold
95	forming something is a kind of change	nongold
96	pulling is a kind of motion	nongold
97	a function is a kind of characteristic	nongold
98	answering questions requires information	nongold
99	a rotation is a kind of movement	nongold
