Question	What most likely happens to soil when crops are not rotated from year to year?	question
Answer	The soil nutrients are depleted.	answer
0	crop rotation is when different crops are planted on a field in different years	nongold
1	crops; farming cause nutrients in the soil to decrease	nongold
2	crop rotation has a  positive impact on soil quality	nongold
3	if something required by an organism is depleted then that organism must replenish that something	nongold
4	crop rotation renews; protects soil	gold
5	soil contains nutrients for plants	nongold
6	to rotate means to complete a rotation	nongold
7	rotate means turn	nongold
8	rotate is similar to revolve	nongold
9	rotating is similar to moving	nongold
10	rotation is a kind of motion	nongold
11	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
12	a plant; living thing requires nutrients to grow	nongold
13	a crop is a kind of food	nongold
14	nutrient poor soil means low quality soil	nongold
15	farming is when a human plants crops for food	nongold
16	a rotation is a kind of movement	nongold
17	crops grow in soil	nongold
18	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
19	a plant requires soil for survival; to grow	nongold
20	a farmer farms crops; plants for  food	nongold
21	nonrenewable resources will eventually be depleted	nongold
22	irrigation depletes nutrients in the soil	nongold
23	crops are a kind of edible plant for eating	nongold
24	renewing soil increases nutrients in the soil	gold
25	a farmer is a kind of human	nongold
26	a food contains nutrients for living things	nongold
27	farming is a source of food	nongold
28	low quality soil has a small; a low number of nutrients	nongold
29	an animal; living thing requires nutrients for survival	nongold
30	farming happens on a farm	nongold
31	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
32	farming is a kind of process	nongold
33	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
34	soil is a renewable resource for growing plants	nongold
35	a plant is a kind of organism	nongold
36	to lack means to not have	nongold
37	cropland is used for farming by humans	nongold
38	deplete is similar to decrease	gold
39	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
40	to depend on; to rely on; to need means to require	nongold
41	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
42	the Earth rotates on its axis	nongold
43	corn is a kind of crop	nongold
44	fertile soil is high in quality	nongold
45	annual means once per year	nongold
46	soil contains water; humus; weathered rocks; organic matter	nongold
47	the top layer of soil contains the most nutrients	nongold
48	roots are a part of a plant; tree	nongold
49	humans eat crops	nongold
50	soil is usually part of an environment	nongold
51	planting crops is synonymous with growing crops	nongold
52	nutrients are a kind of substance	nongold
53	if some nutrients are in the soil then those nutrients are in the food chain	nongold
54	a plant; living thing requires food for survival	nongold
55	accumulation means increase	nongold
56	food contains carbohydrates	nongold
57	weeds use up nutrients	nongold
58	replanting is a kind of replenishing	nongold
59	farming changes the environment	nongold
60	soil is made of solid particles	nongold
61	soil is a part of the ground outside	nongold
62	an animal is a kind of organism	nongold
63	loss means reduction	nongold
64	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
65	a human is a kind of animal	nongold
66	a plant is a kind of living thing	nongold
67	planting crops requires growing crops	nongold
68	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
69	an event is a kind of action	nongold
70	an organism is a living thing	nongold
71	nutrients are a kind of material	nongold
72	some minerals are nutrients	nongold
73	green plants are a kind of producer	nongold
74	an increase is the opposite of a decrease	gold
75	a planet rotating causes cycles of day and night on that planet	nongold
76	roots hold soil in place	nongold
77	to lower means to decrease	nongold
78	move around means revolve	nongold
79	if something releases something else then that something else decreases in that something	nongold
80	soil is a kind of material	nongold
81	years are a kind of unit for measuring time	nongold
82	soil is a kind of nonliving thing	nongold
83	producing crops requires using farm land	nongold
84	a producer is a kind of living thing	nongold
85	erosion sometimes decreases the amount of nutrients in soil	nongold
86	an animal requires enough nutrients to maintain good health; survive	nongold
87	a source of something emits; produces; generates; provides that something	nongold
88	growing is a kind of replenishing	nongold
89	yearly means every year	nongold
90	a plants; living things require water for survival; to grow	nongold
91	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
92	affected means changed	nongold
93	Earth rotating on its axis occurs once per day	nongold
94	forming is a kind of replenishing	nongold
95	each season occurs once per year	nongold
96	an animal is a kind of living thing	nongold
97	nitrogen is a kind of nutrient for plant growth	nongold
98	a cycle happens; occurs repeatedly	nongold
99	a decrease is a kind of change	nongold
