Question	As a heavy metal ball rolls down a hill, it goes faster and faster. Which statement is true?	question
Answer	The ball's potential energy is changing to kinetic energy.	answer
0	changes potential energy into kinetic energy through motion	gold
1	kinetic energy is a kind of mechanical energy	nongold
2	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
3	stopping a moving object changes kinetic energy into potential energy	nongold
4	motion is a source of kinetic energy in an object	nongold
5	as an object moves faster , the kinetic energy of that object will increase	nongold
6	as kinetic energy of an object increases , that object will travel faster	gold
7	An example of an object with kinetic energy is an object in motion	nongold
8	rolling is a kind of motion	gold
9	as the kinetic energy of particles increases , the particles will move faster	nongold
10	as kinetic energy increases , the potential energy will decrease	gold
11	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
12	faster means an increase; higher in speed	nongold
13	particles in a liquid have more kinetic energy than particles in a solid	nongold
14	potential energy is a kind of energy	nongold
15	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
16	potential energy is a measure of the energy of an object due to position relative to other objects	nongold
17	particles in a gas have more kinetic energy than particles in a liquid	nongold
18	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
19	faster means increased rate	nongold
20	a ball is a kind of object	gold
21	if an object accelerates then that object will go faster	nongold
22	as an object moves down , potential energy will decrease	nongold
23	as an object falls , the potential energy of that object will decrease	gold
24	as the mass of an object increases , the potential energy of that object will increase	nongold
25	if an object is at rest at the top of an incline then that object's mechanical energy is all potential	nongold
26	temperature is a measure of kinetic energy of molecules	nongold
27	gravitational potential energy is a kind of potential energy	nongold
28	a hill is a kind of incline	nongold
29	speed is a measure of how fast an object is moving	nongold
30	to add means to increase	nongold
31	as an object is moving down , the speed of the object  will increase	nongold
32	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
33	energy transformation means one kind of energy changes into another kind of energy	nongold
34	potential is a kind of ability	nongold
35	rolling down is similar to falling	gold
36	chemical energy is a kind of potential energy	nongold
37	to turn means to change	nongold
38	potential energy means stored energy	nongold
39	to slow; to slow down decreases speed	nongold
40	particles in objects are a kind of matter	nongold
41	an increase is a kind of change	nongold
42	to convert means to change	nongold
43	fast means quickly	nongold
44	increase means more	nongold
45	high is similar to increase	nongold
46	high speed means fast	nongold
47	becoming is similar to changing	nongold
48	fast is the opposite of slow	nongold
49	speed up means increase	nongold
50	a roll is a kind of movement	nongold
51	movement is a kind of change	nongold
52	as the altitude of an object increases ,  the  potential energy of the object  will increase	nongold
53	gravitational potential energy is a measure of the product of weight and height	nongold
54	metal is a kind of material	nongold
55	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
56	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
57	stay the same means not changing	nongold
58	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
59	metal is a kind of substance	nongold
60	a living thing is a kind of object	nongold
61	a hill is a kind of place	nongold
62	quickly means in a short period of time	nongold
63	speed is a property of an object and includes values of slow; fast	nongold
64	mechanical energy is a kind of energy	nongold
65	heat is a kind of energy	nongold
66	comet striking a planet converts kinetic energy into thermal energy	nongold
67	variable means able to change	nongold
68	material means substance	nongold
69	matter; materials; substances are made of atoms; particles	nongold
70	downward means down	nongold
71	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	nongold
72	a particle is a kind of object	nongold
73	particles in a solid are slower than particles in a liquid	nongold
74	low means down	nongold
75	An example of mechanical energy is an object in motion	nongold
76	fastest means greatest in  speed	nongold
77	if the component of something changed , then the whole thing will change	nongold
78	rolling over is a kind of action	nongold
79	a source of something increases the amount of that something	nongold
80	an increase is the opposite of a decrease	nongold
81	objects are made of materials; substances; matter	nongold
82	solid is a kind of state of matter	nongold
83	substances are made of matter	nongold
84	moving is similar to travelling	nongold
85	compressing an object increases the potential energy in the object	nongold
86	a motion is a kind of event; action	nongold
87	to give off means to be the source of	nongold
88	motion; movement means moving; to move	nongold
89	skidding is a kind of motion	nongold
90	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
91	a vehicle is a kind of object	nongold
92	rising is a kind of motion	nongold
93	an event is a kind of action	nongold
94	heat energy can change the state of matter	nongold
95	rate is similar to speed	nongold
96	a decrease is a kind of change	nongold
97	rapidly means quickly	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	slowest means lowest in  speed	nongold
