Question	Which of the following would be most useful for calculating the density of a rock sample?	question
Answer	graduated cylinder and balance	answer
0	a balance is used for measuring mass;weight of an object; of a substance	gold
1	a graduated cylinder is used to measure volume of a liquid; of an object	gold
2	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
3	a balance is a kind of instrument for measuring mass; measuring weight	gold
4	a graduated cylinder is a kind of container	nongold
5	density is a measure of mass of an object over volume; divided by volume	gold
6	useful means able to be used	nongold
7	calculation means measurement	nongold
8	useful means good to use	nongold
9	a rock is a kind of object	gold
10	sample is similar to small amount of substance; matter	nongold
11	to measure means to calculate	gold
12	timing; multiplying is a kind of calculating	nongold
13	rock is a kind of material	nongold
14	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
15	calculating is similar to estimating	nongold
16	instrument means tool	nongold
17	size; amount of space means volume	nongold
18	a rain gauge is a kind of graduated cylinder	nongold
19	a rock is usually a solid	nongold
20	can be means able to be	nongold
21	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
22	objects are made of materials; substances; matter	nongold
23	material means substance	nongold
24	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
25	if a property affects a value then that property is needed to calculate that value	nongold
26	form means kind	nongold
27	a tool is a kind of object	nongold
28	instrument means device	nongold
29	length is a part of size	nongold
30	mass; weight is a property of matter; objects; materials	nongold
31	an instrument is a piece of equipment	nongold
32	milliliters is a kind of unit for measuring volume of liquids	nongold
33	matter; materials; substances are made of atoms; particles	nongold
34	a liquid is a kind of substance	nongold
35	mass is a measure of the amount of matter in an object	nongold
36	variable means able to change	nongold
37	the volume of an object can be used to describe  the size of that object	nongold
38	as the mass of an object increases , the density of that object will increase	nongold
39	a container contains objects; material; substances	nongold
40	materials are made of matter	nongold
41	a type is synonymous with a kind	nongold
42	if an object is made of a material then that object has the properties of that material	nongold
43	to be used for something means to be required by that something	nongold
44	a device is a kind of object	nongold
45	to add means to increase	nongold
46	substances are made of matter	nongold
47	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
48	beneficial means helpful	nongold
49	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
50	dense means high in density	nongold
51	composed of means made of	nongold
52	length is a measure of distance from one end of an object to the other end of that object	nongold
53	a  solution  is a kind of object	nongold
54	greatest means largest; highest; most amount of something	nongold
55	weight is a property of objects; matter	nongold
56	as the volume of an object decreases , the density of that object will increase	nongold
57	class is a measure of how a rock is formed	nongold
58	as amount; size of something increases , the intensive properties of that something will not change	nongold
59	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
60	affected means changed	nongold
61	high is similar to increase	nongold
62	if an object has a small volume and large mass , then the object will  have a high density	nongold
63	calculating speed requires knowing distance travelled	nongold
64	answering questions requires information	nongold
65	density is an intensive property	nongold
66	volume is a property of matter	nongold
67	level is similar to amount; quantity	nongold
68	lowest means least in value; amount; number	nongold
69	rock is hard	nongold
70	according to is similar to be determined by	nongold
71	a measurement is a kind of data	nongold
72	approximately means about	nongold
73	quantity means amount	nongold
74	device means tool	nongold
75	a machine is a kind of  device	nongold
76	mass is similar to size	nongold
77	mass is a property of objects; matter	nongold
78	particles in objects are a kind of matter	nongold
79	measuring requires reading a measurement	nongold
80	Matter in the liquid phase has definite volume	nongold
81	low means down	nongold
82	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
83	a gram  is a kind of unit for measuring mass	nongold
84	density is a kind of physical property	nongold
85	a ratio is a measure of one measure over another measure; divided by another measure	nongold
86	a machine is a kind of object	nongold
87	structure is a property of an object; a material; a substance	nongold
88	constant means not changing	nongold
89	higher means greater; above in value; amount; number	nongold
90	composition means the (materials, substances) of which something is composed	nongold
91	height is a measure of length from the top of an object to the bottom of an object	nongold
92	extreme means very high in value	nongold
93	if  two substances are made of different  elements , then the  substances will have different density	nongold
94	an element is a kind of material	nongold
95	a ratio is a measure of  one value divided by another value	nongold
96	different substances are different in density	nongold
97	meters;centimeters;kilometers are used to describe distance; describe length	nongold
98	as the amount; size of something increases , the extensive properties of that something will increase	nongold
99	a measuring cup is a kind of tool for measuring the volume of substances	nongold
