Question	A single prokaryotic cell can divide several times in an hour. Few eukaryotic cells can divide as quickly. Which of the following statements best explains this difference?	question
Answer	Eukaryotic cells are more structurally complex than prokaryotic cells.	answer
0	an animal is a kind of eukaryote	nongold
1	eukaryotes are a part of the biological domain Eukaryota	nongold
2	a fungus is a kind of eukaryote	nongold
3	as the structural complexity of a cell increases , the speed with which the cell can divide decreases	gold
4	the cell is the most basic structural unit of life	nongold
5	less is similar to decrease	gold
6	quickly means in a short period of time	nongold
7	a structure of something is synonymous with a part of that something	nongold
8	a prokaryotic cell does not contain a nucleus	nongold
9	a change is a kind of difference	nongold
10	less is the opposite of more	nongold
11	different is the opposite of the same	nongold
12	to split means to divide	nongold
13	a single-celled organism is a kind of living thing	nongold
14	larger is a kind of difference	nongold
15	a single-cell organism cannot specialize	nongold
16	increase means more	gold
17	high is similar to increase	nongold
18	a single-celled organism is a kind of organism	nongold
19	fewer means lower; less in number	gold
20	rapidly means quickly	nongold
21	an increase is the opposite of a decrease	nongold
22	hours are a kind of unit for measuring time	nongold
23	many means high in number	nongold
24	single-celled organism is made of only one cell	nongold
25	an animal cell is a kind of cell	nongold
26	a plant cell is a kind of cell	nongold
27	to change means to become different	nongold
28	a living thing is made of cells	nongold
29	fast means quickly	gold
30	an increase is a kind of change	nongold
31	identical is the opposite of different	nongold
32	to subdivide is similar to to divide	nongold
33	single means one	nongold
34	system is similar to structure	nongold
35	meiosis produces cells that are different from the parent cell	nongold
36	different cellular tissues are made of different types of  somatic cells	nongold
37	a cell is very small	nongold
38	a kind of something is an example of that something	nongold
39	opposite is a kind of different	nongold
40	if something is caused by something else , then that something can be explained by that something else	nongold
41	stay the same means not changing	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	not is similar to the opposite of	nongold
44	can be means able to be	nongold
45	fewest means lowest; least in number	nongold
46	all living things are made of cells according to the cell theory	nongold
47	affected means changed	nongold
48	if something is made of something else , then that something else will be the component of that something	nongold
49	an organism is a living thing	nongold
50	break down is the opposite of put together	nongold
51	a human cell is a kind of cell	nongold
52	to tell the difference between things means to classify those things	nongold
53	cell division means cell reproduction	nongold
54	mitosis produces cells that are identical to the parent cell	nongold
55	best means most positive	nongold
56	a decrease is a kind of change	nongold
57	if something has no impact on something else then that something else stays the same	nongold
58	if something is made of something else then that something can be broken down into that something else	nongold
59	to be made of something means to be formed of that something	nongold
60	a protozoan is a kind of animal	nongold
61	an animal is a kind of living thing	nongold
62	if two things perform the same function then those two things are similar	nongold
63	if something changes , then that something is not the same	nongold
64	both means two	nongold
65	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
66	a single-celled organism's organelles are like the organs of a multi-celled organism	nongold
67	a plant is made of plant cells	nongold
68	decomposing is similar to separating	nongold
69	tissue is a kind of group of cells with a common structure that work together to perform a similar function	nongold
70	to split means to break down	nongold
71	changed is the opposite of unchanged	nongold
72	cells are a smaller level of organization than tissues in living things	nongold
73	another means different	nongold
74	to be made of means to consist of	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	the cells of multicellular organisms can specialize	nongold
77	greater means higher; more in value	nongold
78	the parent cell is the original cell	nongold
79	breaking down is a kind of function	nongold
80	made up of means contains; made of	nongold
81	a part of a living thing is a natural structure	nongold
82	a multicellular organism is made of many cells	nongold
83	if something causes an increase in something else then that something produces that something else	nongold
84	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
85	low is similar to decrease	nongold
86	a multicellular organism is a kind of living thing	nongold
87	a component of something means a part of that something	nongold
88	single-cell organism means unicellular organism	nongold
89	basic life functions occur in the cells of organisms	nongold
90	size difference is a kind of difference	nongold
91	multicellular organisms produce more cells through cell division	nongold
92	to depend on; to rely on; to need means to require	nongold
93	composed of means made of	nongold
94	unique  is the opposite of diverse	nongold
95	a measure of time is a length of time	nongold
96	classifying is when one sorts something by kind; type	nongold
97	lower means less	nongold
98	faster means an increase; higher in speed	gold
99	cell division often causes growth; healing	nongold
